C000001_cs_000	Zaměstnanci v ozbrojených silách
C000843_cs_000	vědecký pracovník v oblasti životního prostředí
C000843_cs_001	chemická technička pro environment
C000843_cs_002	chemický technik pro environment
C000843_cs_003	inženýr chemie pro environment
C000843_cs_004	inženýr ochrany životního prostředí
C000843_cs_005	inženýrka chemie pro environment
C000843_cs_006	inženýrka ochrany životního prostředí
C000844_cs_000	sociolog/socioložka
C000844_cs_001	sociolog
C000844_cs_002	socioložka
C000845_cs_000	průmyslový kuchař/průmyslová kuchařka
C000845_cs_001	kuchař v průmyslovém provozu
C000845_cs_002	kuchařka v průmyslovém provozu
C000845_cs_003	průmyslová kuchařka
C000845_cs_004	průmyslový kuchař
C000846_cs_000	hodinář/hodinářka
C000846_cs_001	hodinář
C000846_cs_002	hodinářka
C000846_cs_003	mechanik a opravář hodin
C000846_cs_004	mechanička a opravářka hodin
C000847_cs_000	vývojář obuvnických výrobků/vývojářka obuvnických výrobků
C000847_cs_001	vývojář obuvnických výrobků
C000847_cs_002	vývojářka obuvnických výrobků
C000848_cs_000	manažer pro dovoz a vývoz strojů, průmyslových zařízení, lodí a letadel/manažerka pro dovoz a vývoz strojů, průmyslových zařízení, lodí a letadel
C000848_cs_001	manažer pro dovoz a vývoz strojů, průmyslových zařízení, lodí a letadel
C000848_cs_002	manažerka pro dovoz a vývoz strojů, průmyslových zařízení, lodí a letadel
C000849_cs_000	operátor míchacího zařízení/operátorka míchacího zařízení
C000849_cs_001	operátor emulzního stroje
C000849_cs_002	operátor míchacího stroje
C000849_cs_003	operátor míchacího zařízení
C000849_cs_004	operátorka emulzního stroje
C000849_cs_005	operátorka míchacího stroje
C000849_cs_006	operátorka míchacího zařízení
C000850_cs_000	vulkanizér pneumatik/vulkanizérka pneumatik
C000850_cs_001	opravář pneumatik
C000850_cs_002	opravářka pneumatik
C000850_cs_003	vulkanizér pneumatik
C000850_cs_004	vulkanizérka pneumatik
C000851_cs_000	výrobce kokilových odlitků/výrobkyně kokilových odlitků
C000851_cs_001	výrobce kokilových odlitků
C000851_cs_002	výrobkyně kokilových odlitků
C000852_cs_000	manažer IT podpory/manažerka IT podpory
C000852_cs_001	manažer IT podpory
C000852_cs_002	manažer helpdesku
C000852_cs_003	manažer podpory ICT
C000852_cs_004	manažer podpory informačních a komunikačních technologií
C000852_cs_005	manažerka IT podpory
C000852_cs_006	manažerka helpdesku
C000852_cs_007	manažerka podpory ICT
C000852_cs_008	manažerka podpory informačních a komunikačních technologií
C000853_cs_000	prodavač v knihkupectví/prodavačka v knihkupectví
C000853_cs_001	knihkupec
C000853_cs_002	knihkupkyně
C000853_cs_003	prodavač v antikvariátu
C000853_cs_004	prodavač v knihkupectví
C000853_cs_005	prodavač v obchodě s knihami a časopisy
C000853_cs_006	prodavač v obchodě s komiksy
C000853_cs_007	prodavačka v antikvariátu
C000853_cs_008	prodavačka v knihkupectví
C000853_cs_009	prodavačka v obchodě s knihami a časopisy
C000853_cs_010	prodavačka v obchodě s komiksy
C000854_cs_000	operátor velínu vodní elektrárny/operátorka velínu vodní elektrárny
C000855_cs_000	hlídka u přechodu pro chodce
C000856_cs_000	puškař/puškařka
C000856_cs_001	rytec zbraní
C000856_cs_002	rytečka zbraní
C000856_cs_003	rytkyně zbraní
C000857_cs_000	výhybkář/výhybkářka
C000857_cs_001	výhybkář
C000857_cs_002	výhybkář – točnář
C000857_cs_003	výhybkářka
C000858_cs_000	vědecký pracovník v oboru podniková ekonomika/vědecká pracovnice v oboru podniková ekonomika
C000858_cs_001	výzkumná pracovnice v oboru podniková ekonomika
C000858_cs_002	výzkumný pracovník v oboru podniková ekonomika
C000858_cs_003	vědecká pracovnice v oboru podniková ekonomika
C000858_cs_004	vědecký pracovník v oboru podniková ekonomika
C000859_cs_000	manažer pro sociální odpovědnost podniků/manažerka pro sociální odpovědnost podniků
C000859_cs_001	manažer pro sociální odpovědnost podniků
C000859_cs_002	manažerka pro sociální odpovědnost podniků
C000860_cs_000	technik v oboru vodohospodářských staveb/technička v oboru vodohospodářských staveb
C000860_cs_001	inženýr v oboru vodohospodářských staveb
C000860_cs_002	inženýrka v oboru vodohospodářských staveb
C000861_cs_000	politický agitátor/politická agitátorka
C000861_cs_001	agitátor
C000861_cs_002	agitátorka
C000861_cs_003	politická agitátorka
C000861_cs_004	politická aktivistka
C000861_cs_005	politický agitátor
C000861_cs_006	politický aktivista
C000862_cs_000	manažer on-line komunity/manažerka on-line komunity
C000862_cs_001	manažer digitální komunity
C000862_cs_002	manažer on-line komunity
C000862_cs_003	manažer sociálních médií
C000862_cs_004	manažerka digitální komunity
C000862_cs_005	manažerka on-line komunity
C000862_cs_006	manažerka sociálních médií
C000862_cs_007	specialista na sociální média
C000862_cs_008	specialistka na sociální média
C000863_cs_000	domácí ošetřovatel/domácí ošetřovatelka
C000863_cs_001	domácí ošetřovatel
C000863_cs_002	domácí ošetřovatelka
C000864_cs_000	technik odpadového hospodářství/technička odpadového hospodářství
C000864_cs_001	technik odpadového hospodářství
C000864_cs_002	technička odpadového hospodářství
C000865_cs_000	manažer distribuce textilních strojů/manažerka distribuce textilních strojů
C000865_cs_001	manažer distribuce textilních strojů
C000865_cs_002	manažerka distribuce textilních strojů
C000866_cs_000	pracovník služeb pro zákazníky/pracovnice služeb pro zákazníky
C000866_cs_001	pracovnice služeb pro zákazníky
C000866_cs_002	pracovnice zákaznického servisu
C000866_cs_003	pracovník služeb pro zákazníky
C000866_cs_004	pracovník zákaznického servisu
C000867_cs_000	hudební ředitel/hudební ředitelka
C000867_cs_001	hudební ředitel
C000867_cs_002	hudební ředitelka
C000867_cs_003	zástupce ředitele rozhlasové stanice
C000867_cs_004	zástupkyně ředitele rozhlasové stanice
C000867_cs_005	ředitel rozhlasové stanice
C000867_cs_006	ředitelka rozhlasové stanice
C000868_cs_000	prodavač v obchodě s oděvy/prodavačka v obchodě s oděvy
C000868_cs_001	prodavač v obchodě s dámskými oděvy
C000868_cs_002	prodavač v obchodě s dětskými oděvy
C000868_cs_003	prodavač v obchodě s oděvy
C000868_cs_004	prodavač v obchodě s pánskými oděvy
C000868_cs_005	prodavač v obchodě se sportovními oděvy
C000868_cs_006	prodavač v prodejně oděvů
C000868_cs_007	prodavač v prodejně textilu
C000868_cs_008	prodavačka v obchodě s dámskými oděvy
C000868_cs_009	prodavačka v obchodě s dětskými oděvy
C000868_cs_010	prodavačka v obchodě s oděvy
C000868_cs_011	prodavačka v obchodě s pánskými oděvy
C000868_cs_012	prodavačka v obchodě se sportovními oděvy
C000868_cs_013	prodavačka v prodejně oděvů
C000868_cs_014	prodavačka v prodejně textilu
C000869_cs_000	ředitel školy pro žáky se speciálními vzdělávacími potřebami/ředitelka školy pro žáky se speciálními vzdělávacími potřebami
C000869_cs_001	ředitel praktické školy
C000869_cs_002	ředitel speciální školy
C000869_cs_003	ředitel zvláštní školy
C000869_cs_004	ředitel základní školy praktické
C000869_cs_005	ředitel základní školy speciální
C000869_cs_006	ředitel školy pro žáky se speciálními vzdělávacími potřebami
C000869_cs_007	ředitelka praktické školy
C000869_cs_008	ředitelka speciální školy
C000869_cs_009	ředitelka zvláštní školy
C000869_cs_010	ředitelka základní školy praktické
C000869_cs_011	ředitelka základní školy speciální
C000869_cs_012	ředitelka školy pro žáky se speciálními vzdělávacími potřebami
C000870_cs_000	obchodní zástupce/obchodní zástupkyně
C000870_cs_001	obchodní zástupce
C000870_cs_002	obchodní zástupkyně
C000871_cs_000	technik v oblasti výroby polovodičů/technička v oblasti výroby polovodičů
C000871_cs_001	montér polovodičů
C000871_cs_002	technik integrovaných obvodů
C000871_cs_003	technik v oblasti výroby polovodičů
C000871_cs_004	technička integrovaných obvodů
C000871_cs_005	technička v oblasti výroby polovodičů
C000871_cs_006	výrobce mikročipů
C000871_cs_007	výrobce polovodičů
C000871_cs_008	výrobkyně mikročipů
C000871_cs_009	výrobkyně polovodičů
C000872_cs_000	pracovník ve skladu obuvi/pracovnice ve skladu obuvi
C000872_cs_001	pracovnice ve skladu obuvi
C000872_cs_002	pracovník ve skladu obuvi
C000872_cs_003	skladnice ve skladu obuvi
C000872_cs_004	skladník ve skladu obuvi
C000872_cs_005	skladová dělnice ve skladu obuvi
C000872_cs_006	skladová manipulantka ve skladu obuvi
C000872_cs_007	skladový dělník ve skladu obuvi
C000872_cs_008	skladový manipulant ve skladu obuvi
C000873_cs_000	manažer v oblasti hazardu/manažerka v oblasti hazardu
C000873_cs_001	manažer v oblasti hazardu
C000873_cs_002	manažerka v oblasti hazardu
C000874_cs_000	manažer vývoje produktů/manažerka vývoje produktů
C000874_cs_001	manažer oddělení inovací
C000874_cs_002	manažer vývoje produktů
C000874_cs_003	manažerka oddělení inovací
C000874_cs_004	manažerka vývoje produktů
C000875_cs_000	formíř ručně vyráběných cihel/formířka ručně vyráběných cihel
C000875_cs_001	formíř ručně vyráběných cihel
C000875_cs_002	formířka ručně vyráběných cihel
C000876_cs_000	pracovník správy lékařské dokumentace/pracovnice správy lékařské dokumentace
C000876_cs_001	pracovnice správy lékařské dokumentace
C000876_cs_002	pracovník správy lékařské dokumentace
C000877_cs_000	chovatel koní/chovatelka koní
C000877_cs_001	chovatel koní
C000877_cs_002	chovatelka koní
C000877_cs_003	ošetřovatel koní
C000877_cs_004	ošetřovatelka koní
C000877_cs_005	specialista na chov koní
C000877_cs_006	specialistka na chov koní
C000878_cs_000	technik výroby ortopedické obuvi/technička výroby ortopedické obuvi
C000878_cs_001	technik výroby ortopedické obuvi
C000878_cs_002	technička výroby ortopedické obuvi
C000879_cs_000	operátor strojů na výrobu splétaných textilií/operátorka strojů na výrobu splétaných textilií
C000879_cs_001	mistr ve výrobě splétaných textilií
C000879_cs_002	mistrová ve výrobě splétaných textilií
C000879_cs_003	operátor strojů na výrobu splétaných textilií
C000879_cs_004	operátorka strojů na výrobu splétaných textilií
C000880_cs_000	stavební natěrač/stavební natěračka
C000880_cs_001	stavební natěrač
C000880_cs_002	stavební natěračka
C000881_cs_000	designér datových skladů/designérka datových skladů
C000881_cs_001	designér datových skladů
C000881_cs_002	designérka datových skladů
C000882_cs_000	restaurátor historických vozidel/restaurátorka historických vozidel
C000882_cs_001	restaurátor historických vozidel
C000882_cs_002	restaurátorka historických vozidel
C000883_cs_000	pracovník pro povlečení a uniformy/pracovnice pro povlečení a uniformy
C000883_cs_001	pracovnice pro povlečení a uniformy
C000883_cs_002	pracovník pro povlečení a uniformy
C000883_cs_003	správce povlečení a uniforem
C000883_cs_004	správkyně povlečení a uniforem
C000884_cs_000	inseminační technik/inseminační technička
C000884_cs_001	inseminační technik
C000884_cs_002	inseminační technička
C000884_cs_003	inseminátor
C000884_cs_004	inseminátorka
C000884_cs_005	specialista na inseminaci
C000884_cs_006	specialistka na inseminaci
C000885_cs_000	mechanik optických přístrojů/mechanička optických přístrojů
C000885_cs_001	mechanik optických přístrojů
C000885_cs_002	mechanička optických přístrojů
C000886_cs_000	ošetřovatel zařízení pro psy a kočky/ošetřovatelka zařízení pro psy a kočky
C000886_cs_001	ošetřovatel zařízení pro psy a kočky
C000886_cs_002	ošetřovatelka zařízení pro psy a kočky
C000887_cs_000	pojistný matematik/pojistná matematička
C000887_cs_001	pojistná matematička
C000887_cs_002	pojistný matematik
C000888_cs_000	obsluha míchacích zařízení pro výrobu pesticidů
C000888_cs_001	obsluha míchacích zařízení pro výrobu fungicidů
C000888_cs_002	obsluha míchacích zařízení pro výrobu herbicidů
C000888_cs_003	obsluha míchacích zařízení pro výrobu insekticidů
C000889_cs_000	předprodejní IT technik/předprodejní IT technička
C000889_cs_001	předprodejní IT technik
C000889_cs_002	předprodejní IT technička
C000889_cs_003	předprodejní technik pro IKT
C000889_cs_004	předprodejní technik pro informační a komunikační technologie
C000889_cs_005	předprodejní technik pro informační technologie
C000889_cs_006	předprodejní technička pro IKT
C000889_cs_007	předprodejní technička pro informační a komunikační technologie
C000889_cs_008	předprodejní technička pro informační technologie
C000890_cs_000	vedoucí poprodejního servisu motorových vozidel
C000891_cs_000	seřizovač stroje pro řezání plazmou/seřizovačka stroje pro řezání plazmou
C000891_cs_001	obsluha plazmového řezacího stroje
C000891_cs_002	obsluha stroje pro řezání plazmou
C000891_cs_003	pracovnice obsluhující plazmový řezací stroj
C000891_cs_004	pracovnice obsluhující stroj pro řezání plazmou
C000891_cs_005	pracovník obsluhující plazmový řezací stroj
C000891_cs_006	pracovník obsluhující stroj pro řezání plazmou
C000891_cs_007	seřizovač stroje pro řezání plazmou
C000891_cs_008	seřizovačka stroje pro řezání plazmou
C000892_cs_000	vysekávač/vysekávačka
C000892_cs_001	obsluha stroje na vysekávání obuvi
C000892_cs_002	strojnice vysekávacího stroje
C000892_cs_003	strojník vysekávacího stroje
C000892_cs_004	vysekávač
C000892_cs_005	vysekávač dílců bot
C000892_cs_006	vysekávač částí obuvi
C000892_cs_007	vysekávačka
C000892_cs_008	vysekávačka dílců bot
C000892_cs_009	vysekávačka částí obuvi
C000893_cs_000	operátor velínu elektrárny na fosilní paliva/operátorka velínu elektrárny na fosilní paliva
C000894_cs_000	technik pro kontrolu chemické kvality textilií/technička pro kontrolu chemické kvality textilií
C000894_cs_001	technik pro kontrolu chemické kvality textilií
C000894_cs_002	technička pro kontrolu chemické kvality textilií
C000895_cs_000	vedoucí výroby přesné mechaniky
C000896_cs_000	svářečský inženýr/svářečská inženýrka
C000896_cs_001	inženýr v oblasti postupů spojování kovů
C000896_cs_002	inženýrka v oblasti postupů spojování kovů
C000896_cs_003	svářečská inženýrka
C000896_cs_004	svářečský inženýr
C000897_cs_000	obsluha napínacích strojů
C000897_cs_001	obsluha strojů a zařízení na vytahování obuvi
C000897_cs_002	obsluha strojů na tvarování svršků
C000897_cs_003	strojnice napínání svršků
C000897_cs_004	strojník napínání svršků
C000898_cs_000	laborant v oboru anesteziologie/laborantka v oboru anesteziologie
C000898_cs_001	laborant v oboru anesteziologie
C000898_cs_002	laborantka v oboru anesteziologie
C000899_cs_000	pracovník výroby omáček/pracovnice výroby omáček
C000899_cs_001	pracovnice výroby omáček
C000899_cs_002	pracovník výroby omáček
C000900_cs_000	biofyzik/biofyzička
C000900_cs_001	biofyzik
C000900_cs_002	biofyzyčka
C000900_cs_003	biotechnolog
C000900_cs_004	biotechnoložka
C000901_cs_000	velkoobchodník s výrobky pro domácnost/velkoobchodnice s výrobky pro domácnost
C000901_cs_001	velkoobchodnice s výrobky pro domácnost
C000901_cs_002	velkoobchodník s výrobky pro domácnost
C000902_cs_000	manažer pro dovoz a vývoz železářského zboží, instalatérských a topenářských potřeb/manažerka pro dovoz a vývoz železářského zboží, instalatérských a topenářských potřeb
C000902_cs_001	manažer pro dovoz a vývoz železářského zboží, instalatérských a topenářských potřeb
C000902_cs_002	manažerka pro dovoz a vývoz železářského zboží,instalatérských a topenářských potřeb
C000903_cs_000	správce zemědělských strojů/správkyně zemědělských strojů
C000903_cs_001	správce zemědělské techniky
C000903_cs_002	správce zemědělských strojů
C000903_cs_003	správce zemědělských strojů a zařízení
C000903_cs_004	správkyně zemědělské techniky
C000903_cs_005	správkyně zemědělských strojů
C000903_cs_006	správkyně zemědělských strojů a zařízení
C000904_cs_000	důlní geolog/důlní geoložka
C000904_cs_001	důlní geolog
C000904_cs_002	důlní geoložka
C000905_cs_000	značkovač/značkovačka doutníků
C000905_cs_001	pracovnice značkování doutníků
C000905_cs_002	pracovník značkování doutníků
C000905_cs_003	značkovač doutníků
C000905_cs_004	značkovačka doutníků
C000906_cs_000	pracovník pro měkké pájení/pracovnice pro měkké pájení
C000906_cs_001	pracovnice pro měkké pájení
C000906_cs_002	pracovník pro měkké pájení
C000906_cs_003	páječ
C000907_cs_000	montážní dělník dentálních nástrojů a přístrojů/montážní dělnice dentálních nástrojů a přístrojů
C000907_cs_001	montážní dělnice dentálních nástrojů a přístrojů
C000907_cs_002	montážní dělnice ortodontických nástrojů a přístrojů
C000907_cs_003	montážní dělník dentálních nástrojů a přístrojů
C000907_cs_004	montážní dělník ortodontických nástrojů a přístrojů
C000908_cs_000	učitel v oboru pohostinství na odborné škole/učitelka v oboru pohostinství na odborné škole
C000908_cs_001	učitel v oboru pohostinství
C000908_cs_002	učitel v oboru pohostinství na odborné škole
C000908_cs_003	učitelka v oboru pohostinství
C000908_cs_004	učitelka v oboru pohostinství na odborné škole
C000909_cs_000	správce objektu/správkyně objektu
C000909_cs_001	správce budov
C000909_cs_002	správce objektu
C000909_cs_003	správkyně budov
C000909_cs_004	správkyně objektu
C000910_cs_000	konstruktér oděvních střihů/konstruktérka oděvních střihů
C000910_cs_001	konstruktér oděvních střihů
C000910_cs_002	konstruktérka oděvních střihů
C000911_cs_000	dělník ve výrobě střeliva/dělnice ve výrobě střeliva
C000911_cs_001	dělnice ve výrobě střeliva
C000911_cs_002	dělník ve výrobě střeliva
C000912_cs_000	seřizovač rycího stroje/seřizovačka rycího stroje
C000912_cs_001	obsluha rycích strojů
C000912_cs_002	seřizovač rycího stroje
C000912_cs_003	seřizovačka rycího stroje
C000913_cs_000	technik radiační ochrany/technička radiační ochrany
C000913_cs_001	technik radiační ochrany
C000913_cs_002	technička radiační ochrany
C000914_cs_000	tvůrce hazardních a sázkových her a loterií/tvůrkyně hazardních a sázkových her a loterií
C000914_cs_001	tvůrce hazardních a sázkových her a loterií
C000914_cs_002	tvůrkyně hazardních a sázkových her a loterií
C000914_cs_003	vývojář herního obsahu
C000914_cs_004	vývojářka herního obsahu
C000915_cs_000	konzultant pro sociální práci/konzultantka pro sociální práci
C000915_cs_001	konzultant pro sociální práci
C000915_cs_002	konzultantka pro sociální práci
C000915_cs_003	výzkumná pracovnice v oboru sociální práce
C000915_cs_004	výzkumný pracovník v oboru sociální práce
C000916_cs_000	koordinátor strojírenské výroby/koordinátorka strojírenské výroby
C000916_cs_001	koordinátor strojírenské výroby
C000916_cs_002	koordinátorka strojírenské výroby
C000917_cs_000	choreograf/choreografka
C000917_cs_001	baletní choreograf
C000917_cs_002	baletní choreografka
C000917_cs_003	choreograf
C000917_cs_004	choreografka
C000917_cs_005	taneční choreograf
C000917_cs_006	taneční choreografka
C000918_cs_000	seřizovač elektroerozivního obráběcího stroje/seřizovačka elektroerozivního obráběcího stroje
C000918_cs_001	obsluha elektroerozivního obráběcího stroje
C000918_cs_002	pracovnice obsluhující elektroerozivní obráběcí stroj
C000918_cs_003	pracovník obsluhující elektroerozivní obráběcí stroj
C000918_cs_004	seřizovač elektroerozivního obráběcího stroje
C000918_cs_005	seřizovačka elektroerozivního obráběcího stroje
C000919_cs_000	technik výroby pletenin/technička výroby pletenin
C000919_cs_001	pletař
C000919_cs_002	pletařka
C000919_cs_003	technik pletařských procesů
C000919_cs_004	technik výroby pletenin
C000919_cs_005	technička pletařských procesů
C000919_cs_006	technička výroby pletenin
C000920_cs_000	mistr obkladač
C000921_cs_000	analytik fúzí a akvizic/analytička fúzí a akvizic
C000921_cs_001	analytik fúzí a akvizic
C000921_cs_002	analytička fúzí a akvizic
C000921_cs_003	vedoucí akvizic
C000922_cs_000	pomocný námořník rybářského plavidla/pomocná námořnice rybářského plavidla
C000922_cs_001	pomocná námořnice rybářského plavidla
C000922_cs_002	pomocný námořník rybářského plavidla
C000922_cs_003	pracovnice na lodi lovící pomocí vlečných sítí
C000922_cs_004	pracovník na lodi lovící pomocí vlečných sítí
C000923_cs_000	všeobecná sestra se specializací
C000924_cs_000	stavební dělník-lešenář/stavební dělnice-lešenářka
C000924_cs_001	stavební dělnice - lešenářka
C000924_cs_002	stavební dělník - lešenář
C000925_cs_000	mistr tapetář
C000926_cs_000	velvyslanec/velvyslankyně
C000926_cs_001	chargé d’affaires
C000926_cs_002	mimořádná a zplnomocněná velvyslankyně
C000926_cs_003	mimořádný a zplnomocněný velvyslanec
C000926_cs_004	rada-vyslanec
C000926_cs_005	velvyslanec
C000926_cs_006	velvyslankyně
C000926_cs_007	vyslanec
C000926_cs_008	vyslankyně
C000927_cs_000	počítačový konstruktér střihů/počítačová konstruktérka střihů
C000927_cs_001	počítačová konstruktérka střihů
C000927_cs_002	počítačový konstruktér střihů
C000928_cs_000	masér/masérka
C000928_cs_001	lázeňská terapeutka
C000928_cs_002	lázeňský terapeut
C000928_cs_003	masér
C000928_cs_004	masérka
C000929_cs_000	obsluha sušárny pyrotechnických výrobků
C000929_cs_001	obsluha sušárny pyrotechnických výrobků pro ohňostroje
C000930_cs_000	vedoucí prodejny domácích spotřebičů
C000930_cs_001	vedoucí domácích potřeb
C000931_cs_000	výrobce clavicembal/výrobkyně clavicembal
C000931_cs_001	mechanik cembal
C000931_cs_002	mechanička cembal
C000931_cs_003	výrobce cembal
C000931_cs_004	výrobce clavicembal
C000931_cs_005	výrobce harpsichordů
C000931_cs_006	výrobce klavicembal
C000931_cs_007	výrobkyně cembal
C000931_cs_008	výrobkyně clavicembal
C000931_cs_009	výrobkyně harpsichordů
C000931_cs_010	výrobkyně klavicembal
C000932_cs_000	výškový montér/výšková montérka
C000932_cs_001	výšková montérka
C000932_cs_002	výškový montér
C000933_cs_000	vědecký pracovník v oboru médií/vědecká pracovnice v oboru médií
C000933_cs_001	výzkumná pracovnice v oboru médií
C000933_cs_002	výzkumný pracovník v oboru médií
C000933_cs_003	vědecká pracovnice v oboru médií
C000933_cs_004	vědecký pracovník v oboru médií
C000934_cs_000	školní sociální pracovník/školní sociální pracovnice
C000934_cs_001	školní sociální pracovnice
C000934_cs_002	školní sociální pracovník
C000935_cs_000	překladatel/překladatelka
C000935_cs_001	překladatel
C000935_cs_002	překladatelka
C000936_cs_000	montér kotlář a potrubář
C000937_cs_000	referent plánování sociálních služeb/referentka plánování sociálních služeb
C000937_cs_001	referent plánování sociálních služeb
C000937_cs_002	referentka plánování sociálních služeb
C000937_cs_003	sociální pracovnice
C000937_cs_004	sociální pracovník
C000938_cs_000	montážní dělník mechatroniky/montážní dělnice mechatroniky
C000938_cs_001	montážní dělnice mechatroniky
C000938_cs_002	montážní dělník mechatroniky
C000938_cs_003	montér mechatroniky
C000939_cs_000	filmový režisér/filmová režisérka
C000939_cs_001	filmová režisérka
C000939_cs_002	filmový režisér
C000940_cs_000	úvěrový poradce/úvěrová poradkyně
C000940_cs_001	dluhová poradkyně
C000940_cs_002	dluhový poradce
C000940_cs_003	kreditní poradce
C000940_cs_004	kreditní poradkyně
C000940_cs_005	úvěrová poradkyně
C000940_cs_006	úvěrový poradce
C000941_cs_000	toaletář/toaletářka
C000941_cs_001	toaletář
C000941_cs_002	toaletářka
C000942_cs_000	opravář hodin/opravářka hodin
C000942_cs_001	opravář hodin
C000942_cs_002	opravářka hodin
C000943_cs_000	pracovník v zahradnictví/pracovnice v zahradnictví
C000943_cs_001	pomocná zahradnice
C000943_cs_002	pomocný zahradník
C000943_cs_003	pracovnice v zahradnictví
C000943_cs_004	pracovník v zahradnictví
C000943_cs_005	zahradnice
C000943_cs_006	zahradnická pomocnice
C000943_cs_007	zahradnický pomocník
C000943_cs_008	zahradník
C000944_cs_000	inspicient/inspicientka
C000944_cs_001	inspicient
C000944_cs_002	inspicientka
C000945_cs_000	pekař/pekařka
C000945_cs_001	pekař
C000945_cs_002	pekařka
C000945_cs_003	pracovnice pekárny
C000945_cs_004	pracovník pekárny
C000946_cs_000	operátor velínu vodárny/operátorka velínu vodárny
C000947_cs_000	učitel vědy na střední škole / učitelka vědy na střední škole
C000947_cs_001	středoškolská učitelka vědy
C000947_cs_002	středoškolský učitel vědy
C000947_cs_003	učitel biologie střední školy
C000947_cs_004	učitel chemie střední školy
C000947_cs_005	učitel fyziky střední školy
C000947_cs_006	učitel vědy na střední škole
C000947_cs_007	učitel vědy střední školy
C000947_cs_008	učitelka biologie střední školy
C000947_cs_009	učitelka chemie střední školy
C000947_cs_010	učitelka fyziky střední školy
C000947_cs_011	učitelka vědy na střední školy
C000947_cs_012	učitelka vědy střední školy
C000948_cs_000	finanční auditor/finanční auditorka
C000948_cs_001	externí auditor
C000948_cs_002	externí auditorka
C000948_cs_003	finanční auditor
C000948_cs_004	finanční auditorka
C000949_cs_000	hotelový concierge/hotelová concierge
C000949_cs_001	domovnice
C000949_cs_002	domovník
C000949_cs_003	správce domu
C000949_cs_004	správkyně domu
C000950_cs_000	specialista pro chemické látky/specialistka pro chemické látky
C000950_cs_001	specialista pro chemické látky
C000950_cs_002	specialistka pro chemické látky
C000950_cs_003	vývojová chemička
C000950_cs_004	vývojová pracovnice chemička
C000950_cs_005	vývojový chemik
C000950_cs_006	vývojový pracovník chemik
C000951_cs_000	event manažer/event manažerka
C000951_cs_001	manažer eventů
C000951_cs_002	manažerka eventů
C000952_cs_000	vedoucí prodejny zdravotnických potřeb
C000953_cs_000	inspektor bezpečnosti a ochrany zdraví v dopravě/inspektorka bezpečnosti a ochrany zdraví v dopravě
C000953_cs_001	inspektor bezpečnosti a ochrany zdraví v dopravě
C000953_cs_002	inspektorka bezpečnosti a ochrany zdraví v dopravě
C000954_cs_000	technik pro zpracování kapalného odpadu/technička pro zpracování kapalného odpadu
C000955_cs_000	obsluha strojů na výrobu obuvi
C000956_cs_000	manažer rostlinné výroby/manažerka rostlinné výroby
C000956_cs_001	agronom
C000956_cs_002	agronomka
C000956_cs_003	manažer rostlinné výroby
C000956_cs_004	manažerka rostlinné výroby
C000957_cs_000	technik konečné úpravy textilií/technička konečné úpravy textilií
C000957_cs_001	obsluha dokončovacích strojů v textilní výrobě
C000957_cs_002	strojnice bělení textilu
C000957_cs_003	strojnice konečné úpravy textilií
C000957_cs_004	strojník bělení textilu
C000957_cs_005	strojník konečné úpravy textilií
C000957_cs_006	technik konečné úpravy textilií
C000957_cs_007	technička konečné úpravy textilií
C000958_cs_000	obsluha zemědělských strojů
C000958_cs_001	obsluha zemědělských strojů a zařízení
C000958_cs_002	obsluhy zemědělských strojů
C000958_cs_003	řidič zemědělských strojů
C000958_cs_004	řidička zemědělských strojů
C000959_cs_000	ilustrátor/ilustrátorka
C000959_cs_001	ilustrátor
C000959_cs_002	ilustrátorka
C000959_cs_003	komiksová výtvarnice
C000959_cs_004	komiksový výtvarník
C000960_cs_000	projektant zařízení na výrobu větrné energie/projektantka zařízení na výrobu větrné energie
C000960_cs_001	projektant zařízení na výrobu větrné energie
C000960_cs_002	projektantka zařízení na výrobu větrné energie
C000961_cs_000	řidič a pracovník obsluhy hasičských vozidel/řidička a pracovnice obsluhy hasičských vozidel
C000961_cs_001	řidič a pracovník obsluhy hasičských vozidel
C000961_cs_002	řidička a pracovnice obsluhy hasičských vozidel
C000962_cs_000	záskok
C000962_cs_001	dubl
C000962_cs_002	dublér
C000962_cs_003	dublérka
C000962_cs_004	náhradnice
C000962_cs_005	náhradník
C000963_cs_000	přednášející v oboru ošetřovatelství
C000964_cs_000	dělník pro odklízení sněhu/dělnice pro odklízení sněhu
C000964_cs_001	dělnice pro odklízení sněhu
C000964_cs_002	dělník pro odklízení sněhu
C000965_cs_000	inženýrský geolog/ inženýrská geoložka
C000965_cs_001	inženýrská geoložka
C000965_cs_002	inženýrský geolog
C000966_cs_000	pracovník ve smíšeném zemědělství/pracovnice ve smíšeném zemědělství
C000966_cs_001	pracovnice ve smíšeném zemědělství
C000966_cs_002	pracovník ve smíšeném zemědělství
C000967_cs_000	kontrolor elektrických zařízení/kontrolorka elektrických zařízení
C000967_cs_001	kontrolor elektrických zařízení
C000967_cs_002	kontrolorka elektrických zařízení
C000967_cs_003	testovač elektrických zařízení
C000967_cs_004	testovačka elektrických zařízení
C000968_cs_000	inženýr konstruktér zařízení/inženýrka konstruktérka zařízení
C000968_cs_001	inženýr konstruktér zařízení
C000968_cs_002	inženýr technolog zařízení
C000968_cs_003	inženýrka konstruktérka zařízení
C000968_cs_004	inženýrka technoložka zařízení
C000969_cs_000	obsluha bubnu
