Q000001	Кметски наместник, община
Q000872	Експерт, системи въздушно обслужване
Q000873	Експерт, навигация и метеорологична техника
Q000874	Експерт, метеорологично осигуряване
Q000875	Инженер, роботика
Q000876	Началник, група "Експлоатация и поддържане в пощи и далекосъобщения"
Q000877	Инженер, радиотелеграфист
Q000878	Инженер, телекомуникация
Q000879	Инженер, телекомуникация (космичен )
Q000880	Инженер, телекомуникация (радарни системи )
Q000881	Инженер, телекомуникация (радио)
Q000882	Инженер, телекомуникация (сигнални системи)
Q000883	Инженер, телекомуникация (телевизия )
Q000884	Инженер, телекомуникация (телеграф)
Q000885	Инженер, телекомуникация (телефон)
Q000886	Инженер, ръководител екип/радио и телевизия
Q000887	Инженер, АРС на подвижен състав, метрополитен
Q000888	Експерт, телекомуникации и мрежи за данни
Q000889	Експерт, комуникации
Q000890	Специалист, телекомуникации и мрежи за данни
Q000891	Специалист, маршрутизаторно оборудване
Q000892	Главен архитект
Q000893	Архитект
Q000894	Архитект, интериор
Q000895	Ландшафтен архитект
Q000896	Дизайнер, моден
Q000897	Моделиер
Q000898	Дизайнер, сценични костюми
Q000899	Дизайнер, бижута
Q000900	Промишлен дизайнер
Q000901	Урбанист
Q000902	Геодезист
Q000903	Земемер
Q000904	Специалист, кадастър и регулация
Q000905	Картограф
Q000906	Топограф
Q000907	Фотограметрист
Q000908	Хидрограф
Q000909	Мултимедиен дизайнер
Q000910	Уеб дизайнер
Q000911	Илюстратор
Q000912	Графичен дизайнер
Q000913	Дизайнер, печатни издания
Q000914	Специалист, дигитални изкуства
Q000915	Компютърен аниматор
Q000916	Художествен оформител
Q000917	Лекар, специализант по обща медицина
Q000918	Лекар, обща медицина
Q000919	Лекар, вътрешни болести
Q000920	Лекар, педиатрия
Q000921	Лекар, спешна медицина
Q000922	Лекар, обща и клинична патология
Q000923	Лекар, токсикология
Q000924	Лекар, акушерство и гинекология
Q000925	Лекар, клинична алергология
Q000926	Лекар, анатомия, хистология и цитология
Q000927	Лекар, анестезиология и интензивно лечение
Q000928	Лекар, биохимия
Q000929	Лекар, вирусология
Q000930	Лекар, гастроентерология
Q000931	Лекар, медицинска генетика
Q000932	Лекар, гериатрична медицина
Q000933	Лекар, кожни и венерически болести
Q000934	Лекар, ендокринология и болести на обмяната
Q000935	Лекар, епидемиология на инфекциозните болести
Q000936	Лекар, клинична имунология
Q000937	Лекар, инфекциозни болести
Q000938	Лекар, кардиология
Q000939	Лекар, клинична лаборатория
Q000940	Лекар, микробиология
Q000941	Лекар, нервни болести
Q000942	Лекар, неонатология
Q000943	Лекар, нефрология
Q000944	Лекар, медицинска онкология
Q000945	Лекар, ушно-носно-гърлени болести
Q000946	Лекар, очни болести
Q000947	Лекар, медицинска паразитология
Q000948	Лекар, патофизиология
Q000949	Лекар, детска ендокринология и болести на обмяната
Q000950	Лекар, педиатър ? алерголог
Q000951	Лекар, детска кардиология
Q000952	Лекар, детска неврология
Q000953	Лекар, детска нефрология и хемодиализа
Q000954	Лекар, детска клинична хематология и онкология
Q000955	Лекар, детска пневмология и фтизиатрия
Q000956	Лекар, детска психиатрия
Q000957	Лекар, детска ревматология
Q000958	Лекар, детска гастроентерология
Q000959	Лекар, професионални болести
Q000960	Лекар, психиатрия
Q000961	Лекар, пневмология и фтизиатрия
Q000962	Лекар, образна диагностика
Q000963	Лекар, нуклеарна медицина
Q000964	Лекар, радиобиология
Q000965	Лекар, ревматология
Q000966	Лекар, специалист по икономика на здравеопазването
Q000967	Лекар, медицина на бедствените ситуации (на катастрофите)
Q000968	Лекар, специалист по социална медицина и здравен мениджмънт
Q000969	Лекар, спортна медицина
Q000970	Лекар, съдебна психиатрия
Q000971	Лекар, съдебна медицина
Q000972	Лекар, клинична фармакология и терапия
Q000973	Лекар, физикална и рехабилитационна медицина
Q000974	Лекар, клинична хематология
Q000975	Лекар, член на НЕЛК/ТЕЛК/ДЕЛК
Q000976	Лекар, хирургия
Q000977	Лекар, гръдна хирургия
Q000978	Лекар, детска хирургия
Q000979	Хирург, естетична (козметична) хирургия
Q000980	Лекар, кардиохирургия
Q000981	Лекар, лицево-челюстна хирургия
Q000982	Лекар, неврохирургия
Q000983	Лекар, ортопедия и травматология
Q000984	Лекар, пластично-възстановителна и естетична хирургия
Q000985	Лекар, съдова хирургия
Q000986	Лекар, урология
Q000987	Лекар, авиационна медицина
Q000988	Лекар, лъчелечение
Q000989	Лекар, трансфузионна хематология
Q000990	Лекар, ангиология
Q000991	Лекар, клинична токсикология
Q000992	Лекар, обща хигиена
Q000993	Лекар, радиационна хигиена
Q000994	Лекар, хигиена на детско-юношеската възраст
Q000995	Лекар, хранене и диететика
Q000996	Лекар, медицинска биология
Q000997	Лекар, физиология
Q000998	Лекар, военна токсикология
Q000999	Лекар, военномедицинско планиране
Q001000	Лекар, превантивна военна медицина
Q001001	Лекар, специализант
Q001002	Лекар, фармакология
Q001003	Лекар, педиатрия (специалист)
Q001004	Лекар, вътрешни болести (специалист)
Q001005	Медицинска сестра
Q001006	Медицинска сестра, домашни грижи
Q001007	Медицинска сестра, специализант
Q001008	Медицинска сестра, анестезиология и интензивни грижи
Q001009	Медицинска сестра, консултант по кърмене и здравословно и диетично хранене
Q001010	Медицинска сестра, болнична хигиена (превенция и контрол на инфекциите)
Q001011	Медицинска сестра за социални дейности
Q001012	Медицинска сестра, обществено здравеопазване
Q001013	Медицинска сестра, операционна и превързочна техника
Q001014	Медицинска сестра, психиатрични грижи
Q001015	Медицинска сестра, първични здравни грижи
Q001016	Медицинска сестра, спешна медицинска помощ
Q001017	Медицинска сестра, със специалност в системата на здравеопазването
Q001018	Медицинска сестра, специфични грижи за пациенти с онкологични заболявания
Q001019	Медицинска сестра, апаратно поддържане на извънтелесно кръвообращение
Q001020	Акушерка
Q001021	Акушерка, специализант
Q001022	Акушерка, анестезиология и интензивни грижи
Q001023	Акушерка, консултант по кърмене и здравословно и диетично хранене
Q001024	Акушерка, болнична хигиена (превенция и контрол на инфекциите)
Q001025	Акушерка, обществено здравеопазване
Q001026	Акушерка, операционна и превързочна техника
Q001027	Акушерка, със специалност в системата на здравеопазването
Q001028	Лекар, хомеопат
Q001029	Лекар по дентална медицина, хомеопат
Q001030	Фелдшер
Q001031	Фелдшер, специализант
Q001032	Фелдшер, със специалност в системата на здравеопазването
Q001033	Лекарски асистент
Q001034	Физиолог, животни
Q001035	Ветеринар
Q001036	Епизоотолог
Q001037	Лекар по дентална медицина
Q001038	Лекар по дентална медицина, детска дентална медицина
Q001039	Лекар по дентална медицина, ортодонтия
Q001040	Лекар по дентална медицина, протетична дентална медицина
Q001041	Лекар по дентална медицина, пародонтология и заболявания на оралната лигавица
Q001042	Лекар по дентална медицина, орална хирургия
Q001043	Лекар по дентална медицина, обща дентална медицина
Q001044	Лекар по дентална медицина, оперативно зъболечение и ендодонтия
Q001045	Лекар по дентална медицина, социална медицина и обществено дентално здраве
Q001046	Лекар по дентална медицина, дентална клинична алергология
Q001047	Лекар по дентална медицина, дентална образна диагностика
Q001048	Лекар по дентална медицина, лицево-челюстна хирургия
Q001049	Фармацевт, индустриален
Q001050	Химик-фармацевт
Q001051	Фармацевт- магистър, медицински представител
Q001052	Експерт, здравна комуникация и лекарствена информация
Q001053	Експерт, клинични изследвания
Q001054	Експерт, регистрация на лекарствени продукти
Q001055	Фармацевт магистър
Q001056	Фармацевт магистър, инспектор
Q001057	Фармацевт магистър, технолог
Q001058	Фармацевт, магистър, клинична фармация
Q001059	Фармацевт, магистър, лечебни растения и фитофармацевтични продукти
Q001060	Фармацевт, магистър, организация и икономика на дистрибуторската и аптечната практика
Q001061	Фармацевт, магистър, организация и икономика на фармацевтичното производство
Q001062	Фармацевт, магистър, технология на лекарствата с биофармация
Q001063	Фармацевт, магистър, токсикология и токсикологичен анализ
Q001064	Фармацевт, магистър, клинична химия
Q001065	Фармацевт, магистър, военномедицинско снабдяване
Q001066	Експерт, здравословни и безопасни условия на работа
Q001067	Лекар, комунална хигиена
Q001068	Лекар, служба по трудова медицина
Q001069	Лекар, експерт по експертиза на работоспособността
Q001070	Лекар, експерт по експертиза на временна неработоспособност
Q001071	Лекар, специалист по трудова медицина
Q001072	Рехабилитатор
Q001073	Рехабилитатор, специализант
Q001074	Рехабилитатор, рехабилитационни методики и лечение на деца с церебрална парализа
Q001075	Кинезитерапевт
Q001076	Медицински рехабилитатор, ерготерапевт
Q001077	Физиотерапист
Q001078	Диетолог
Q001079	Инструктор, диетично хранене
Q001080	Консултант, диетично хранене
Q001081	Консултант, здравословно хранене
Q001082	Логопед
Q001083	Оптик, оптометрист
Q001084	Ерготерапевт
Q001085	Терапевт, ориентиране на слепи
Q001086	Терапевт, професионално съветване
Q001087	Експерт, лекарствена безопасност
Q001088	Главен експерт, лекарствена безопасност
Q001089	Контрольор в Районна здравноосигурителна каса
Q001090	Лекар, медицинско застраховане и консултации
Q001091	Лекар по дентална медицина, контрольор
Q001092	Лекар, контрольор
Q001093	Преподавател, висше училище
Q001094	Гост-преподавател, висше училище
Q001095	Хоноруван преподавател, висше училище
Q001096	Асистент, висше училище
Q001097	Главен асистент, висше училище
Q001098	Доцент, висше училище
Q001099	Професор, висше училище
Q001100	Старши преподавател, висше училище
Q001101	Старши учител, практическо обучение
Q001102	Старши учител, теоретично обучение
Q001103	Преподавател, център за професионално обучение
Q001104	Учител/преподавател, професионален колеж
Q001105	Главен учител, практическо обучение
Q001106	Главен учител, теоретично обучение
Q001107	Учител, общообразователен учебен предмет в прогимназиален етап
Q001108	Учител, общообразователен учебен предмет в гимназиален етап
Q001109	Учител спортна подготовка
Q001110	Старши учител, общообразователен учебен предмет в прогимназиален етап
Q001111	Старши учител, общообразователен учебен предмет в гимназиален етап
Q001112	Старши учител спортна подготовка
Q001113	Учител по религия в прогимназиален етап
Q001114	Учител по религия в гимназиален етап
Q001115	Старши учител по религия в прогимназиален етап
Q001116	Старши учител по религия в гимназиален етап
Q001117	Главен учител, общообразователен учебен предмет в прогимназиален етап
Q001118	Главен учител, общообразователен учебен предмет в гимназиален етап
Q001119	Главен учител спортна подготовка
Q001120	Главен учител по религия в прогимназиален етап
Q001121	Главен учител по религия в гимназиален етап
Q001122	Учител, начален етап на основното образование (I-IV клас)
Q001123	Старши учител, начален етап на основното образование (I-IV клас)
Q001124	Учител, чужд език в начален етап на основното образование (I-IV клас)
Q001125	Старши учител, чужд език в начален етап на основното образование (I-IV клас)
Q001126	Учител по религия в начален етап на основното образование (I-IV клас)
Q001127	Старши учител по религия в начален етап на основното образование (I-IV клас)
Q001128	Главен учител, начален етап на основното образование (I-IV клас)
Q001129	Главен учител, чужд език в начален етап на основното образование (I-IV клас)
Q001130	Главен учител по религия в начален етап на основното образование (I-IV клас)
Q001131	Учител, детска градина
Q001132	Старши учител, детска градина
Q001133	Учител, музика в детска градина
Q001134	Старши учител, музика в детска градина
Q001135	Учител, подготвителна група
Q001136	Старши учител, подготвителна група
Q001137	Главен учител, детска градина
Q001138	Главен учител, музика в детска градина
Q001139	Главен учител, подготвителна група
Q001140	Учител методик
Q001141	Учител, ресурсен
Q001142	Старши учител, ресурсен
Q001143	Логопед в институция в системата на предучилищното и училищното образование
Q001144	Учител на деца с умствена изостаналост
Q001145	Старши учител на деца с умствена изостаналост
Q001146	Рехабилитатор на слуха и говора в институция в системата на предучилищното и училищното образование
Q001147	Учител на деца с нарушено зрение
Q001148	Старши учител на деца с нарушено зрение
Q001149	Главен учител, ресурсен
Q001150	Главен учител на деца с умствена изостаналост
Q001151	Главен учител на деца с нарушено зрение
Q001152	Учител/ Преподавател, чужд език в занимания по интереси
Q001153	Учител, чужд език в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001154	Старши учител, чужд език в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001155	Главен учител, чужд език в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001156	Учител/ Преподавател, музика в занимания по интереси
Q001157	Ръководител, музика в обслужващи звена в системата на народната просвета
Q001158	Учител, музика в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001159	Старши учител, музика в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001160	Главен учител, музика в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001161	Учител/ Преподавател, изобразително и/или приложно изкуство в занимания по интереси
Q001162	Ръководител, изобразително изкуство в обслужващи звена в системата на народната просвета
Q001163	Учител, изобразително изкуство и/или приложно изкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001164	Старши учител, изобразително изкуство и/или приложно изкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001165	Учител/ Преподавател, кино и фотоизкуство в занимания по интереси
Q001166	Учител, кино и фотоизкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001167	Старши учител, кино и фотоизкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001168	Учител/ Преподавател, танцово изкуство в занимания по интереси
Q001169	Учител, танцово изкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001170	Старши учител, танцово изкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001171	Учител/ Преподавател, театрално изкуство в занимания по интереси
Q001172	Учител, театрално изкуство в център за подкрепа за личностно развитие и в Националния дворец  на децата
Q001173	Старши учител, театрално изкуство в център за подкрепа за личностно развитие и в Националния дворец  на децата
Q001174	Главен учител, изобразително изкуство и/или приложно изкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001175	Главен учител, кино и фотоизкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001176	Главен учител, танцово изкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001177	Главен учител, театрално изкуство в център за подкрепа за личностно развитие в Националния дворец  на децата
Q001178	Майстор, учебно производство
Q001179	Учител, литературно творчество в занимания по интереси
Q001180	Учител, литературно творчество в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001181	Старши учител, литературно творчество в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001182	Учител/ Преподавател, природо-математически учебни предмети в занимания по интереси
Q001183	Учител, природо-математически учебни предмети в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001184	Старши учител, природо-математически учебни предмети в център за подкрепа за личностно развитие и в Националния дворец  на децата
Q001185	Учител/ Преподавател, селскостопански учебни предмети и екология и опазване на околната среда в занимания по интереси
Q001186	Учител, селскостопански учебни предмети и екология и опазване на околната среда в център за подкрепа за личностно развитие и в Националния дворец  на децата
Q001187	Старши учител, селскостопански учебни предмети и екология и опазване на околната среда в център за подкрепа за личностно развитие и в Националния дворец  на децата
Q001188	Учител/ Преподавател, спортни дейности и туризъм в занимания по интереси
Q001189	Учител, спортни дейности и туризъм в център за подкрепа за личностно развитие и в Националния дворец  на децата
Q001190	Старши учител, спортни дейности и туризъм в център за подкрепа за личностно развитие и в Националния дворец  на децата
Q001191	Учител/ Преподавател, хуманитарни и обществени дисциплини в  занимания по интереси
Q001192	Учител, хуманитарни и обществени дисциплини в  център за подкрепа за личностно развитие и в Националния дворец  на децата
Q001193	Старши учител, хуманитарни и обществени дисциплини в  център за подкрепа за личностно развитие и в Националния дворец  на децата
Q001194	Ръководител на направление "Информационни и комуникационни технологии"
Q001195	Специалист, дистанционно обучение
Q001196	Ръководител на учебна дейност
Q001197	Инспектор, Национален инспекторат по образованието
Q001198	Заместник - директор, административно-стопанска дейност
Q001199	Заместник - директор, учебно -производствена дейност
Q001200	Заместник-директор, учебно- творческа дейност
Q001201	Заместник - директор, спортна дейност
Q001202	Възпитател
Q001203	Старши възпитател
Q001204	Главен възпитател
Q001205	Педагогически съветник
Q001206	Педагог
Q001207	Инспектор, учебна дейност
Q001208	Слухово-речев рехабилитатор на деца с увреден слух
Q001209	Главен учител, литературно творчество в център за подкрепа за личностно развитие и в Националния дворец на децата
Q001210	Главен учител, природо-математически учебни предмети в център за подкрепа за личностно развитие и в Националния дворец  на децата
Q001211	Главен учител, селскостопански учебни предмети и екология и опазване на околната среда в център за подкрепа за личностно развитие и в Националния дворец  на децата
Q001212	Главен учител, спортни дейности и туризъм в център за подкрепа за личностно развитие и в Националния дворец  на децата
Q001213	Главен учител, хуманитарни и обществени дисциплини в  център за подкрепа за личностно развитие и в Националния дворец  на децата
Q001214	Старши счетоводител
Q001215	Младши счетоводител
Q001216	Член на Одитен комитет
Q001217	Старши одитор
Q001218	Дипломиран експерт счетоводител
Q001219	Главен счетоводител
Q001220	Заместник главен счетоводител
Q001221	Счетоводител
Q001222	Одитор
Q001223	Асистент одитор
Q001224	Старши помощник одитор
Q001225	Вътрешен одитор
Q001226	Ревизор
Q001227	Финансов контрольор
Q001228	Синдик
Q001229	Ликвидатор
Q001230	Старши банков служител, финансов контрол
Q001231	Одитор по чл. 45 от Закона за вътрешния одит в публичния сектор
Q001232	Мениджър методология и развитие на застрахователни продукти
Q001233	Експерт, банка/финансова/платежна институция
Q001234	Експерт, хеджиране
Q001235	Експерт, инвеститорски контрол
Q001236	Инвестиционен консултант
Q001237	Експерт, имуществено планиране
Q001238	Експерт, финансово планиране
Q001239	Експерт, застраховане
Q001240	Данъчен консултант
Q001241	Преговарящ, управление на просрочията
Q001242	Преговарящ, управление на вземанията
Q001243	Финансов анализатор
Q001244	Анализатор, банка
Q001245	Експерт, финансови и стопански анализи
Q001246	Експерт, връзки с инвеститорите
Q001247	Анализатор, облигации
Q001248	Консултант, ценни книжа
Q001249	Инвестиционен анализатор
Q001250	Експерт, управление на собствеността
Q001251	Експерт, обществени поръчки
Q001252	Експерт лизинг
Q001253	Мениджър, ключови клиенти
Q001254	Експерт  доставки, преработваща промишленост
Q001255	Мениджър, проекти
Q001256	Експерт, продажби
Q001257	Търговски пълномощник
Q001258	Ръководител търговски екип
Q001259	Експерт, стопанска дейност
Q001260	Експерт, бизнес развитие
Q001261	Експерт, капитално строителство
Q001262	Експерт, инженеринг
Q001263	Експерт, търговия
Q001264	Бизнес консултант
Q001265	Консултант по управление
Q001266	Анализатор, ефективност на търговската дейност
Q001267	Одитор, качество
Q001268	Организатор, стопански дейности
Q001269	Организатор, ремонт и поддръжка
Q001270	Координатор производство
Q001271	Специалист, сигурност
Q001272	Специалист, комуникации
Q001273	Специалист, качество
Q001274	Специалист, технически контрол
Q001275	Специалист, игри и тиражи
Q001276	Координатор програмна дейност, радио и телевизия
Q001277	Специалист, банка/финансова/платежна институция
Q001278	Експерт/ Координатор, изложби и събития в музей/художествена галерия
Q001279	Младши вътрешен одитор
Q001280	Младши инспектор
Q001281	Младши публичен изпълнител
Q001282	Старши експерт, кметство
Q001283	Младши експерт, кметство
Q001284	Младши експерт
Q001285	Мениджър корпоративен център, банка/финансова/платежна институция
Q001286	Областен мениджър, банка/финансова/платежна институция
Q001287	Председател на регионална структура на организация на работниците и служителите
Q001288	Инспектор, държавен служител
Q001289	Публичен изпълнител, държавен служител
Q001290	Счетоводител, държавен служител
Q001291	Секретар на Местна комисия за борба с трафика на хора
Q001292	Инженер, държавен служител
Q001293	Областен координатор, организация на работниците и служителите
Q001294	Главен инспектор, администрация
Q001295	Експерт, социално осигуряване
Q001296	Експерт, програми и проекти
Q001297	Експерт, международно сътрудничество
Q001298	Експерт, европейска интеграция
Q001299	Сътрудник по управление на европейски проекти и програми
Q001300	Главен инженер, община/район
Q001301	Главен счетоводител, община/район
Q001302	Главен вътрешен одитор
Q001303	Старши вътрешен одитор
Q001304	Главен одитор по чл. 45, ал.1 от Закона за вътрешния одит в публичния сектор
Q001305	Старши одитор по чл. 45, ал.1 от Закона за вътрешния одит в публичния сектор
Q001306	Младши одитор по чл. 45, ал.1 от Закона за вътрешния одит в публичния сектор
Q001307	Стажант-одитор
Q001308	Старши счетоводител, държавен служител
Q001309	Социален работник, държавен служител
Q001310	Главен експерт
Q001311	Главен експерт, Народно събрание/Президент/Министерски съвет
Q001312	Главен инспектор
Q001313	Главен публичен изпълнител
Q001314	Митнически дознател, администрация и Столична община
Q001315	Старши експерт
Q001316	Старши инспектор
Q001317	Старши публичен изпълнител
Q001318	Съветник, министър
Q001319	Експерт, кабинета на министър
Q001320	Началник сектор, областно звено
Q001321	Старши инспектор, областно звено
Q001322	Инспектор, областно звено
Q001323	Служител по сигурността на информацията, община/район
Q001324	Секретар, МКБППМН
Q001325	Експерт, стопанско управление
Q001326	Съветник
Q001327	Инспектор по банков надзор
Q001328	Ръководител смяна "Обработка на тиражите"
Q001329	Ръководител на регионален център за обработка на тиражите
Q001330	Експерт към политическия кабинет на заместник министър-председател
Q001331	Експерт към политическия кабинет на министър-председателя
Q001332	Съветник към политическия кабинет на министър-председателя
Q001333	Независим оценител
Q001334	Длъжностно лице по защита на данните
Q001335	Главен методолог, НОИ
Q001336	Главен инженер, Столична община
Q001337	Главен счетоводител, бюджетен
Q001338	Главен счетоводител, държавен служител
Q001339	Държавен вътрешен одитор
Q001340	Главен одитор, Сметна палата
Q001341	Старши одитор, Сметна палата
Q001342	Одитор, Сметна палата
Q001343	Стажант-одитор, Сметна палата
Q001344	Държавен одитор по чл. 45, ал.1 от Закона за вътрешния одит в публичния сектор
Q001345	Главен вътрешен одитор, Народно събрание/Президент/Министерски съвет
Q001346	Финансов контрольор, държавен служител
Q001347	Главен юрисконсулт, държавен служител
Q001348	Старши юрисконсулт, държавен служител
Q001349	Главен инженер
Q001350	Държавен експерт
Q001351	Държавен инспектор
Q001352	Държавен публичен изпълнител
Q001353	Правителствен агент, Министерство на правосъдието
Q001354	Правителствен преводач
Q001355	Редактор стилист на нормативни актове
Q001356	Служител, сигурност на информацията
Q001357	Съветник, Народно събрание/Президент/Министерски съвет
Q001358	Началник група, областно звено
Q001359	Служител по сигурността на информацията, министерство/администрация/Столична община
Q001360	Главен експерт, Сметна палата
Q001361	Старши експерт, Сметна палата
Q001362	Експерт, Сметна палата
Q001363	Служител по сигурността на информацията, Народно събрание/Президент/Министерски съвет
Q001364	Държавен финансов инспектор
Q001365	Главен финансов инспектор
Q001366	Старши финансов инспектор
Q001367	Младши финансов инспектор
Q001368	Експерт, управление при кризи и отбранително мобилизационна подготовка
Q001369	Обществен посредник
Q001370	Научен секретар
Q001371	Главен асистент
Q001372	Асистент
Q001373	Доцент
Q001374	Професор
Q001375	Финансов инспектор
Q001376	Юрисконсулт, държавен служител
Q001377	Длъжностно лице по регистрацията по Закона за търговския регистър
Q001378	Инспектор в служба "Военна информация"
Q001379	Член на научна група в музей/художествена галерия
Q001380	Специалист, управление на човешките ресурси
Q001381	Експерт, труд и работна заплата
Q001382	Експерт, индустриални отношения
Q001383	Експерт, нормиране на труда
Q001384	Експерт, организация на труда
Q001385	Експерт, подбор на персонала
Q001386	Експерт, професионално/кариерно ориентиране
Q001387	Експерт, трудова заетост
Q001388	Експерт, трудово посредничество и професионално ориентиране
Q001389	Експерт, управление на човешките ресурси
Q001390	Кариерен консултант
Q001391	Експерт, обучение и квалификация
Q001392	Специалист, обучение и развитие
Q001393	Специалист, развитие на работната сила
Q001394	Организатор обучение
Q001395	Анализатор, проучване на пазари
Q001396	Експерт, маркетинг
Q001397	Експерт, реклама
Q001398	Експерт, политика на цените
Q001399	Експерт, външна търговия
Q001400	Експерт, връзки с обществеността
Q001401	Специалист продажби в областта на медицината
Q001402	Специалист продажби в областта на  техниката (без информационни и комуникационни технологии)
Q001403	Лекар-медицински представител
Q001404	Продуктов мениджър
Q001405	Мениджър, акаунт: продажби (информационни и комуникационни технологии)
Q001406	Търговски представител: ИКТ
Q001407	Агент, продажби ИКТ
Q001408	Системен архитект
Q001409	Бизнес анализатор, информационни технологии
Q001410	Експерт, анализ и дизайн
Q001411	Проектант, информационни системи
Q001412	Анализатор, САП
Q001413	Ръководител ИТ проекти
Q001414	Системен проектант
Q001415	Разработчик, софтуер
Q001416	Програмист, мултимедия
Q001417	Консултант, интернет програмиране
