C000001_no_000	Militære yrker og uoppgitt
C001031_no_000	bookingagent
C001032_no_000	salgskampanjeassistent
C001033_no_000	skadedyrbekjemper
C001033_no_001	desinfektør
C001034_no_000	finansplanlegger
C001035_no_000	instruktør i taleteknikk
C001036_no_000	vannveisarbeider
C001036_no_001	vedlikeholdsoperatør, vannveier
C001037_no_000	prosessoperatør, tekstilfarging
C001037_no_001	fargeekspert
C001038_no_000	maskinoperatør, metallmøbler
C001038_no_001	maskinarbeider
C001038_no_002	maskinpasser
C001039_no_000	sirkusartist
C001040_no_000	kvalitetsinspektør, elektronisk utstyr
C001040_no_001	kvalitetskontrollør, elektronisk utstyr
C001041_no_000	IKT-miljøkonsulent
C001042_no_000	maskinskriver
C001042_no_001	stenograf
C001043_no_000	støpemaskinoperatør
C001043_no_001	støper
C001044_no_000	saksbehandler for tvangsauksjoner av eiendom
C001045_no_000	aktivitetsleder
C001046_no_000	prosessoperatør, luftseparasjonsanlegg
C001047_no_000	maskinoperatør, lakkblander
C001047_no_001	lakkblander
C001047_no_002	malingblander
C001047_no_003	prosessoperatør
C001048_no_000	masteringtekniker
C001049_no_000	skiftleder, gruvedrift
C001050_no_000	energirådgiver
C001051_no_000	distribusjonssjef innen blomster og planter
C001051_no_001	distribusjonsplanlegger innen blomster og planter
C001052_no_000	møbelrenser
C001052_no_001	møbeltapetserer
C001053_no_000	fotosetter
C001053_no_001	grafisk tekniker
C001054_no_000	tolk
C001055_no_000	maskinsmører
C001055_no_001	smører
C001055_no_002	vognsmører
C001056_no_000	mekaniker, roterende utstyr
C001056_no_001	industrimekaniker
C001056_no_002	industritekniker
C001056_no_003	maskinmekaniker
C001056_no_004	maskinreparatør
C001056_no_005	reparatør, roterende utstyr
C001056_no_006	turbinmekaniker
C001056_no_007	turbinreparatør
C001057_no_000	pedagogisk rådgiver
C001057_no_001	utdanningsrådgiver
C001058_no_000	satellittekniker
C001059_no_000	maskinoperatør, dekkproduksjon
C001059_no_001	dekkbygger
C001059_no_002	industrioperatør, dekkproduksjon
C001059_no_003	medarbeider på dekkfabrikk
C001059_no_004	operatør, dekkproduksjon
C001060_no_000	distribusjonssjef innen datamaskiner, datatilbehør og programvare
C001060_no_001	distribusjonsplanlegger, datamaskiner, datatilbehør og programvare
C001060_no_002	forsyningsleder, datamaskiner, datatilbehør og programvare
C001060_no_003	forsyningsplanlegger, datamaskiner, datatilbehør og programvare
C001060_no_004	logistikkplanlegger, datamaskiner, datatilbehør og programvare
C001060_no_005	logistikksjef, datamaskiner, datatilbehør og programvare
C001061_no_000	dypvannsfisker
C001062_no_000	investeringsrådgiver for bedriftskunder
C001063_no_000	fabrikkarbeider
C001063_no_001	fabrikkmedarbeider
C001063_no_002	hjelpearbeider, industri
C001063_no_003	produksjonsmedarbeider
C001064_no_000	ingeniør, roterende utstyr
C001065_no_000	valgobservatør
C001066_no_000	trappemontør
C001066_no_001	trappebygger
C001066_no_002	trappeinstallatør
C001067_no_000	søppelkjører
C001068_no_000	produksjonsarbeider, medisinsk utstyr
C001068_no_001	medarbeider, produksjon av medisinsk utstyr
C001068_no_002	montør, medisinsk utstyr
C001068_no_003	produksjonsmedarbeider, medisinsk utstyr
C001069_no_000	distribusjonssjef innen farmasøytiske produkter
C001069_no_001	distribusjonsplanlegger, farmasøytiske produkter
C001069_no_002	forsyningsleder, farmasøytiske produkter
C001069_no_003	logistikkplanlegger, farmasøytiske produkter
C001069_no_004	logistikksjef, farmasøytiske produkter
C001070_no_000	dieselmotormekaniker
C001070_no_001	dieselmekaniker
C001070_no_002	dieselmekaniker, jernbane
C001070_no_003	mekaniker, dieselmotorer
C001071_no_000	biblioteksjef
C001071_no_001	leder, bibliotek
C001071_no_002	overbibliotekar
C001072_no_000	lærhåndverker
C001072_no_001	håndverker, lær
C001072_no_002	salmaker
C001073_no_000	veterinærsykepleier
C001074_no_000	tekniker, fotonikk
C001075_no_000	teknisk tegner, elektro
C001076_no_000	maskinoperatør, støping
C001076_no_001	fagoperatør, støperi
C001076_no_002	maskinarbeider, støping
C001076_no_003	støper
C001076_no_004	støperiarbeider
C001077_no_000	kretskorttester
C001077_no_001	kvalitetskontrollør, kretskort
C001077_no_002	produkttester, kretskort
C001077_no_003	produkttester, trykte kretser
C001078_no_000	landmåler, tekniker
C001079_no_000	fysiolog
C001080_no_000	forsker innen datavitenskap
C001081_no_000	kjørelærer, motorsykkel
C001081_no_001	kjøreskolelærer, motorsykkel
C001081_no_002	motorsykkellærer
C001081_no_003	trafikklærer, motorsykkel
C001082_no_000	glassfiberlaminerer
C001082_no_001	glassfiberlaminerer, båtskrog
C001082_no_002	maskinarbeider, glassfiberlaminering
C001082_no_003	maskinoperatør, glassfiberlaminering
C001082_no_004	operatør, sprøytemaskin
C001083_no_000	garderobevakt
C001083_no_001	garderobebetjent
C001083_no_002	garderobedame/-mann
C001084_no_000	planlegger innen skipsfart
C001084_no_001	lasteansvarlig, skip
C001084_no_002	lastplanlegger
C001084_no_003	planlegger, lasteskip
C001085_no_000	parkguide
C001085_no_001	formidler, park
C001085_no_002	guide, besøkssenter
C001085_no_003	guide, fornøyelsespark
C001085_no_004	guide, nasjonalpark
C001085_no_005	reiseleder, nasjonalpark
C001086_no_000	skuespiller
C001087_no_000	avdelingsleder, lærbehandling knyttet til våtprosesser
C001087_no_001	avdelingsleder, avdeling som arbeider med forbehandling av huder og skinn
C001088_no_000	marineoffiser
C001088_no_001	fenrik
C001088_no_002	kadett
C001089_no_000	leder av serviceverksted
C001089_no_001	verkstedleder, kjøretøyer
C001090_no_000	veddemålsagent
C001090_no_001	bookmaker
C001090_no_002	veddemålsformidler
C001091_no_000	hundetrener
C001091_no_001	hundeførerinstruktør
C001091_no_002	hundeinstruktør
C001091_no_003	medarbeider, opplæring av hundeførere og hunder
C001092_no_000	pastatilvirker
C001092_no_001	baker, pastaprodukter
C001092_no_002	pastabaker
C001092_no_003	produksjonsmedarbeider, pasta
C001093_no_000	spesialisert selger, konditor/konfekthandler
C001093_no_001	butikkmedarbeider, konditorvarer/konfekt
C001093_no_002	butikkselger, konditorvarer/konfekt
C001093_no_003	godteriselger
C001093_no_004	spesialisert selger, godterier
C001093_no_005	spesialisert selger, søtsaker
C001094_no_000	industrimekaniker
C001094_no_001	faglært, industrimekanikk
C001094_no_002	mekaniker, industrimaskiner
C001094_no_003	montør, industrimaskiner
C001094_no_004	reparatør, industrimaskiner
C001094_no_005	tekniker, industrimaskiner
C001095_no_000	båtmontør
C001095_no_001	rigger, båt
C001095_no_002	rigger, skip
C001096_no_000	faktasjekker
C001097_no_000	avisredaktør
C001098_no_000	tekniker, mikrosystem
C001099_no_000	kystfisker
C001099_no_001	fisker
C001099_no_002	fiskeskipper
C001099_no_003	yrkesfisker
C001100_no_000	økonomiassistent
C001101_no_000	sjef for IKT-sikkerhet
C001102_no_000	tekniker, mikroelektronikk
C001103_no_000	logistikkoordinator, togfrakt
C001103_no_001	koordinator, jernbanetransport
C001103_no_002	logistiker, jernbane
C001103_no_003	transportkoordinator, jernbane
C001104_no_000	lastinspektør, sjøfrakt
C001105_no_000	historielærer i videregående skole
C001106_no_000	kjemiingeniør, metallurgi
C001107_no_000	maskinoperatør, papirskjæring
C001107_no_001	maskinarbeider, papirskjæring
C001107_no_002	maskinspesialist, papirskjæring
C001107_no_003	operatør, papirskjæremaskin
C001107_no_004	prosessoperatør, papirskjæring
C001107_no_005	skjærer, papirindustri
C001107_no_006	tekniker, papirskjæring
C001108_no_000	dukkefører
C001109_no_000	regionalpolitisk medarbeider
C001110_no_000	vannkvalitetanalytiker
C001111_no_000	dyreterapeut, alternativbehandling
C001112_no_000	produsent av konfeksjonsvarer i tekstil
C001112_no_001	seilmaker
C001112_no_002	syer, innredningstekstiler
C001112_no_003	syer, tepper
C001112_no_004	teltmaker
C001113_no_000	sentrifugeoperatør
C001113_no_001	maskinarbeider, sentrifugering
C001113_no_002	maskinoperatør, sentrifugering
C001114_no_000	prosesstekniker, tekstilfletting
C001114_no_001	maskinarbeider, tekstilfletting
C001114_no_002	maskinoperatør, tekstilfletting
C001114_no_003	operatør, flettemaskin
C001114_no_004	prosesstekniker, produksjon av flettverk til kabler
C001115_no_000	reisekonsulent
C001115_no_001	reisekonsulent, forretningsreiser
C001115_no_002	reisekonsulent, turisme
C001115_no_003	reiserådgiver
C001116_no_000	testkjører
C001116_no_001	produkttester, biler
C001117_no_000	flymeteorolog
C001118_no_000	CAD-mønsterkonstruktør, lærvarer
C001118_no_001	CAD-modellkonstruktør, lærvarer
C001118_no_002	CAD-operatør, lærvarer
C001119_no_000	maskinoperatør, såpeproduksjon
C001119_no_001	maskinarbeider, høvling av såpe til spon
C001120_no_000	distribusjonssjef innen levende dyr
C001120_no_001	distribusjonsplanlegger, levende dyr
C001120_no_002	forsyningsleder, levende dyr
C001120_no_003	forsyningsplanlegger, levende dyr
C001120_no_004	logistikkplanlegger, levende dyr
C001120_no_005	logistikksjef, levende dyr
C001121_no_000	skøytetrener
C001122_no_000	innkjøper
C001123_no_000	administrasjonssekretær
C001124_no_000	gjeter
C001124_no_001	sauegjeter
C001125_no_000	arbeidsleder, jernbanebygging
C001126_no_000	tømrer
C001126_no_001	bygningssnekker
C001126_no_002	snekker
C001127_no_000	maskinoperatør, ferdigretter
C001127_no_001	produksjonsmedarbeider, ferdigretter
C001128_no_000	påkleder
C001129_no_000	pumpeoperatør, rørledning
C001129_no_001	operatør, pumpeutstyr
C001130_no_000	støper
C001130_no_001	modellsnekker
C001130_no_002	støpeformmaker
C001130_no_003	verktøymaker, sprøytestøping
C001131_no_000	prosjekteringsingeniør, bygg og anlegg
C001132_no_000	tekstilmaskintekniker
C001132_no_001	industrimekaniker, tekstiler
C001132_no_002	mekaniker, tekstilindustri
C001132_no_003	mekaniker, tekstilmaskiner
C001132_no_004	reparatør, tekstilmaskiner
C001132_no_005	tekstilmaskinmekaniker
C001132_no_006	vedlikeholdsmekaniker, tekstilmaskiner
C001133_no_000	sprengningsbas
C001133_no_001	bergsprenger
C001133_no_002	minerer
C001133_no_003	skytebas
C001133_no_004	sprengningsarbeider
C001134_no_000	teknisk tegner, marinteknikk
C001135_no_000	distribusjonssjef innen fisk, skalldyr og bløtdyr
C001135_no_001	distribusjonsplanlegger, fisk, skalldyr og bløtdyr
C001135_no_002	forsyningsleder, fisk, skalldyr og bløtdyr
C001135_no_003	forsyningsplanlegger, fisk, skalldyr og bløtdyr
C001135_no_004	logistikkplanlegger, fisk, skalldyr og bløtdyr
C001135_no_005	logistikksjef, fisk, skalldyr og bløtdyr
C001136_no_000	reparatør av optiske instrumenter
C001136_no_001	instrumentmaker, optikk
C001136_no_002	instrumentmekaniker, optikk
C001136_no_003	instrumenttekniker, optikk
C001136_no_004	optisk instrumentmaker
C001136_no_005	tekniker, optiske instrumenter
C001137_no_000	politileder
C001137_no_001	leder, politi
C001137_no_002	politisjef
C001138_no_000	barnevernspedagog
C001139_no_000	varemegler
C001140_no_000	butikksjef, bakeri
C001140_no_001	bakerisjef
C001140_no_002	daglig leder, bakeri
C001141_no_000	maskinoperatør, tekstilproduksjon
C001141_no_001	operatør, tekstilmaskin
C001141_no_002	tekstilmaskinoperatør
C001142_no_000	hundeoppdretter
C001143_no_000	arbeidsleder, oppføring av kloakknett
C001144_no_000	HMS-inspektør
C001145_no_000	kvalitetskontrollør, sko
C001145_no_001	fottøytester
C001145_no_002	produkttester, fottøy
C001146_no_000	lærer i klassiske språk i videregående skole
C001147_no_000	undervisningsinspektør
C001147_no_001	skoleinspektør
C001148_no_000	kassemedarbeider
C001149_no_000	tekniker, instrumentering
C001150_no_000	måleravleser
C001150_no_001	måleravleser, gass
C001150_no_002	måleravleser, strøm
C001150_no_003	måleravleser, vann
C001151_no_000	maskinoperatør, varmeforsegling
C001151_no_001	maskinarbeider, varmeforsegling
C001151_no_002	operatør, varmeforsegler
C001151_no_003	operatør, varmeforseglingsmaskin
C001152_no_000	utleiemedarbeider innen varer til husholdning og personlig bruk
C001152_no_001	kundebehandler, utleie av varer til husholdning og personlig bruk
C001152_no_002	medarbeider, utleie av varer til husholdning og personlig bruk
C001152_no_003	salgsmedarbeider, utleie av varer til husholdning og personlig bruk
C001152_no_004	utleiekonsulent, varer til husholdning og personlig bruk
C001152_no_005	utleier, varer til husholdning og personlig bruk
C001153_no_000	virksomhetsarkitekt
C001154_no_000	stoff- og tekstilspesialist
C001155_no_000	båtinstruktør
C001156_no_000	leder, videreopplæring
C001156_no_001	leder, fagskole
C001156_no_002	rektor, fagskole
C001156_no_003	rektor, videreopplæring
C001156_no_004	rektor, voksenopplæring
C001156_no_005	skoleleder, voksenopplæring
C001157_no_000	laboratorietekniker innen botanikk
C001158_no_000	trygdeinspektør
C001159_no_000	gallerileder i privat sektor
C001159_no_001	gallerisjef
C001159_no_002	sjef, kunstgalleri
C001160_no_000	kusk
C001160_no_001	fører av hestevogn
C001160_no_002	vognfører
C001161_no_000	maskinoperatør, oppmåling av lær
C001161_no_001	læroppmåler
C001161_no_002	maskinarbeider, oppmåling av lær
C001161_no_003	operatør, lærmålemaskin
C001162_no_000	kjeleoperatør
C001162_no_001	dampkjeleoperatør
C001162_no_002	fyrbøter
C001162_no_003	fyrkjeleoperatør
C001162_no_004	kjelepasser
C001162_no_005	operatør, oppvarmingssystem
C001163_no_000	lydtekniker
C001164_no_000	butikksjef, leker og spill
C001164_no_001	daglig leder, leke- og spillbutikk
C001164_no_002	daglig leder, lekebutikk
C001164_no_003	daglig leder, spillbutikk
C001164_no_004	lekebutikksjef
C001164_no_005	spillbutikksjef
C001165_no_000	arbeidsleder, maskinoperatører
C001166_no_000	inkassokonsulent
C001166_no_001	gjeldsinnkrever, forsikring
C001166_no_002	inkassokonsulent, forsikring
C001166_no_003	inkassomedarbeider, forsikring
C001167_no_000	salgsdirektør
C001167_no_001	markedsdirektør
C001167_no_002	markedssjef
C001167_no_003	salgssjef
C001168_no_000	spamedarbeider
C001168_no_001	spaterapeut
C001168_no_002	velværekonsulent
C001169_no_000	teknisk selger innen landbruksmaskiner og -utstyr
C001170_no_000	kobbersmed
C001170_no_001	kobberslager
C001170_no_002	messingslager
C001170_no_003	messingsmed
C001171_no_000	vinsommelier
C001171_no_001	flyvert
C001171_no_002	sommelier
C001171_no_003	vinkelner
C001172_no_000	rammemaker
C001172_no_001	rammesnekker
C001173_no_000	akupunktør
C001174_no_000	grossist innen elektronikk og telekommunikasjonsutstyr og -deler
C001175_no_000	støttepedagog, akademisk utdannelse
C001176_no_000	inspektør, dyrevelferd
C001176_no_001	dyrebeskyttelsesinspektør
C001176_no_002	dyrevelferdsansvarlig
C001176_no_003	dyrevelferdsinspektør
C001176_no_004	dyrevelferdskoordinator
C001176_no_005	dyreverninspektør
C001176_no_006	medarbeider, dyrevern
C001177_no_000	båtsmann
C001177_no_001	arbeidsleder, dekksmannskap
C001177_no_002	bås
C001177_no_003	båsmann
C001178_no_000	forankringsmedarbeider ved akvakulturbruk
C001178_no_001	havbruksarbeider, forankring av merder
C001179_no_000	arbeidsleder, heismontering
C001180_no_000	biomedisinsk forsker
C001181_no_000	spesialisert selger, bakeri
C001181_no_001	butikkmedarbeider, salg av bakervarer
C001181_no_002	butikkselger, bakervarer
C001181_no_003	ekspeditør, bakeri
C001181_no_004	salgsmedarbeider, bakeri
C001181_no_005	selger, bakervarer
C001181_no_006	selger, konditorvarer
C001181_no_007	spesialisert selger, konditori
C001182_no_000	arbeidsleder, stillasbygging
C001183_no_000	kundeansvarlig
C001183_no_001	account manager
C001184_no_000	operatør, tunnelovn
C001184_no_001	operatør, tørkeovn
C001184_no_002	tegltørkeoperatør
C001185_no_000	mobilapputvikler
C001186_no_000	klespresser
C001186_no_001	operatør av pressemaskin
C001186_no_002	presser
C001186_no_003	strykemedarbeider
C001187_no_000	grossist innen fisk, skalldyr og bløtdyr
C001188_no_000	ansvarlig for kommunikasjonsinfrastruktur
C001188_no_001	tekniker, telekominfrastruktur
C001188_no_002	vedlikeholder, kommunikasjonsinfrastruktur
C001188_no_003	vedlikeholder, kommunikasjonsutstyr
C001189_no_000	bokbinder
C001189_no_001	bokkonservator
C001189_no_002	bokreparatør
C001189_no_003	papirkonservator
C001190_no_000	næringsmiddeltekniker
C001191_no_000	lyssetter
C001192_no_000	lagersjef
C001192_no_001	lagerleder
C001193_no_000	bartender
C001193_no_001	barmedarbeider
C001194_no_000	bingooppleser
C001194_no_001	bingomedarbeider
C001194_no_002	bingovert
C001194_no_003	opproper
C001195_no_000	Leder, flykommunikasjon og frekvenssamordning
C001195_no_001	leder, flykommunikasjon og frekvenssamordning
C001196_no_000	operatør, asfaltanlegg
C001196_no_001	anleggsoperatør, asfaltproduksjon
C001196_no_002	operatør, asfaltverk
C001196_no_003	produksjonsmedarbeider, asfalt
C001196_no_004	verksoperatør, asfaltproduksjon
C001197_no_000	maskinoperatør, skrueproduksjon
C001197_no_001	maskinarbeider, skrueproduksjon
C001197_no_002	operatør, skruedreiemaskin
C001198_no_000	rørsveiser
C001198_no_001	industrirørlegger
C001199_no_000	bankkasserer
C001199_no_001	bankfunksjonær
C001199_no_002	bankmedarbeider
C001199_no_003	kundebehandler, bank
C001200_no_000	universitetslærer i bedriftsøkonomi
C001201_no_000	barsel- og barnepleier
C001202_no_000	livredder
C001202_no_001	badevakt
C001203_no_000	kvalitetsbedømmer, forbehandlede treplater
C001203_no_001	kvalitetsbedømmer, fiberplater
C001203_no_002	kvalitetsbedømmer, forbehandlede plater
C001203_no_003	kvalitetsbedømmer, plater
C001203_no_004	kvalitetsbedømmer, sponplater
C001203_no_005	produkttester, forbehandlede treplater
C001204_no_000	oljefrøpresser
C001204_no_001	frøpresser
C001204_no_002	maskinoperatør, matolje
C001204_no_003	operatør, oljepresse
C001204_no_004	produksjonsmedarbeider, matolje
C001205_no_000	kontorrengjører
C001205_no_001	rengjøringsassistent
C001205_no_002	renholder
C001206_no_000	tekniker, pneumatikk
C001207_no_000	tekniker, medisinsk utstyr
C001208_no_000	universitetslærer i geovitenskap
C001209_no_000	kostymeassistent
C001210_no_000	lagersjef, råvarer
C001210_no_001	ansvarlig, råvarelager
C001210_no_002	lageransvarlig, råvarer
C001211_no_000	teknisk tegner, bygg og anlegg
C001212_no_000	animasjonsleder
C001213_no_000	kvalitetsingeniør
C001214_no_000	analytiker, telefonsenter
C001215_no_000	operatør, nitrering
C001215_no_001	nitreringsoperatør
C001215_no_002	operatør, nitrerapparat
C001216_no_000	økonomisjef
C001216_no_001	CFO
C001216_no_002	finansdirektør
C001216_no_003	finanssjef
C001216_no_004	økonomiansvarlig
C001216_no_005	økonomidirektør
C001217_no_000	operatør av destillasjonsutstyr
C001217_no_001	medarbeider, oljeraffinering
C001217_no_002	operatør, oljeraffineri
C001217_no_003	prosessoperatør, destillasjon av olje
C001217_no_004	prosessoperatør, oljeraffineri
C001218_no_000	maskinoperatør, smeltelodding
C001218_no_001	operatør, maskinell smeltelodding
C001218_no_002	operatør, smelteloddemaskin
C001219_no_000	produksjonssjef, lærproduksjon
C001219_no_001	direktør, lærvirksomhet
C001219_no_002	logistikksjef, lærvarer
C001219_no_003	produksjonsdirektør, lærvarer
C001220_no_000	sikkerhetsvakt
C001220_no_001	vekter
C001221_no_000	juridisk konsulent
C001222_no_000	tekniker, overføring av dyrefoster
C001223_no_000	laboratorietekniker innen biologi
C001224_no_000	medium
C001224_no_001	sannsigerske
C001224_no_002	spiritist
C001225_no_000	lagerarbeider, lærvarer
C001225_no_001	lagermedarbeider, lærvarer
C001225_no_002	lageroperatør, lærvarer
C001226_no_000	import-/eksportspesialist innen tre og byggematerialer
C001227_no_000	akvakulturtekniker, spesialist på merder
C001227_no_001	havbruksarbeider, spesialist på merder
C001228_no_000	import-/eksportspesialist innen landbruksråvarer, frø og dyrefôr
C001229_no_000	miljøingeniør, gruvedrift
C001230_no_000	operatør ved sukkerraffineri
C001230_no_001	medarbeider, sukkerraffineri
C001230_no_002	produksjonsmedarbeider, sukker
C001230_no_003	raffineriarbeider, sukker
C001230_no_004	sukkerarbeider
C001231_no_000	kvalitetssjef, bygg og anlegg
C001232_no_000	tilsynsfører, forsyningstjenester
C001233_no_000	administrator av bildearkiverings- og kommunikasjonssystem
C001234_no_000	tanntekniker, hest
C001235_no_000	kredittansvarlig, bank
C001236_no_000	prosesstekniker, tekstiltrykking
C001236_no_001	operatør, tekstiltrykkemaskin
C001236_no_002	tekstiltrykker
C001237_no_000	fengselsbetjent
C001238_no_000	sykkelreparatør
C001238_no_001	medarbeider, sykkelverksted
C001238_no_002	sykkelmekaniker
C001238_no_003	sykkelverkstedmedarbeider
C001239_no_000	installasjonselektriker
C001239_no_001	bygningselektriker
C001239_no_002	elektriker
C001239_no_003	elinstallatør
C001240_no_000	munk/nonne
C001241_no_000	import-/eksportspesialist innen kjøtt og kjøttprodukter
C001242_no_000	ergoterapeut
C001243_no_000	sjef for skjønnhetssalong
C001243_no_001	daglig leder, skjønnhetssalong
C001244_no_000	dataspilltester
C001245_no_000	matanalytiker
C001246_no_000	kjøletekniker innen fiskeri
C001247_no_000	barnepasser
C001247_no_001	barnehageassistent
C001247_no_002	barnehagelærer
C001248_no_000	maskinoperatør, teppeknytting
C001248_no_001	knyttemaskinoperatør
C001248_no_002	operatør, teppeknyttemaskin
C001248_no_003	teppeknytter
C001249_no_000	teknisk tegner innen bilteknikk
C001250_no_000	medisinsk resepsjonist
C001250_no_001	resepsjonist, helsevesenet
C001250_no_002	resepsjonsmedarbeider, helsevesenet
C001251_no_000	instituttleder på universitet
C001251_no_001	instituttleder
C001252_no_000	operatør av kakaopresse
C001252_no_001	kakaopresseoperatør
C001252_no_002	kakaopresser
C001252_no_003	produksjonsmedarbeider, pressing av kakao
C001253_no_000	maskinoperatør, tørking av såpe
C001253_no_001	maskinarbeider, tørking av såpe
C001253_no_002	operatør, såpetørkemaskin
C001254_no_000	smykkedesigner
C001255_no_000	scenebygger
C001256_no_000	slakter
C001256_no_001	medarbeider, slakteri
C001256_no_002	slakterimedarbeider
C001257_no_000	miljøprosjektleder, rørledninger
C001258_no_000	maskinoperatør, spinning av kunstfiber
C001258_no_001	kunstfiberspinner
C001258_no_002	produksjonsmedarbeider, kunstfibergarn
C001258_no_003	produksjonsmedarbeider, syntetisk garn
C001259_no_000	filmdistributør
C001259_no_001	tv-seriedistributør
C001260_no_000	vindusmontør
C001260_no_001	medarbeider, innsetting av vinduer
C001260_no_002	vindusinstallatør
C001261_no_000	høyesterettsdommer
C001262_no_000	utvikler av IKT-intelligenssystemer
C001263_no_000	onlinemarkedsfører
C001264_no_000	strikker
C001264_no_001	håndstrikker
C001265_no_000	kvalitetsbedømmer, papirmasse
C001265_no_001	kvalitetsbedømmer, papirmasse og papir
C001265_no_002	produkttester, papirmasse
C001265_no_003	produkttester, papirmasse og papir
C001266_no_000	tekniker, kjemiteknikk
C001267_no_000	kulturarrangør
C001268_no_000	tretekniker
C001269_no_000	ingeniør, optoelektronikk
C001270_no_000	grossist innen datamaskiner, datatilbehør og programvare
C001271_no_000	religionslærer i videregående skole
C001272_no_000	etterretningsoperatør i luftforsvaret
C001272_no_001	operatør, kommunikasjonsetterretning
C001272_no_002	operatør, signaletterretning
C001273_no_000	butikkdekoratør
C001274_no_000	radiotekniker
C001275_no_000	sjololademester
C001275_no_001	chocolatier
C001275_no_002	sjokolademaker
C001276_no_000	administrasjonsmedarbeider, finansmarkeder
C001276_no_001	medarbeider, back office, finansmarkeder
C001276_no_002	meglerassistent
C001276_no_003	oppgjørsmedarbeider
C001277_no_000	lydredigerer
C001278_no_000	oversykepleier
C001279_no_000	CAD-tegner, arkitektur
C001280_no_000	stop-motion-animatør
C001281_no_000	driller
C001281_no_001	borer, bergverk
C001282_no_000	kafferøster
C001282_no_001	kaffebrenner
C001282_no_002	produksjonsmedarbeider, kaffebrenning
C001283_no_000	kvalitetskontrollør, lærvarer
C001283_no_001	kvalitetsansvarlig, lærvarer
C001284_no_000	maskinoperatør, forming av papirmasse
C001284_no_001	formemaskinarbeider, papirmasse
C001284_no_002	formemaskinoperatør, papirmasse
C001284_no_003	maskinarbeider, forming av papirmasse
C001285_no_000	frukt- og grønnsaksplukker
C001285_no_001	bærplukker
C001285_no_002	frukt- og grønnsakshøster
C001285_no_003	fruktplukker
C001285_no_004	grønnsaksplukker
C001285_no_005	gårdsarbeider, innhøsting
C001285_no_006	innhøstingsmedarbeider
C001286_no_000	sikkerhetsvaktsjef
C001286_no_001	leder, sikkerhetspersonale
C001286_no_002	sikkerhetsvaktleder
C001286_no_003	sjef, sikkerhetspersonale
C001286_no_004	vekterleder
C001286_no_005	vektersjef
C001287_no_000	kunstmaler
C001288_no_000	smykkegravør
C001288_no_001	smykkeetser
C001288_no_002	sølvgravør
C001289_no_000	maskinoperatør, omdanning av stivelse
C001289_no_001	produksjonsmedarbeider, omdanning av stivelse
C001289_no_002	stivelsesarbeider
C001290_no_000	informasjonssjef
C001291_no_000	innkjøpssjef
C001291_no_001	innkjøper
C001291_no_002	innkjøpsansvarlig
C001291_no_003	innkjøpskonsulent
C001291_no_004	innkjøpskoordinator
C001292_no_000	spillinspektør
C001293_no_000	bibliotekassistent
C001294_no_000	yrkesfaglærer, restaurant- og matfag
C001295_no_000	slaktebutikkeier
C001295_no_001	medarbeider, slakterbutikk
C001295_no_002	slakter, slakterbutikk
C001296_no_000	arbeidsleder, maskinmontering
C001297_no_000	distribusjonssjef innen porselen og glasstøy
C001297_no_001	distribusjonsplanlegger, porselen og glasstøy
C001297_no_002	forsyningsleder, porselen og glasstøy
C001297_no_003	forsyningsplanlegger, porselen og glasstøy
C001297_no_004	logistikkplanlegger, porselen og glasstøy
C001297_no_005	logistikksjef, porselen og glasstøy
C001298_no_000	kvalitetsinspektør, klær
C001298_no_001	kleskontrollør
C001298_no_002	kvalitetskontrollør, klær
C001299_no_000	teknisk tegner, maskinteknikk
C001300_no_000	konkurransepolitisk medarbeider
C001301_no_000	leasingmedarbeider, bil
C001301_no_001	leasingkonsulent, bil
C001301_no_002	selger, leasing av bil
C001302_no_000	sjøfartsinspektør
C001303_no_000	politietterforsker
C001304_no_000	idrettsfunksjonær
C001305_no_000	maskinvaretekniker
C001306_no_000	investeringsrådgiver
C001307_no_000	rengjøringsassistent i fornøyelsespark
C001307_no_001	parkrengjører
C001307_no_002	rengjører, fornøyelsespark
C001307_no_003	rengjøringsmedarbeider, fornøyelsespark
C001307_no_004	renholder, fornøyelsespark
C001308_no_000	utleiemedarbeider
C001309_no_000	finanspolitisk medarbeider
C001310_no_000	idrettsterapeut
C001311_no_000	spedisjonsleder
C001312_no_000	spesialisert selger, dyrebutikk
C001312_no_001	butikkmedarbeider, salg av dyr
C001312_no_002	butikkmedarbeider, salg av dyrefôr
C001312_no_003	ekspeditør, dyrebutikk
C001312_no_004	salgsmedarbeider, dyr
C001312_no_005	salgsmedarbeider, dyrefôr
C001312_no_006	selger, dyr
C001312_no_007	selger, dyrefôr
C001312_no_008	spesialisert selger, dyr
C001312_no_009	spesialisert selger, dyrefôr
C001313_no_000	tivoliarbeider
C001313_no_001	aktivitetsvert
C001313_no_002	attraksjonsoperatør
C001314_no_000	import-/eksportspesialist innen frukt og grønnsaker
C001315_no_000	lisensgiver
C001316_no_000	kjørelærer for yrkessjåfører
C001317_no_000	såpekoker
C001317_no_001	maskinoperatør, såpekokeri
C001317_no_002	prosessoperatør, såpekokeri
C001318_no_000	kommunal planlegger
C001319_no_000	trolleybussjåfør
C001319_no_001	bussjåfør, trolleybuss
C001320_no_000	spesialisert selger, høreapparater
C001320_no_001	butikkmedarbeider, forhandler av hørselstekniske hjelpemidler
C001320_no_002	butikkselger, hørselstekniske hjelpemidler
