C000001_hu_000	Fegyveres erők
C001446_hu_006	számítógépes ismereteket oktató tanár
C001447_hu_000	hitelszövetkezet vezetője
C001447_hu_001	hitelezési vezető
C001447_hu_002	hitelszövetkezet fiókvezetője
C001447_hu_003	hitelszövetkezet vezetői
C001447_hu_004	hitelszövetkezeti elemző
C001447_hu_005	hitelszövetkezeti szakértő
C001447_hu_006	hiteltanácsadó
C001447_hu_007	hitelügyi tanácsadó
C001447_hu_008	pénzügyi szövetkezet vezetője
C001448_hu_000	bőráruk minőségét ellenőrző laboratóriumi technikus
C001448_hu_001	bőripari minőség-ellenőrző laboratóriumi technikus
C001448_hu_002	bőripari minőségellenőrző laboratóriumi technikus
C001449_hu_000	csatornázó
C001449_hu_001	csőszerelő
C001449_hu_002	csővezeték-kitűző
C001449_hu_003	csővezeték-szerelő
C001449_hu_004	csővezeték-építő
C001449_hu_005	csővezetéképítő
C001449_hu_006	duguláselhárító
C001449_hu_007	fűtés-, víz- és szennyvíz-szerelő
C001449_hu_008	karbantartó, csőszerelő
C001449_hu_009	szennyvízcső-fektető
C001449_hu_010	szennyvízhálózat kiépítő
C001449_hu_011	szennyvízhálózat-kiépítő
C001449_hu_012	vezeték- és csőhálózat-szerelő
C001449_hu_013	víz- és szennyvízcső-fektető
C001449_hu_014	vízközmű-építő
C001449_hu_015	vízvezeték-szerelő
C001449_hu_016	vízvezetékszerelő
C001449_hu_017	épületgépészeti csőhálózat- és berendezés-szerelő
C001450_hu_000	villamossági szakoktató
C001450_hu_001	villanyszerelő szakoktató
C001451_hu_000	természetgyógyász
C001451_hu_001	fitoterapeuta
C001451_hu_002	gyógyfüves gyógyító
C001451_hu_003	gyógyfüves terapeuta
C001451_hu_004	gyógynövény terapeuta
C001451_hu_005	naturopátiás orvos
C001451_hu_006	természet gyógyász
C001451_hu_007	virág- és növényterapeuta
C001451_hu_008	íriszdiagnoszta
C001452_hu_000	audio-video szaküzlet vezetője
C001452_hu_001	audio- és videobolt vezetője
C001452_hu_002	audiovizuális bolt vezetője
C001452_hu_003	audió- és videoszaküzlet vezetője
C001452_hu_004	hifibolt vezetője
C001452_hu_005	hifiáruház vezetője
C001452_hu_006	házimozi szaküzlet vezetője
C001452_hu_007	házimozi áruház vezetője
C001452_hu_008	házimozi-szaküzlet vezetője
C001452_hu_009	multimédia superstore vezetője
C001452_hu_010	multimédia szaküzlet vezetője
C001452_hu_011	multimédiabolt vezetője
C001452_hu_012	szórakoztató elektronikai szaküzlet vezetője
C001453_hu_000	autóbuszvezető szakoktató
C001453_hu_001	gépjárművezető szakoktató
C001454_hu_000	kútfúró
C001455_hu_000	fényképészet-oktató
C001455_hu_001	fényképészetoktató
C001455_hu_002	fényképészettanár
C001455_hu_003	mozgókép- és médiatanár
C001455_hu_004	médiatanár
C001456_hu_000	iparművészeti szakoktató
C001456_hu_001	iparművészeti szaktanár
C001456_hu_002	kézművesség-oktató
C001456_hu_003	kézművességtanár
C001457_hu_000	mélyépítő technikus
C001458_hu_000	helikopterpilóta
C001458_hu_001	helikopter pilóta
C001458_hu_002	helikopterkapitány
C001458_hu_003	helikoptervezető
C001459_hu_000	uszodafelügyelő
C001459_hu_001	fürdő felügyelő
C001459_hu_002	fürdőfelügyelő
C001459_hu_003	medencefelügyelő
C001459_hu_004	strandfelügyelő
C001459_hu_005	uszoda mester
C001459_hu_006	uszodamester
C001459_hu_007	uszodatakarító
C001459_hu_008	úszómester
C001460_hu_000	marketingszakértő
C001460_hu_001	adatbázis-elemző
C001460_hu_002	digitális marketingszakértő
C001460_hu_003	marketingkampány-szervező
C001460_hu_004	marketingtanácsadó
C001460_hu_005	piacelemző
C001461_hu_000	reklámközvetítő
C001461_hu_001	hirdetésközvetítő
C001461_hu_002	hirdetésszervező
C001461_hu_003	nemzetközi hirdetésközvetítő
C001461_hu_004	nemzetközi hirdetésszervező
C001461_hu_005	nemzetközi reklámközvetítő
C001461_hu_006	nemzetközi reklámszervező
C001461_hu_007	reklámszervező
C001461_hu_008	rádióhirdetés-közvetítő
C001461_hu_009	rádióhirdetés-szervező
C001461_hu_010	rádióreklám-közvetítő
C001461_hu_011	rádióreklám-szervező
C001461_hu_012	sajtóhirdetés-közvetítő
C001461_hu_013	sajtóhirdetés-szervező
C001461_hu_014	sajtóreklám-közvetítő
C001461_hu_015	sajtóreklám-szervező
C001461_hu_016	televíziós hirdetésközvetítő
C001461_hu_017	televíziós hirdetésszervező
C001461_hu_018	televíziós reklámszervező
C001462_hu_000	médiaoktató felsőoktatási intézményben
C001462_hu_001	egyetemi médiaoktató
C001462_hu_002	egyetemi médiaprofesszor
C001462_hu_003	főiskolai médiaoktató
C001462_hu_004	főiskolai médiaprofesszor
C001462_hu_005	főiskolai médiatanár; egyetemi médiatanár
C001462_hu_006	médiaprofesszor
C001463_hu_000	gázfeldolgozó-üzemi központi irányítótermi operátor
C001463_hu_001	gázfeldolgozó-üzemi operátor
C001464_hu_000	óra- és ékszerbolt vezetője
C001464_hu_001	gyémántbolt vezetője
C001464_hu_002	gyémántokat és nemesfémből készült ékszereket forgalmazó üzlet vezetője
C001464_hu_003	gyémántüzlet vezetője
C001464_hu_004	luxusórákat és gyémántékszereket forgalmazó bolt vezetője
C001464_hu_005	ékszerbolt vezetője
C001464_hu_006	ékszerész
C001464_hu_007	ékszerüzlet vezetője
C001464_hu_008	óra- és ékszerüzlet vezetője
C001465_hu_000	kotrógépkezelő
C001465_hu_001	kotrógép kezelő
C001465_hu_002	kotrógép-kezelő
C001465_hu_003	mezőgazdasági kotrógépkezelő
C001465_hu_004	munkagépkezelő
C001466_hu_000	kőolajipari vegyészmérnök
C001466_hu_001	kőolaj-kitermelő mérnök
C001467_hu_000	rendezvénytechnikus
C001468_hu_000	marketingasszisztens
C001468_hu_001	marketing asszisztens
C001468_hu_002	marketing munkatárs
C001468_hu_003	marketing- és reklámügyintéző
C001468_hu_004	marketing-asszisztens
C001468_hu_005	marketinges
C001468_hu_006	marketingkoordinátor
C001469_hu_000	fotóriporter
C001469_hu_001	dokumentumfényképész
C001469_hu_002	sajtófotós
C001469_hu_003	sajtófényképész
C001469_hu_004	televíziós fényképész
C001470_hu_000	élzárógép-kezelő
C001470_hu_001	élfóliázó
C001470_hu_002	élfóliázógép-kezelő
C001470_hu_003	élzáró
C001470_hu_004	élzárógép kezelő
C001471_hu_000	gyógyszerekkel, gyógyászati termékekkel foglalkozó nagykereskedő
C001471_hu_001	gyógyszerekkel, gyógyászati termékekkel foglalkozó B2B kereskedő
C001471_hu_002	gyógyszerekkel, gyógyászati termékekkel foglalkozó B2B értékesítési tanácsadó
C001471_hu_003	gyógyszerekkel, gyógyászati termékekkel foglalkozó nagykereskedelmi asszisztens
C001471_hu_004	gyógyszerekkel, gyógyászati termékekkel foglalkozó nagykereskedelmi beszerző
C001471_hu_005	gyógyszerekkel, gyógyászati termékekkel foglalkozó nagykereskedelmi gyakornok
C001471_hu_006	gyógyszerekkel, gyógyászati termékekkel foglalkozó nagykereskedelmi ügyintéző
C001471_hu_007	gyógyszerekkel, gyógyászati termékekkel foglalkozó nagykereskedelmi ügynök
C001471_hu_008	gyógyszerekkel, gyógyászati termékekkel foglalkozó nagykereskedelmi üzletkötő
C001472_hu_000	nyelvi mérnök
C001472_hu_001	fordítástechnológiai mérnök
C001472_hu_002	nyelvtechnológiai mérnök
C001472_hu_003	nyelvészmérnök
C001473_hu_000	programszervezésért felelős menedzser
C001473_hu_001	animátorok irányítója
C001473_hu_002	programszervezésért felelős alkalmazottak irányítója
C001473_hu_003	programszervezésért felelős személyzet menedzsere
C001473_hu_004	programszervezők irányítója
C001474_hu_000	pedikűrös
C001474_hu_001	kéz- és lábápoló
C001474_hu_002	szalon alkalmazott
C001474_hu_003	szalonalkalmazott
C001475_hu_000	halal-hentes
C001476_hu_000	animációsfilm-készítő
C001476_hu_001	2D animációs tervező
C001476_hu_002	2D animátor
C001476_hu_003	3D animációs tervező
C001476_hu_004	3D animátor
C001476_hu_005	CGI animátor
C001476_hu_006	animációs filmkészítő
C001476_hu_007	animációs tervező
C001476_hu_008	animációsfilm készítő
C001476_hu_009	animációsfilm-operatőr
C001476_hu_010	animációsfilm-rajzoló
C001476_hu_011	animációsfilm-rendező
C001476_hu_012	animációsfilm-tervező
C001476_hu_013	animátor
C001476_hu_014	digitális grafikus
C001476_hu_015	mozgókép- és animációkészítő
C001476_hu_016	rajzfilmkészítő
C001476_hu_017	rajzfilmrendező
C001476_hu_018	számítógépes animátor
C001477_hu_000	fonalgyártógép-kezelő
C001477_hu_001	fonalgyártógép kezelő
C001478_hu_000	kommunikációoktató felsőoktatási intézményben
C001478_hu_001	egyetemi kommunikációoktató
C001478_hu_002	főiskolai kommunikácioktató
C001478_hu_003	főiskolai kommunikációoktató
C001478_hu_004	kommunikációoktató
C001478_hu_005	kommunikációtanár
C001479_hu_000	bankautomata-szerelő
C001479_hu_001	ATM szerelő
C001479_hu_002	ATM-szerelő
C001479_hu_003	bankautomata szerelő
C001479_hu_004	bankautomataszerelő
C001480_hu_000	villanyszerelő
C001480_hu_001	villamosmérnök
C001480_hu_002	villany szerelő
C001480_hu_003	villany-szerelő
C001481_hu_000	szerencsejáték-minőségbiztosítási mérnök
C001481_hu_001	szerencsejáték minőségbiztosítási ellenőr
C001481_hu_002	szerencsejáték minőségbiztosítási mérnök
C001481_hu_003	szerencsejáték-minőségbiztosítási ellenőr
C001481_hu_004	szerencsejáték-minőségellenőr
C001481_hu_005	szerencsejáték-mérnök
C001482_hu_000	fa és építőanyag disztribúciójával foglalkozó vezető
C001482_hu_001	fa és építőanyag ellátásilánc-vezető
C001482_hu_002	fa és építőanyag logisztikai igazgató
C001482_hu_003	fa és építőanyag logisztikai tervező
C001482_hu_004	fa és építőanyag logisztikai vezető
C001483_hu_000	sminkmester
C001483_hu_001	kozmetikus
C001483_hu_002	maszk- és sminkmester
C001483_hu_003	maszkmester
C001483_hu_004	sminkes
C001483_hu_005	sminkszakértő
C001483_hu_006	sminktanácsadó
C001483_hu_007	szalon alkalmazott
C001483_hu_008	szalonalkalmazott
C001483_hu_009	színházi sminkmester
C001484_hu_000	vagyonbiztosítási kockázatelbíráló
C001484_hu_001	underwriter
C001485_hu_000	borász
C001485_hu_001	borszakértő
C001485_hu_002	borászati technikus
C001485_hu_003	borászok
C001485_hu_004	szeszesital-gyártó
C001486_hu_000	sommelier
C001486_hu_001	borpincér
C001486_hu_002	borpincérnő
C001486_hu_003	borszakértő
C001486_hu_004	fő borpincér
C001486_hu_005	éttermi sommelier-k
C001487_hu_000	gépi könyvkötő
C001487_hu_001	könyvkötő
C001487_hu_002	kötészeti szakmunkás
C001487_hu_003	nyomdaipari gépmester
C001488_hu_000	szótárszerkesztő
C001488_hu_001	kétnyelvű szótár szerkesztője
C001488_hu_002	lexikográfus
C001488_hu_003	számítógépes lexikográfus
C001488_hu_004	szótáríró
C001489_hu_000	lottózó vezetője
C001489_hu_001	totó-lottózó vezetője
C001490_hu_000	árufuvarozói ügyintéző
C001490_hu_001	közlekedésüzemvitel-ellátó
C001490_hu_002	logisztikai ügyintéző
C001490_hu_003	légiforgalmi teherfuvarozási ügyintéző
C001490_hu_004	szállító
C001490_hu_005	teher fuvarozó
C001490_hu_006	teherfuvarozási szakember
C001490_hu_007	teherfuvarozói ügyintéző
C001490_hu_008	áru fuvarozói ügyintéző
C001490_hu_009	útitervkészító
C001491_hu_000	kiropraktőr
C001491_hu_001	csontkovács
C001491_hu_002	csontrakó
C001491_hu_003	csontrakó-csontkovács
C001491_hu_004	manuálterapeuta
C001491_hu_005	muszkoszkeletális terapeuta
C001491_hu_006	neuro-muszkoszkeletális terapeuta
C001491_hu_007	oszteopata
C001492_hu_000	síküveghúzógép-kezelő
C001492_hu_001	síküveghúzó kemence kezelője
C001492_hu_002	síküveghúzógép kezelő
C001493_hu_000	gyorskiszolgáló étterem csoportvezető
C001493_hu_001	gyorskiszolgáló étterem csoportvezetője
C001493_hu_002	gyorskiszolgáló éttermi csoportvezető
C001493_hu_003	gyorsétterem csoportvezetője
C001493_hu_004	gyorséttermi csoportvezető
C001494_hu_000	épületgépészeti műszaki értékesítő
C001494_hu_001	fémáruval, szerelvényekkel, fűtési berendezésekkel foglalkozó műszaki értékesítő
C001494_hu_002	vas- és fémáruval, vezetékes épületgépészeti berendezésekkel, fűtőberendezésekkel és kiegészítőkkel foglalkozó műszaki értékesítő
C001494_hu_003	vas- és fémáruval, víz- és gázvezetékekkel, fűtőberendezésekkel, szerelvényekkel foglalkozó műszaki értékesítő
C001494_hu_004	épületgépészeti technológiai és értékesítési tanácsadó
C001494_hu_005	épületgépészeti technológiai és értékesítési tanácsadó-gyakornok
C001494_hu_006	épületgépészeti technológiai- és értékesítési tanácsadó-helyettes
C001495_hu_000	felületcsiszoló gép kezelője
C001496_hu_000	külszíni bányász
C001497_hu_000	cipőtalpaló és -sarkaló
C001498_hu_000	egészségügyi tevékenységet folytató egység vezetője
C001498_hu_001	egészségügyi menedzser
C001498_hu_002	egészségügyi szolgáltató egység/szervezet vezetője
C001498_hu_003	műtő vezetője
C001499_hu_000	szigetelőcső-tekercselő
C001500_hu_000	anyagmérnök
C001500_hu_001	kerámiaipari mérnök
C001500_hu_002	kerámiamérnök
C001500_hu_003	építőipari anyagmérnök
C001501_hu_000	adóellenőr
C001501_hu_001	adó- és illetékhivatali ügyintéző
C001501_hu_002	adóbevallási ügyintéző
C001501_hu_003	adófelügyelő
C001501_hu_004	adóhatósági ügyintéző
C001501_hu_005	adóigazgatási előadó
C001501_hu_006	adóigazgatási szakügyintéző
C001501_hu_007	adókönyvelési ügyintéző
C001501_hu_008	adókönyvelő
C001501_hu_009	adórevizor
C001501_hu_010	adóügyi adminisztrátor
C001501_hu_011	adóügyi előadó
C001501_hu_012	adóügyi ügyintéző
C001501_hu_013	adóügyintéző
C001501_hu_014	képesített adóellenőr
C001501_hu_015	ÁFA-ellenőr
C001502_hu_000	szakaszvezető
C001502_hu_001	szakasz vezető
C001502_hu_002	szakasz-vezető
C001502_hu_003	zászlós
C001502_hu_004	őrvezető
C001503_hu_000	boncmester
C001503_hu_001	boncsegéd
C001504_hu_000	műanyag-hőkezelő
C001504_hu_001	műanyag hőkezelő
C001505_hu_000	lóidomár
C001505_hu_001	ló idomár
C001505_hu_002	versenylóidomár
C001506_hu_000	gépjármű-karbantartó és -javító
C001506_hu_001	autóbusz-szerelő
C001506_hu_002	autójavító
C001506_hu_003	autószerelő
C001506_hu_004	kamionszerelő
C001506_hu_005	nehézgépjármű szerelő
C001506_hu_006	nehézgépjármű-szerelő
C001506_hu_007	teherautó-szerelő
C001507_hu_000	használtcikkbolti eladó
C001507_hu_001	antikváriumi eladó
C001507_hu_002	használtruhabolti eladó
C001507_hu_003	katonai bolti eladó
C001508_hu_000	tagságszervező
C001508_hu_001	előfizetési menedzser
C001508_hu_002	tagságmenedzser
C001509_hu_000	szociális munkás
C001509_hu_001	kulturális közvetítő
C001509_hu_002	kulturális mediátor
C001509_hu_003	szociális gondozó
C001510_hu_000	bútorbolti eladó
C001510_hu_001	lakberendezési bolti eladó
C001510_hu_002	világítástechnikai eladó
C001511_hu_000	környezetvédelmi igazgató
C001512_hu_000	IKT üzleti elemzési menedzser
C001512_hu_001	IKT üzleti elemzési menedzserek
C001512_hu_002	IT üzleti elemző
C001512_hu_003	elemzési menedzser
C001512_hu_004	üzleti elemző
C001512_hu_005	üzleti kontroller
C001513_hu_000	nyomdaipari művezető
C001513_hu_001	könyvkötészeti művezető
C001513_hu_002	nyomdai felügyelő
C001513_hu_003	nyomdaműhely vezetője
C001513_hu_004	nyomdászati művezető
C001514_hu_000	papírgépkezelő
C001514_hu_001	papírgép kezelő
C001515_hu_000	palástköszörűgép-kezelő
C001515_hu_001	palástköszörűgép kezelő
C001516_hu_000	élelmiszertechnológus
C001516_hu_001	élelmiszertechnológus mérnök
C001516_hu_002	élelmiszertechnológus mérnök szaktanácsadó
C001516_hu_003	élelmiszertechnológusok
C001517_hu_000	hajó nélküli fuvarozó
C001517_hu_001	NVOCC
C001517_hu_002	hajó nélküli hajótulajdonos
C001517_hu_003	hajó nélküli közhasznú fuvarozó
C001518_hu_000	oceanográfus
C001518_hu_001	tengerbiológus
C001518_hu_002	tengerfizikus
C001518_hu_003	tengergeológus
C001518_hu_004	tengerkutató
C001518_hu_005	tengerkémikus
C001519_hu_000	bőrfeldolgozó-ipari laboratóriumi technikus
C001519_hu_001	bőripari laboratóriumi technikus
C001519_hu_002	bőripari vegyész technikus
C001519_hu_003	bőripari vegyésztechnikus
C001520_hu_000	értékpapír-kereskedő
C001520_hu_001	értékpapír ügyintéző
C001520_hu_002	értékpapír üzletkötő
C001520_hu_003	értékpapír-forgalmazó üzletkötő
C001520_hu_004	értékpapír-ügyintéző
C001520_hu_005	értékpapír-üzletkötő
C001521_hu_000	fiatalkorú bűnelkövetőkkel foglalkozó szociális munkás
C001521_hu_001	fiatalkorú bűnelkövetőkkel foglalkozó pártfogó
C001521_hu_002	fiatalkorú bűnelkövetőkkel foglalkozó pártfogó felügyelő
C001521_hu_003	pártfogó
C001521_hu_004	szociális munkás
C001522_hu_000	légiforgalmi tájékoztató szolgálat munkatársa
C001522_hu_001	légiforgalmi tájékoztatási tiszt
C001523_hu_000	tűzvédelmi mérnök
C001524_hu_000	repülőtéri vezérigazgató
C001524_hu_001	repülőtéri főigazgató
C001525_hu_000	könyvszerkesztő
C001525_hu_001	gyerekkönyvszerkesztő
C001525_hu_002	gyermekkönyvszerkesztő
C001525_hu_003	kiadói szerkesztő
C001525_hu_004	kéziratszerkesztő
C001525_hu_005	könyvkiadó szerkesztője
C001525_hu_006	vezető könyvszerkesztő
C001525_hu_007	vezető szerkesztő
C001526_hu_000	irodabútor exportjával-importjával foglalkozó vezető
C001526_hu_001	irodabútor export-import igazgató
C001526_hu_002	irodabútor külkereskedelmi igazgató
C001527_hu_000	szociális segélyezéssel foglalkozó szociális munkás
C001527_hu_001	szociális juttatási ügyintéző
C001527_hu_002	szociális munkás
C001527_hu_003	szociális segélyekkel foglalkozó ügyintéző
C001527_hu_004	szociális támogatásokkal foglalkozó ügyintéző
C001527_hu_005	szociális támogatással foglalkozó szociális munkás
C001528_hu_000	villamosenergia-értékesítési ügyintéző
C001528_hu_001	energiaszolgáltató ügyfélkapcsolati munkatársa
C001528_hu_002	energiaszolgáltató ügyfélszolgálati munkatársa
C001528_hu_003	villamosenergia értékesítési ügyintéző
C001528_hu_004	villamosenergia-ipari értékesítő
C001528_hu_005	villamosáram értékesítési ügyintéző
C001528_hu_006	villamosáram-értékesítési ügyintéző
C001528_hu_007	ügyfélkapcsolati munkatárs
C001528_hu_008	ügyfélszolgálati munkatárs
C001529_hu_000	befektetési ügyfélkapcsolati menedzser
C001530_hu_000	csévélőgép-kezelő
C001530_hu_001	csévélőgép kezelő
C001530_hu_002	csévélőgépkezelő
C001531_hu_000	családgondozó
C001531_hu_001	család- és gyermekvédelmi felügyelő
C001531_hu_002	családsegítő
C001531_hu_003	drogprevenciós koordinátor
C001531_hu_004	nevelési, életviteli tanácsadó
C001532_hu_000	tűzvédelmi technikus
C001532_hu_001	tűzrendész
C001533_hu_000	hírszerző
C001533_hu_001	bűnügyi hírszerző
C001533_hu_002	bűnügyi hírszerző tiszt
C001533_hu_003	felderítő tiszt
C001533_hu_004	hírszerzési elemző
C001533_hu_005	hírszerző tiszt
C001533_hu_006	ingatlanpiaci hírelemző
C001533_hu_007	katonai hírszerző
C001533_hu_008	katonai hírszerző tiszt
C001533_hu_009	kiberbiztonsági nyomozó
C001533_hu_010	kibernyomozó
C001533_hu_011	terrorizmuselemző
C001533_hu_012	terrorizmusellenes elemző
C001534_hu_000	polgárőr
C001535_hu_000	külföldi tudósító
C001535_hu_001	kiküldött tudósító
C001535_hu_002	nemzetközi tudósító
C001535_hu_003	riporter
C001535_hu_004	újságíró
C001536_hu_000	földalatti bányász
C001536_hu_001	mélyművelésű bányász
C001537_hu_000	hatósági állatorvos
C001537_hu_001	hatósági állatorvosok
C001538_hu_000	térnyomtatási technikus
C001538_hu_001	3D-nyomtatási technikus
C001538_hu_002	háromdimenziós nyomtatási technikus
C001539_hu_000	mikrofonkezelő
C001539_hu_001	hangosító
C001540_hu_000	óvodapedagógus-asszisztens
C001540_hu_001	oktatási asszisztens
C001540_hu_002	oktatástechnikus
C001540_hu_003	oktatóasszisztens
C001540_hu_004	pedagógiai asszisztens
C001540_hu_005	óvodai oktatási asszisztens
C001540_hu_006	óvodai oktatástechnikus
C001540_hu_007	óvodai oktató-asszisztens
C001540_hu_008	óvodai pedagógiai asszisztens
C001541_hu_000	elektronikai mérnök
C001541_hu_001	PLC programozó
C001541_hu_002	elektronikus mérnök
C001541_hu_003	hajóelektronikai mérnök
C001541_hu_004	ipari elektronikai mérnök
C001541_hu_005	jármű-elektronikai mérnök
C001541_hu_006	járműelektronikai mérnök
C001541_hu_007	repülőelektronikai mérnök
C001541_hu_008	tengerészeti elektronikai mérnök
C001542_hu_000	látványtervező
C001542_hu_001	díszlettervező
C001542_hu_002	művészeti vezető
C001543_hu_000	mezőgazdasági mérnök
C001543_hu_001	agrármérnök
C001543_hu_002	mezőgazdasági gépészmérnök
C001544_hu_000	szépségipari szakoktató
C001544_hu_001	fodrász szakoktató
C001544_hu_002	fodrász-kozmetikus szakoktató
C001544_hu_003	fodrászati szakoktató
C001544_hu_004	kozmetikai szakoktató
C001544_hu_005	kozmetikus szakoktató
C001545_hu_000	társadalombiztosítási ügyintéző
C001545_hu_001	TB-tanácsadó
C001545_hu_002	foglalkoztatási és társadalombiztosítási tanácsadó
C001545_hu_003	tb-tanácsadó
C001545_hu_004	társadalombiztosítási tanácsadó
C001546_hu_000	gyermekotthoni gondozó
C001546_hu_001	gondozó fogyatékos gyermekek otthonában
C001546_hu_002	gondozó gyermekvédelmi intézményben
C001547_hu_000	légiforgalmi irányítástechnikai berendezések üzemeltetője
C001547_hu_001	légi forgalmi irányítás-technikai berendezések üzemeltetője
C001547_hu_002	légi forgalmi irányítástechnikai berendezések üzemeltetője
C001547_hu_003	légiforgalmiirányítástechnikai berendezések üzemeltetője
C001548_hu_000	számítástechnikai bolti eladó
C001548_hu_001	eladó számítástechnikai szaküzletben
C001549_hu_000	szabadtéri rekreációs asszisztens
C001549_hu_001	animátor
C001549_hu_002	szabadtéri animátor
C001550_hu_000	borbély
C001550_hu_001	fodrász
C001550_hu_002	fodrásznő
C001550_hu_003	férfifodrász
C001550_hu_004	stylist
C001550_hu_005	sztájliszt
C001551_hu_000	csomagolóipari gépészmérnök
C001551_hu_001	csomagolástechnikai gépészmérnök
C001551_hu_002	csomagolástechnikai mérnök
C001551_hu_003	csomagolóipari mérnök
C001552_hu_000	nagy archivált adatállományok kezelője
C001552_hu_001	digitális archiválók
C001553_hu_000	költségvetési elemző
C001553_hu_001	költségvetési referens
C001553_hu_002	költségvetési szakértő
C001553_hu_003	költségvetési számviteli referens
C001553_hu_004	költségvetési számviteli szakértő
C001553_hu_005	költségvetési és politikai elemző
C001553_hu_006	költségvetési és tervezési elemző
C001554_hu_000	vízijármű-kölcsönzői munkatárs
C001555_hu_000	építészetoktató felsőoktatási intézményben
C001555_hu_001	egyetemi építészetoktató
C001555_hu_002	egyetemi építészettanár
C001555_hu_003	építészprofesszor
C001555_hu_004	építésztanár
C001556_hu_000	közlekedésszervezési vezető
C001556_hu_001	közlekedésszervezési felügyelő
C001556_hu_002	közlekedésszervezési menedszer
C001556_hu_003	közúti szállítási vezető
C001556_hu_004	közúti árufuvarozási operatív koordinátor
C001556_hu_005	közúti árufuvarozási operatív vezető
C001556_hu_006	logisztikai igazgató
C001556_hu_007	projektvezető
C001556_hu_008	személyszállítási operatív koordinátor
C001556_hu_009	személyszállítási operatív vezető
C001556_hu_010	szállításszervezési vezető
C001556_hu_011	ügyfélkapcsolati vezető
C001557_hu_000	turisztikai szakoktató
C001557_hu_001	Idegenforgalmi szakoktató
C001557_hu_002	idegenforgalmi és turisztikai szakoktató
C001557_hu_003	idegenforgalmi és turisztikai szaktanár
C001557_hu_004	turisztikai szaktanár
C001558_hu_000	reklámvezető
C001558_hu_001	hirdetési igazgató
C001558_hu_002	hirdetési koordinátor
C001558_hu_003	marketing kommunikációs menedzser
C001558_hu_004	marketingkommunikációs menedzser
C001558_hu_005	reklám- és promóciós menedzser
C001558_hu_006	reklámmenedzser
C001558_hu_007	reklámértékesítő
C001558_hu_008	reklámügynökség vezetője
C001559_hu_000	közfinanszírozási tanácsadó
C001559_hu_001	állami támogatási tanácsadó
C001560_hu_000	díszletfestő
C001560_hu_001	díszletfestő mester
C001560_hu_002	színházi díszletfestő
C001561_hu_000	újrafeldolgozó
C001561_hu_001	autóbontó
C001562_hu_000	lakhatási segítő
C001562_hu_001	szociális munkás
C001562_hu_002	szociális segítő
C001563_hu_000	közösségi művész
C001563_hu_001	ifjúsági asszisztens
C001563_hu_002	ifjúsági referens
C001563_hu_003	ifjúságnevelési munkatárs
C001563_hu_004	ifjúságsegítő
C001563_hu_005	közösségfejlesztő asszisztens
C001563_hu_006	közösségi asszisztens
C001563_hu_007	közösségi művészeti dolgozó
C001563_hu_008	közösségi projektasszisztens
C001563_hu_009	közösségi táncművész
C001563_hu_010	mediációs művész
C001564_hu_000	kohászati folyamatmérnök
C001564_hu_001	acélipari szakértő
C001564_hu_002	kohó- és anyagmérnök
C001564_hu_003	kohómérnök
C001564_hu_004	vegyi tesztmérnök
C001565_hu_000	podológiai asszisztens
C001565_hu_001	lábápolási asszisztens
C001565_hu_002	lábápoló
C001565_hu_003	pedikűrös
C001566_hu_000	fapadló- és parkettarakó
C001566_hu_001	fapadlóburkoló
C001566_hu_002	fapadlórakó
C001566_hu_003	fapadlózó
C001566_hu_004	fapadlózó és burkoló
C001566_hu_005	hajópadló-lefektető
C001566_hu_006	melegburkoló
C001566_hu_007	padlórakó
C001566_hu_008	parkettarakó
C001566_hu_009	parkettás
C001566_hu_010	parkettázó
C001567_hu_000	szereplőválogató
C001567_hu_001	casting director
C001567_hu_002	kaszting director
C001567_hu_003	kaszting direktor
C001567_hu_004	kasztingdirektor
C001567_hu_005	statisztakoordinátor
C001567_hu_006	statisztaszervező
C001567_hu_007	színészválogató
C001568_hu_000	stratégiai tervezési vezető
C001568_hu_001	innovációs és stratégiai szakértő
C001568_hu_002	stratégiai fejlesztési főosztályvezető
C001568_hu_003	stratégiai fejlesztési igazgató
C001568_hu_004	stratégiai igazgató
C001568_hu_005	stratégiai tanácsadó
C001568_hu_006	stratégiai vezető
C001568_hu_007	stratégiai üzlettervezési vezető
C001568_hu_008	tervezési vezető
C001568_hu_009	vállalatstratégiai szakember
C001568_hu_010	üzletmenet-folytonossági stratégiai igazgató
C001568_hu_011	üzletmenet-folytonossági tervezési igazgató
C001569_hu_000	szenzormérnök
C001569_hu_001	elektronikai mérnök
C001569_hu_002	jeladómérnök
C001569_hu_003	szenzonfejlesztő mérnök
C001569_hu_004	szenzortechnológiai mérnök
C001569_hu_005	villamosmérnök
C001569_hu_006	érzékelőtechnológiai mérnök
C001570_hu_000	iskolapszichológus
C001570_hu_001	diáktanácsadó pszichológus
C001570_hu_002	oktatáspszichológus
C001571_hu_000	reszelőgép-kezelő
C001571_hu_001	reszelőgép kezelő
C001572_hu_000	dombornyomógép-kezelő
C001572_hu_001	nyomdai előkészítő
C001573_hu_000	politológus
C001573_hu_001	konfliktuskutató
C001573_hu_002	politológiai kutató
C001574_hu_000	szociális asszisztens
C001574_hu_001	szociális munkás asszisztens
C001574_hu_002	szociális segítő
C001574_hu_003	szociálismunkás-asszisztens
C001575_hu_000	akvakultúra-betakarítási menedzser
C001575_hu_001	akvakultúra-betakarítási felügyelő
