Q000001	adjunct al procurorului general
Q000759	inginer  pentru  protectia  navigatiei  aeriene  (comunicatii,  navigatie,supraveghere)
Q000760	cercetator in sisteme de propulsie
Q000761	inginer de cercetare in sisteme de propulsie
Q000762	asistent de cercetare in sisteme de propulsie
Q000763	cercetator in echipamente si instalatii de bord
Q000764	inginer de cercetare in echipamente si instalatii de bord
Q000765	asistent de cercetare in echipamente si instalatii de bord
Q000766	cercetator in masini si echipamente termice
Q000767	inginer de cercetare in masini si echipamente termice
Q000768	asistent de cercetare in masini si echipamente termice
Q000769	cercetator in masini hidraulice si pneumatice
Q000770	inginer de cercetare in masini hidraulice si pneumatice
Q000771	asistent de cercetare in masini hidraulice si pneumatice
Q000772	cercetator in echipamente de proces
Q000773	inginer de cercetare in echipamente de proces
Q000774	asistent de cercetare in echipamente de proces
Q000775	cercetator in mecanica fina
Q000776	inginer de cercetare in mecanica fina
Q000777	asistent de cercetare in mecanica fina
Q000778	cercetator in tehnologia constructiilor de masini
Q000779	inginer de cercetare in tehnologia constructiilor de masini
Q000780	asistent de cercetare in tehnologia constructiilor de masini
Q000781	cercetator in constructii de masini agricole
Q000782	inginer de cercetare in constructii de masini agricole
Q000783	asistent de cercetare in constructii de masini agricole
Q000784	cercetator in autovehicule rutiere
Q000785	inginer de cercetare in autovehicule rutiere
Q000786	asistent de cercetare in autovehicule rutiere
Q000787	cercetator in utilaje si instalatii portuare
Q000788	inginer de cercetare in utilaje si instalatii portuare
Q000789	asistent de cercetare in utilaje si instalatii portuare
Q000790	cercetator in utilaje si tehnologia ambalarii
Q000791	inginer de cercetare in utilaje si tehnologia ambalarii
Q000792	asistent de cercetare in utilaje si tehnologia ambalarii
Q000793	cercetator in creatia tehnica in constructia de masini
Q000794	inginer de cercetare in creatia tehnica in constructia de masini
Q000795	asistent de cercetare in creatia tehnica in constructia de masini
Q000796	cercetator in masini si instalatii mecanice
Q000797	inginer de cercetare in masini si instalatii mecanice
Q000798	asistent de cercetare in masini si instalatii mecanice
Q000799	cercetator  in  instalatii  si  utilaje  pentru  transportul  si  depozitareaproduselor petroliere
Q000800	inspector suprastructuri mobile marfuri periculoase
Q000801	ofiter mecanic
Q000802	inginer utilaje gospodarie comunala si ecologizare/salubrizare
Q000803	inginer sisteme de transport operational
Q000804	cercetator de nave
Q000805	inginer petrochimist
Q000806	subinginer petrochimist
Q000807	proiectant inginer chimist
Q000808	consilier inginer chimist
Q000809	expert inginer chimist
Q000810	inspector de specialitate inginer chimist
Q000811	referent de specialitate inginer chimist
Q000812	consilier inginer petrochimist
Q000813	expert inginer petrochimist
Q000814	inspector de specialitate inginer petrochimist
Q000815	referent de specialitate petrochimist
Q000816	biochimist
Q000817	inginer chimist
Q000818	subinginer in industria alimentara
Q000819	proiectant inginer produse alimentare
Q000820	consilier inginer industria alimentara
Q000821	expert inginer industria alimentara
Q000822	inspector de specialitate inginer industria alimentara
Q000823	referent de specialitate inginer industria alimentara
Q000824	cercetator in tehnologia substantelor anorganice
Q000825	inginer de cercetare in tehnologia substantelor anorganice
Q000826	asistent de cercetare in tehnologia substantelor anorganice
Q000827	cercetator in tehnologia substantelor organice
Q000828	inginer de cercetare in tehnologia substantelor organice
Q000829	asistent de cercetare in tehnologia substantelor organice
Q000830	cercetator in petrochimie si carbochimie
Q000831	inginer de cercetare in petrochimie si carbochimie
Q000832	asistent de cercetare in petrochimie si carbochimie
Q000833	cercetator in tehnologia compusilor macromoleculari
Q000834	inginer de cercetare in tehnologia compusilor macromoleculari
Q000835	asistent de cercetare in tehnologia compusilor macromoleculari
Q000836	cercetator in controlul calitatii produselor alimentare
Q000837	inginer de cercetare in controlul calitatii produselor alimentare
Q000838	asistent de cercetare in controlul calitatii produselor alimentare
Q000839	subinginer chimist
Q000840	inginer metalurgie extractiva
Q000841	inginer minier
Q000842	subinginer metalurgist
Q000843	subinginer minier
Q000844	inginer preparator minier
Q000845	consilier inginer metalurg
Q000846	expert inginer metalurg
Q000847	inspector de specialitate inginer metalurg
Q000848	referent de specialitate inginer metalurg
Q000849	consilier inginer minier
Q000850	expert inginer minier
Q000851	inspector de specialitate inginer minier
Q000852	referent de specialitate inginer minier
Q000853	inginer prelucrari metalurgice
Q000854	inginer metalurgie neferoasa
Q000855	inginer petrolist
Q000856	subinginer petrolist
Q000857	consilier inginer petrolist
Q000858	expert inginer petrolist
Q000859	referent inginer petrolist
Q000860	proiectant inginer petrolist
Q000861	inginer tehnolog metalurg
Q000862	proiectant inginer metalurg
Q000863	proiectant inginer in minerit
Q000864	inginer mineralurg
Q000865	cercetator in exploatari miniere
Q000866	inginer de cercetare in exploatari miniere
Q000867	asistent de cercetare in exploatari miniere
Q000868	cercetator in prepararea substantelor minerale utile
Q000869	inginer de cercetare in prepararea substantelor minerale utile
Q000870	asistent de cercetare in prepararea substantelor minerale utile
Q000871	cercetator in petrol (extractie-prospectiune)
Q000872	asistent de cercetare in petrol (extractie-prospectiune)
Q000873	cercetator in topografie miniera
Q000874	inginer de cercetare in topografie miniera
Q000875	asistent de cercetare in topografie miniera
Q000876	cercetator in ingineria proceselor siderurgice
Q000877	inginer de cercetare in ingineria proceselor siderurgice
Q000878	asistent de cercetare in ingineria proceselor siderurgice
Q000879	cercetator in metalurgia neferoasa
Q000880	inginer de cercetare in metalurgia neferoasa
Q000881	asistent de cercetare in metalurgia neferoasa
Q000882	cercetator in turnarea metalelor
Q000883	inginer de cercetare in turnarea metalelor
Q000884	asistent de cercetare in turnarea metalelor
Q000885	cercetator in prelucrari plastice si tratamente termice
Q000886	inginer de cercetare in prelucrari plastice si tratamente termice
Q000887	asistent de cercetare in prelucrari plastice si tratamente termice
Q000888	cercetator in stiinta materialelor
Q000889	inginer de cercetare in stiinta materialelor
Q000890	asistent de cercetare in stiinta materialelor
Q000891	cercetator in tehnologii carbochimice
Q000892	inginer de cercetare in tehnologii carbochimice
Q000893	asistent de cercetare in tehnologii carbochimice
Q000894	inginer  de  cercetare  in  instalatii  si  utilaje  pentru  transportul  sidepozitarea produselor petroliere
Q000895	asistent  de  cercetare  in  instalatii  si  utilaje  pentru  transportul  sidepozitarea produselor petroliere
Q000896	inginer prelucrarea sticlei si ceramicii
Q000897	subinginer prelucrarea sticlei si ceramicii
Q000898	inginer materiale de constructii
Q000899	subinginer materiale de constructii
Q000900	consilier inginer prelucrarea sticlei si ceramicii
Q000901	expert inginer prelucrarea sticlei si ceramicii
Q000902	inspector de specialitate inginer prelucrarea sticlei si ceramicii
Q000903	referent de specialitate inginer prelucrarea sticlei si ceramicii
Q000904	proiectant inginer ceramica, sticla
Q000905	chimist in materiale oxidice (sticla, ceramica)
Q000906	subinginer tehnologia celulozei si hartiei
Q000907	proiectant inginer celuloza si hartie
Q000908	consilier inginer tehnologia celulozei si hartiei
Q000909	expert inginer tehnologia celulozei si hartiei
Q000910	inspector de specialitate inginer tehnologia celulozei si hartiei
Q000911	referent de specialitate inginer tehnologia celulozei si hartiei
Q000912	cercetator in informatica
Q000913	asistent de cercetare in informatica
Q000914	cercetator in filatura-tesatorie
Q000915	asistent de cercetare in filatura-tesatorie
Q000916	cercetator in tricotaje-confectii textile
Q000917	asistent de cercetare in tricotaje-confectii textile
Q000918	cercetator in tehnologia chimica a produselor textile, pieii, blanurilorsi inlocuitorilor
Q000919	asistent de cercetare in tehnologia chimica a produselor textile, pieii,blanurilor si inlocuitorilor
Q000920	cercetator in confectii din piele si inlocuitori
Q000921	inginer de cercetare in confectii din piele si inlocuitori
Q000922	asistent de cercetare in confectii din piele si inlocuitori
Q000923	cercetator in exploatari forestiere
Q000924	asistent de cercetare in exploatari forestiere
Q000925	inginer  de  cercetare  in  proiectarea  mobilei  si  produselor  finite  dinlemn
Q000926	cercetator in prelucrarea lemnului
Q000927	inginer de cercetare in prelucrarea lemnului
Q000928	asistent de cercetare in prelucrarea lemnului
Q000929	cercetator in tehnologie si echipamente neconventionale
Q000930	asistent de cercetare in tehnologie si echipamente neconventionale
Q000931	cercetator in tehnologia celulozei, hartiei, poligrafiei si fibrelor
Q000932	asistent  de  cercetare  in  tehnologia  celulozei,  hartiei,  poligrafiei  sifibrelor
Q000933	corespondent securitate - confidentialitate produs
Q000934	specialist operare sisteme de pozitionare dinamica
Q000935	expert achizitii publice
Q000936	expert elaborare documentatii tehnice de montaj
Q000937	expert monitorizare si control lucrari de montaj
Q000938	expert prevenire - reducere riscuri tehnologice
Q000939	expert urmarire comportare in exploatare lucrari montaj
Q000940	expert tehnic extrajudiciar
Q000941	auditor de siguranta rutiera
Q000942	inspector/referent in gestiunea materialelor si mijloacelor fixe
Q000943	inginer exploatare echipamente si instalatii nucleare
Q000944	logistician in transporturi
Q000945	inginer in sisteme optice
Q000946	dispecer energetic feroviar
Q000947	dispecer centrala, hidrocentru, cascada, dispecerate teritoriale
Q000948	dispecer retea distributie
Q000949	dispecer retele de inalta tensiune
Q000950	radiochimist
Q000951	subinginer electroenergetica
Q000952	inginer sisteme termoenergetice
Q000953	proiectant inginer electrotehnic
Q000954	inginer proiectant energetician
Q000955	subinginer retele electrice
Q000956	inginer hidroenergetica
Q000957	inginer exploatare centrale nuclearoelectrice
Q000958	subinginer centrale termoelectrice
Q000959	inginer exploatare instalatii nucleare
Q000960	proiectant subinginer electrotehnic
Q000961	proiectant sisteme de securitate
Q000962	sef tura dispecer energetic
Q000963	cercetator in electrotehnica
Q000964	inginer de cercetare in electrotehnica
Q000965	asistent de cercetare in electrotehnica
Q000966	cercetator in electrofizica
Q000967	inginer de cercetare in electrofizica
Q000968	asistent de cercetare in electrofizica
Q000969	cercetator in metrologie
Q000970	inginer de cercetare in metrologie
Q000971	asistent de cercetare in metrologie
Q000972	cercetator in electromecanica
Q000973	inginer de cercetare in electromecanica
Q000974	asistent de cercetare in electromecanica
Q000975	cercetator roboti industriali
Q000976	inginer de cercetare roboti industriali
Q000977	asistent de cercetare roboti industriali
Q000978	cercetator in centrale termoelectrice
Q000979	inginer de cercetare in centrale termoelectrice
Q000980	asistent de cercetare in centrale termoelectrice
Q000981	cercetator in centrale nuclearoelectrice
Q000982	inginer de cercetare in centrale nuclearoelectrice
Q000983	asistent de cercetare in centrale nuclearoelectrice
Q000984	cercetator in electroenergetica
Q000985	inginer de cercetare in electroenergetica
Q000986	asistent de cercetare in electroenergetica
Q000987	cercetator in energetica industriala
Q000988	inginer de cercetare in energetica industriala
Q000989	asistent de cercetare in energetica industriala
Q000990	ofiter electrician
Q000991	inginer electrician
Q000992	auditor electroenergetic
Q000993	inginer centrale fotovoltaice
Q000994	inginer centrale eoliene
Q000995	inginer exploatare centrale termoelectrice
Q000996	auditor termoenergetic
Q000997	inginer securitate obiective nucleare
Q000998	inginer exploatare centrale hidroelectrice
Q000999	inginer management resurse de apa
Q001000	inginer energetica cladirilor
Q001001	inginer programare si optimizare a instalatiilor si proceselor energetice
Q001002	inginer tehnologii informatice in energetica
Q001003	inginer conducere si control sisteme de utilitati energetice
Q001004	inginer electromecanic SCB
Q001005	inginer automatist
Q001006	inginer electronist transporturi, telecomunicatii
Q001007	instructor instalatii
Q001008	instructor linii
Q001009	revizor siguranta circulatiei feroviare
Q001010	subinginer automatist
Q001011	subinginer electronist, transporturi, telecomunicatii
Q001012	subinginer reglaje subansamble
Q001013	inginer de receptie si control aeronave
Q001014	proiectant inginer electronist
Q001015	proiectant inginer de sisteme si calculatoare
Q001016	proiectant inginer electromecanic
Q001017	inginer electromecanic
Q001018	subinginer electromecanic
Q001019	capitan secund
Q001020	capitan port (studii superioare)
Q001021	inspector aeronautic
Q001022	inginer sisteme de securitate
Q001023	cercetator in electronica aplicata
Q001024	inginer de cercetare in electronica aplicata
Q001025	asistent de cercetare in electronica aplicata
Q001026	cercetator in comunicatii
Q001027	inginer de cercetare in comunicatii
Q001028	asistent de cercetare in comunicatii
Q001029	cercetator in microelectronica
Q001030	inginer de cercetare in microelectronica
Q001031	asistent de cercetare in microelectronica
Q001032	cercetator in telecomenzi si electronica in transporturi
Q001033	inginer de cercetare in telecomenzi si electronica in transporturi
Q001034	asistent de cercetare in telecomenzi si electronica in transporturi
Q001035	cercetator in calculatoare
Q001036	inginer de cercetare in calculatoare
Q001037	asistent de cercetare in calculatoare
Q001038	cercetator in automatica
Q001039	inginer de cercetare in automatica
Q001040	asistent de cercetare in automatica
Q001041	ofiter punte
Q001042	inginer in instrumentatie de masura
Q001043	inginer emisie
Q001044	inginer montaj
Q001045	inginer electrotehnist
Q001046	inginer imagine
Q001047	inginer sunet
Q001048	inginer- sef car reportaj
Q001049	subinginer- sef car reportaj
Q001050	inginer-sef schimb emisie
Q001051	subinginer iluminat tehnologic
Q001052	inginer proiectant comunicatii
Q001053	subinginer proiectant comunicatii
Q001054	inginer/ inspector de specialitate/ referent de specialitate/ expert inserviciile de trafic aerian
Q001055	consilier tehnic
Q001056	inginer iluminare
Q001057	sef studio RTV
Q001058	coordonator productie RTV
Q001059	arhitect cladiri
Q001060	conductor arhitect
Q001061	arhitect restaurari
Q001062	consilier arhitect
Q001063	expert arhitect
Q001064	inspector de specialitate arhitect
Q001065	referent de specialitate arhitect
Q001066	proiectant arhitect
Q001067	cercetator in arhitectura
Q001068	asistent de cercetare in arhitectura
Q001069	peisagist
Q001070	designer industrial
Q001071	grafician industrial
Q001072	lucrator in ateliere de modele
Q001073	cercetator  in  arte  plastice  -  textile  (tapiserie,  contexturi,  moda,imprimeuri)
Q001074	asistent de cercetare in arte plastice - textile (tapiserie, contexturi,moda, imprimeuri)
Q001075	cercetator in arte plastice-sticla, ceramica, metal
Q001076	asistent de cercetare in arte plastice - sticla, ceramica, metal
Q001077	urbanist
Q001078	arhitect urbanism
Q001079	cartograf
Q001080	inginer geodez
Q001081	subinginer geodez
Q001082	inginer topograf
Q001083	inginer topograf minier
Q001084	proiectant inginer geodez
Q001085	consilier cadastru
Q001086	subinginer cadastru
Q001087	geomatician
Q001088	animator film de animatie (studii medii)
Q001089	intermediarist film desene animate (studii medii)
Q001090	stilizator film desene animate (studii medii)
Q001091	designer floral
Q001092	designer pagini web (studii superioare)
Q001093	designer grafica (studii superioare)
Q001094	medic medicina generala
Q001095	medic rezident
Q001096	consilier medic
Q001097	expert medic
Q001098	referent de specialitate medic
Q001099	medic primar
Q001100	medic medicina de familie
Q001101	cercetator in medicina generala
Q001102	asistent de cercetare in medicina generala
Q001103	medic specialist
Q001104	asistent medical generalist
Q001105	moasa
Q001106	cercetator in medicina traditionala
Q001107	asistent de cercetare in medicina traditionala
Q001108	bioenergetician
Q001109	inforenergetician radiestezist
Q001110	epizotolog
Q001111	medic veterinar
Q001112	cercetator in medicina veterinara
Q001113	asistent de cercetare in medicina veterinara
Q001114	medic stomatolog
Q001115	medic stomatolog rezident
Q001116	medic stomatolog de specialitate
Q001117	cercetator in medicina stomatologica
Q001118	asistent de cercetare in medicina stomatologica
Q001119	farmacist
Q001120	farmacist rezident
Q001121	asistent de farmacie licentiat
Q001122	specialist in domeniul securitatii si sanatatii in munca
Q001123	coordonator  in  materie  de  securitate  si  sanatate  in  munca  (studiisuperioare)
Q001124	cercetator stiintific in bacteriologie, microbiochimie, farmacologie
Q001125	asistent   de   cercetare   in   bacteriologie,   microbiologie,   biochimie,farmacologie
Q001126	igienist
Q001127	ergonomist
Q001128	cercetator in fiziokinetoterapie
Q001129	asistent de cercetare in fiziokinetoterapie
Q001130	kinetoterapeut
Q001131	instructor logoped
Q001132	audiolog
Q001133	medic igienist
Q001134	medic legist
Q001135	asistent medical (studii superioare)
Q001136	fizician medical
Q001137	medic specialist psihiatru
Q001138	cercetator in educatie fizica si sport
Q001139	biochimist medical specialist
Q001140	biochimist medical principal
Q001141	biolog medical principal
Q001142	chimist medical principal
Q001143	asistent medical nutritie dietetica
Q001144	asistent medical laborator
Q001145	tehnician perfuzionist
Q001146	podiatru
Q001147	asistent universitar
Q001148	conferentiar universitar
Q001149	lector universitar
Q001150	preparator invatamantul universitar
Q001151	profesor universitar
Q001152	profesor in invatamantul profesional si de maistri
Q001153	profesor in invatamantul liceal, postliceal
Q001154	profesor in invatamantul gimnazial
Q001155	profesor in invatamantul primar
Q001156	profesor in invatamantul prescolar
Q001157	cercetator in pedagogie
Q001158	asistent de cercetare in pedagogie
Q001159	consilier invatamant
Q001160	inspector scolar
Q001161	defectolog
Q001162	interpret in limbaj mimico-gestual (studii superioare)
Q001163	educator in unitati de handicapati
Q001164	instructor-educator in unitati de handicapati
Q001165	pedagog de recuperare
Q001166	mentor
Q001167	consilier scolar
Q001168	designer instructional
Q001169	dezvoltator de e-learning
Q001170	inspector scolar pentru implementarea descentralizarii institutionale
Q001171	inspector scolar pentru managementul resurselor umane
Q001172	inspector scolar pentru mentorat
Q001173	inspector scolar pentru dezvoltarea resursei umane
Q001174	inspector scolar pentru educatie permanenta
Q001175	inspector    scolar    pentru    invatamant    particular    si    alternativeeducationale
Q001176	inspector scolar pentru invatamantul special
Q001177	inspector scolar pentru proiecte educationale
Q001178	consilier mediator
Q001179	expert contabil-verificator
Q001180	revizor contabil
Q001181	controlor de gestiune
Q001182	auditor financiar
Q001183	comisar Garda Financiara
Q001184	consilier financiar-bancar
Q001185	expert financiar-bancar
Q001186	inspector financiar-bancar
Q001187	inspector asigurari
Q001188	comisar principal
Q001189	dealer
Q001190	analist investitii
Q001191	manager de fond actiuni/ obligatiuni
Q001192	consultant plasamente valori mobiliare
Q001193	administrator credite
Q001194	specialist control risc
Q001195	specialist evaluare daune
Q001196	lichidator
Q001197	administrator judiciar
Q001198	consultant fiscal
Q001199	inspector general de banca
Q001200	economist banca
Q001201	manager banca
Q001202	manager relatii cu clientii bancii/ societate de leasing
Q001203	trezorier (studii superioare)
Q001204	analist bancar/ societate de leasing
Q001205	ofiter bancar (credite, marketing, produse si servicii bancare)
Q001206	administrator bancar/ produs leasing
Q001207	operator cifru (mesaje cifrate)
Q001208	consultant bancar
Q001209	agent compensare (interbancara)
Q001210	referent bancar/ societate de leasing
Q001211	ofiter conformitate
Q001212	expert conformitate
Q001213	ofiter securitatea informatiei (Security Officer � SO)
Q001214	administrator de risc
Q001215	analist credite
Q001216	inspector de specialitate asigurari
Q001217	inspector de specialitate subscriere
Q001218	referent de specialitate asigurari
Q001219	consilier vanzari asigurari
Q001220	inspector coordonator asigurari
Q001221	inspector de specialitate daune
Q001222	inspector coordonator daune
Q001223	specialist sistem asigurari
Q001224	expert evaluator de intreprinderi
Q001225	expert evaluator de proprietati imobiliare
Q001226	expert evaluator de bunuri mobile
Q001227	expert evaluator de active financiare
Q001228	planificator/ specialist plan sinteze
Q001229	expert in ingineria costurilor investitionale
Q001230	expert contractare activitati investitionale
Q001231	expert receptie investitii industriale
Q001232	expert eficientizare investitii
Q001233	expert evaluare-actualizare devize generale investitii
Q001234	expert elaborare-evaluare documentatii achizitii investitionale
Q001235	expert in management activitati investitionale
Q001236	evaluator proiecte
Q001237	inspector casier
Q001238	broker de tehnologii
Q001239	gemolog
Q001240	evaluator bunuri culturale
Q001241	specialist piete reglementate
Q001242	consultant de investitii
Q001243	specialist control intern in domeniul pietei de capital
Q001244	specialist pentru piata de capital
Q001245	cercetator in finante-banci
Q001246	asistent de cercetare in finante-banci
Q001247	cercetator in gestiune, contabilitate, control financiar
Q001248	asistent de cercetare in gestiune, contabilitate, control financiar
Q001249	analist financiar
Q001250	auditor intern in sectorul public
Q001251	asistent analist
Q001252	specialist bancar
Q001253	analist financiar bancar
Q001254	asistent bancar
Q001255	specialist/ analist organizare
Q001256	manager proiect
Q001257	specialist imbunatatire procese
Q001258	specialist strategie industriala
Q001259	responsabil proces
Q001260	coordonator secretariat studiouri teritoriale
Q001261	manager de inovare
Q001262	expert in conducerea si organizarea activitatilor de mentenanta
Q001263	manager imbunatatire procese
Q001264	specialist plan progres
Q001265	specialist   in   planificarea,   controlul   si   raportarea   performanteieconomice
Q001266	administrator societate comerciala
Q001267	manager de proiect in parteneriat public privat
Q001268	consultant de securitate
Q001269	manager al sistemelor de management al calitatii
Q001270	evaluator de risc la securitatea fizica
Q001271	manager de facilitati
Q001272	consilier administratia publica
Q001273	expert administratia publica
Q001274	inspector de specialitate in administratia publica
Q001275	referent de specialitate in administratia publica
Q001276	consultant in administratia publica
Q001277	reglementator
Q001278	agent de dezvoltare
Q001279	administrator public
Q001280	inspector de integritate
Q001281	examinator de stat de specialitate
Q001282	administrator publicatii
Q001283	agent consular
Q001284	expert accesare fonduri structurale si de coeziune europene
Q001285	consilier afaceri europene
Q001286	referent relatii externe
Q001287	inspector de trafic rutier (studii superioare)
Q001288	expert informatii pentru afaceri
Q001289	administrator editura
Q001290	expert/specialist in parteneriat public-privat
Q001291	analist informatii de firma
Q001292	analist de informatii
Q001293	consilier de stare civila
Q001294	inspector de stare civila
Q001295	ofiter de legatura pentru infrastructurii critice nationale/europene
Q001296	consilier dezvoltare locala si regionala
Q001297	expert in egalitate de sanse
Q001298	responsabil cu protectia datelor cu caracter personal
Q001299	consilier forta de munca si somaj
Q001300	expert forta de munca si somaj
Q001301	inspector de specialitate forta de munca si somaj
Q001302	expert in securitate si sanatate in munca
Q001303	referent de specialitate forta de munca si somaj
Q001304	consilier orientare privind cariera
Q001305	consultant in domeniul fortei de munca
Q001306	analist piata muncii
Q001307	analist recrutare/ integrare salariati
Q001308	analist sisteme salarizare
Q001309	consultant conditii de munca
Q001310	specialist sisteme de calificare
Q001311	specialist resurse umane
Q001312	consilier vocational
Q001313	consultant in standardizare
Q001314	consultant in resurse umane
Q001315	specialist in recrutare
Q001316	specialist in compensatii si beneficii
Q001317	specialist in dezvoltare organizationala
Q001318	specialist in relatii de munca
Q001319	formator
Q001320	formator de formatori
Q001321	inspector de specialitate formare, evaluare si selectie profesionala
Q001322	evaluator de competente profesionale
Q001323	manager de formare
Q001324	administrator de formare
Q001325	evaluator de furnizori si programe de formare
Q001326	evaluator de evaluatori
Q001327	evaluator extern
Q001328	evaluator in sistemul formarii profesionale continue
Q001329	specialist in activitatea de coaching
Q001330	auditor responsabilitate sociala
Q001331	responsabil al managementului responsabilitatii sociale
Q001332	manager de responsabilitate sociala
Q001333	organizator activitate turism (studii superioare)
Q001334	manager de produs
Q001335	specialist in relatii publice
Q001336	mediator
Q001337	referent de specialitate marketing
Q001338	specialist  protocol si ceremonial
Q001339	consultant cameral
Q001340	purtator de cuvant
Q001341	brand manager
Q001342	organizator protocol
Q001343	organizator relatii
Q001344	organizator targuri si expozitii
Q001345	prezentator expozitii
Q001346	specialist relatii sociale
Q001347	expert relatii externe
Q001348	curier diplomatic
Q001349	specialist garantii auto
Q001350	analist servicii client
Q001351	asistent director/ responsabil de functiune (studii superioare)
Q001352	corespondent comercial
Q001353	asistent comercial
Q001354	manager atragere fonduri
Q001355	ombudsman
Q001356	analist cumparari/ consultant furnizori
Q001357	reprezentant medical
Q001358	proiectant sisteme informatice
Q001359	programator
Q001360	inginer de sistem in informatica
Q001361	programator de sistem informatic
Q001362	inginer de sistem software
Q001363	manager proiect informatic
Q001364	inginer de dezvoltare a produselor software
Q001365	inginer in realizarea, intretinerea si dezvoltarea aplicatiilor web
Q001366	specialist e-Afaceri
Q001367	specialist in e-Guvernare
Q001368	specialist in e-Media
Q001369	specialist in e-Sanatate
Q001370	specialist in domeniul proiectarii asistate pe calculator
Q001371	specialist  in  proceduri  si  instrumente  de  securitate  a  sistemelorinformatice
Q001372	consultant in informatica
Q001373	administrator baze de date
Q001374	administrator sistem de securitate bancara
Q001375	administrator de retea de calculatoare
Q001376	administrator de retea de telefonie VOIP
Q001377	specialist SIG/IT
Q001378	avocat
Q001379	jurisconsult
Q001380	procuror
Q001381	judecator
Q001382	magistrat - asistent
Q001383	executor judecatoresc
Q001384	expert criminalist
Q001385	notar
Q001386	consilier armonizare legislativa
Q001387	expert armonizare legislativa
Q001388	analist armonizare legislativa
Q001389	registrator carte funciara
Q001390	executor bancar
Q001391	expert prevenire si combatere a coruptiei
Q001392	consilier de probatiune
Q001393	inspector de probatiune
Q001394	asistent registrator principal
Q001395	restaurator bunuri culturale (studii superioare)
Q001396	conservator/restaurator pictura murala
Q001397	conservator/restaurator  componente  artistice  din  piatra,  ceramicasau stucatura la monumente istorice
Q001398	conservator/restaurator vitralii si componente artistice din sticla lamonumente istorice
Q001399	curator
Q001400	bibliotecar (studii superioare)
Q001401	documentarist (studii superioare)
Q001402	referent difuzare carte
Q001403	lector carte
Q001404	referent de specialitate asezamant cultural
Q001405	consilier/ expert/ inspector/ referent/ economist in management
Q001406	consilier/   expert/   inspector/   referent/   economist   in   economiegenerala
Q001407	consilier/   expert/   inspector/   referent/   economist   in   economiamediului
Q001408	consilier/   expert/   inspector/   referent/   economist   in   comert   simarketing
Q001409	consilier/ expert/ inspector/ referent/ economist in relatii economiceinternationale
Q001410	consilier/   expert/   inspector/   referent/   economist   in   gestiuneaeconomica
Q001411	consultant in management
Q001412	tehnician economist
Q001413	inginer economist
Q001414	inspector de concurenta
Q001415	administrator financiar (patrimoniu) (studii superioare)
Q001416	asistent de cercetare economist in management
Q001417	cercetator economist in economia mediului
Q001418	asistent de cercetare economist in economia mediului
Q001419	cercetator economist in economia generala
Q001420	asistent de cercetare economist in economia generala
Q001421	cercetator economist in economie agroalimentara
Q001422	asistent de cercetare economist in economie agroalimentara
Q001423	cercetator economist in marketing
Q001424	asistent de cercetare economist in marketing
Q001425	cercetator economist in relatii economice internationale
Q001426	asistent de cercetare economist in relatii economice internationale
Q001427	cercetator economist in gestiunea economica
Q001428	asistent de cercetare economist in gestiunea economica
Q001429	secretar economic (studii superioare)
Q001430	sociolog
Q001431	geograf
Q001432	analist de mediu
Q001433	analist in turism
Q001434	analist teritorial
Q001435	arheolog
Q001436	cercetator in etnologie
Q001437	asistent de cercetare in etnologie
Q001438	manager consortiu turistic
Q001439	expert localizare
Q001440	promotor local
Q001441	specialist planificare teritoriala
Q001442	filozof
Q001443	istoric
Q001444	politolog
Q001445	psiholog in specialitatea psihologie clinica
Q001446	psiholog in specialitatea consiliere psihologica
Q001447	psiholog in specialitatea psihoterapie
Q001448	psiholog in specialitatea psihologia muncii si organizationala
Q001449	psiholog in specialitatea psihologia transporturilor
Q001450	psiholog in specialitatea psihologia aplicata in servicii
Q001451	psiholog in specialitatea psihologie educationala, consiliere scolara sivocationala
Q001452	psiholog in specialitatea psihopedagogie speciala
Q001453	psiholog  in  specialitatea  psihologie  aplicata  in  domeniul  securitatiinationale
Q001454	psiholog     in     specialitatea     psihologie     judiciara     -     evaluareacomportamentului simulat prin tehnica poligrafului
Q001455	psiholog
Q001456	psihopedagog
Q001457	expert poligraf
Q001458	psiholog scolar
Q001459	asistent social
Q001460	consilier in domeniul adictiilor
Q001461	ofiter control doping
Q001462	art-terapeut
Q001463	asistent social cu competenta in sanatatea mintala
Q001464	specialist in angajare asistata
Q001465	asistent pentru ingrijirea persoanelor varstnice
Q001466	cercetator in asistenta sociala
Q001467	asistent de cercetare in asistenta sociala
Q001468	supervizor in servicii sociale
Q001469	arhondar
Q001470	capelan
Q001471	chevrasames
Q001472	haham
Q001473	harmonist
Q001474	hatip
Q001475	inspector culte
Q001476	majghian
Q001477	melamed
Q001478	organist
Q001479	preot
Q001480	presedinte culte
Q001481	provicar
Q001482	secretar culte
Q001483	treibar
Q001484	vestitor
Q001485	vicar
Q001486	episcop-vicar patriarhal
Q001487	episcop-vicar
Q001488	vicar-administrativ patriarhal
Q001489	vicar-administrativ eparhial
Q001490	consilier patriarhal
Q001491	inspector general bisericesc
Q001492	consilier eparhial
Q001493	inspector patriarhal
Q001494	inspector eparhial
Q001495	secretar Cancelaria Patriarhala
Q001496	secretar eparhial
Q001497	eclesiarh
Q001498	poet
Q001499	scriitor
Q001500	corector (studii superioare)
Q001501	critic de arta
Q001502	editorialist
Q001503	lector presa/ editura
