C000001_el_000	Ένοπλες δυνάμεις
C000893_el_004	χειρίστρια μονάδας ηλεκτροπαραγωγής από ορυκτά καύσιμα
C000893_el_005	χειριστής μονάδας ηλεκτροπαραγωγής από ορυκτά καύσιμα
C000894_el_000	τεχνικός χημικής ποιότητας κλωστοϋφαντουργίας
C000894_el_001	αναλυτής χημικής ποιότητας κλωστοϋφαντουργίας
C000894_el_002	αναλύτρια χημικής ποιότητας κλωστοϋφαντουργίας
C000894_el_003	τεχνικός χημιουκού εργαστηρίου, κλωστοϋφαντουργία
C000894_el_004	υπεύθυνη χημικής ποιότητας κλωστοϋφαντουργίας
C000894_el_005	υπεύθυνος χημικής ποιότητας κλωστοϋφαντουργίας
C000895_el_000	επόπτης εργασιών μηχανικής ακρίβειας/επόπτρια εργασιών μηχανικής ακρίβειας
C000895_el_001	επόπτης εργασιών μηχανικής ακρίβειας
C000895_el_002	επόπτρια εργασιών μηχανικής ακρίβειας
C000896_el_000	μηχανολόγος μηχανικός με ειδίκευση στην τεχνολογία και τον εξοπλισμό συγκολλήσεων
C000896_el_001	μηχανικός συγκολλήσεων
C000897_el_000	συναρμολογητής υποδημάτων/συναρμολογήτρια υποδημάτων
C000897_el_001	συναρμολογήτρια υποδημάτων
C000897_el_002	συναρμολογητής υποδημάτων
C000897_el_003	χειρίστρια μηχανής συναρμολόγησης υποδημάτων
C000897_el_004	χειριστής μηχανής συναρμολόγησης υποδημάτων
C000898_el_000	βοηθός αναισθησιολόγου
C000898_el_001	βοηθός χειρουργείου
C000899_el_000	χειριστής μηχανημάτων παρασκευής σάλτσας/χειρίστρια μηχανημάτων παρασκευής σάλτσας
C000899_el_001	παρασκευάστρια σάλτσας
C000899_el_002	παρασκευαστής σάλτσας
C000899_el_003	χειρίστρια μηχανημάτων παρασκευής σάλτσας
C000899_el_004	χειρίστρια παρασκευής σάλτσας
C000899_el_005	χειριστής μηχανημάτων παρασκευής σάλτσας
C000899_el_006	χειριστής παρασκευής σάλτσας
C000900_el_000	βιοφυσικός
C000900_el_001	βιοτεχνολόγος
C000900_el_002	βιοφυσικός-βιοτεχνολόγος
C000901_el_000	χονδρέμπορος οικιακών ειδών
C000901_el_001	χονδρέμπορος ειδκών οικιακής χρήσης
C000902_el_000	διευθυντής εισαγωγών-εξαγωγών σιδηρικών, υδραυλικού εξοπλισμού και εξοπλισμού και προμηθειών για εγκαταστάσεις θέρμανσης/διευθύντρια εισαγωγών-εξαγωγών σιδηρικών, υδραυλικού εξοπλισμού και εξοπλισμού και προμηθειών για εγκαταστάσεις θέρμανσης
C000902_el_001	διευθυντής εισαγωγών-εξαγωγών σιδηρικών, υδραυλικού εξοπλισμού και εξοπλισμού και προμηθειών για εγκαταστάσεις θέρμανσης
C000902_el_002	διευθύντρια εισαγωγών-εξαγωγών σιδηρικών, υδραυλικού εξοπλισμού και εξοπλισμού και προμηθειών για εγκαταστάσεις θέρμανσης
C000903_el_000	υπεύθυνος εργασιών με γεωργικά μηχανήματα/υπεύθυνη εργασιών με γεωργικά μηχανήματα
C000903_el_001	υπεύθυνη γεωργικών και εγγειοβελτιωτικών εργασιών
C000903_el_002	υπεύθυνη εποπτείας κηποτεχνικών εργασιών
C000903_el_003	υπεύθυνη εργασιών με γεωργικά μηχανήματα
C000903_el_004	υπεύθυνος γεωργικών και εγγειοβελτιωτικών εργασιών
C000903_el_005	υπεύθυνος εποπτείας κηποτεχνικών εργασιών
C000903_el_006	υπεύθυνος εργασιών με γεωργικά μηχανήματα
C000904_el_000	γεωλόγος ορυκτών πόρων
C000904_el_001	ορυκτολόγος
C000905_el_000	χειριστής μηχανής αποτύπωσης μάρκας σε πούρα/χειρίστρια μηχανής αποτύπωσης μάρκας σε πούρα
C000905_el_001	εργάτης μαρκαρίσματος πούρων
C000905_el_002	εργάτρια μαρκαρίσματος πούρων
C000905_el_003	χειρίστρια μηχανής αποτύπωσης μάρκας σε πούρα
C000905_el_004	χειριστής μηχανής αποτύπωσης μάρκας σε πούρα
C000906_el_000	συγκολλητής/συγκολλήτρια
C000906_el_001	συγκολλήτρια
C000906_el_002	συγκολλητής
C000907_el_000	συναρμολογητής οδοντιατρικών εργαλείων/συναρμολογήτρια οδοντιατρικών εργαλείων
C000907_el_001	συναρμολογήτρια οδοντιατρικών εργαλείων
C000907_el_002	συναρμολογητής οδοντιατρικών εργαλείων
C000908_el_000	καθηγητής ξενοδοχειακών επαγγελμάτων/καθηγήτρια ξενοδοχειακών επαγγελμάτων
C000908_el_001	καθηγήτρια επαγγελμάτων εστίασης
C000908_el_002	καθηγήτρια ξενοδοχειακών επαγγελμάτων
C000908_el_003	καθηγητής επαγγελμάτων εστίασης
C000908_el_004	καθηγητής ξενοδοχειακών επαγγελμάτων
C000909_el_000	επόπτης κτιρίου/επόπτρια κτιρίου
C000909_el_001	επιβλέπουσα κτιρίου
C000909_el_002	επιβλέπων κτιρίου
C000909_el_003	επόπτης κτιρίου
C000909_el_004	επόπτρια κτιρίου
C000910_el_000	σχεδιαστής ειδών ένδυσης/σχεδιάστρια ειδών ένδυσης
C000910_el_001	σχεδιάστρια ειδών ένδυσης
C000910_el_002	σχεδιαστής ειδών ένδυσης
C000911_el_000	συναρμολογητής πυρομαχικών/συναρμολογήτρια πυρομαχικών
C000911_el_001	συναρμολογήτρια πυρομαχικών
C000911_el_002	συναρμολογητής πυρομαχικών
C000912_el_000	χειριστής χαρακτικών μηχανών/χειρίστρια χαρακτικών μηχανών
C000912_el_001	χειρίστρια χαρακτικών μηχανών
C000912_el_002	χειριστής χαρακτικών μηχανών
C000913_el_000	τεχνικός ακτινοπροστασία
C000913_el_001	ειδική ακτινοπροστασίας
C000913_el_002	ειδικός ακτινοπροστασίας
C000913_el_003	επιθεωρήτρια ακτινοβολίας πυρηνικής μονάδας
C000913_el_004	επιθεωρητής ακτινοβολίας πυρηνικής μονάδας
C000914_el_000	προγραμματιστής τυχερών παιχνιδιών/προγραμματίστρια τυχερών παιχνιδιών
C000914_el_001	προγραμματίστρια με εξειδίκευση στα τυχερά παιχνίδια
C000914_el_002	προγραμματίστρια τυχερών παιχνιδιών
C000914_el_003	προγραμματιστής με εξειδίκευση στα τυχερά παιχνίδια
C000914_el_004	προγραμματιστής τυχερών παιχνιδιών
C000915_el_000	σύμβουλος κοινωνικής πρόνοιας
C000915_el_001	εκπαιδευτής προσωπικού κοινωνικών υπηρεσιών
C000915_el_002	εκπαιδεύτρια προσωπικού κοινωνικών υπηρεσιών
C000915_el_003	σύμβουλος κοινωνικής μέριμνας
C000915_el_004	σύμβουλος κοινωνικών δράσεων
C000915_el_005	σύμβουλος πολιτικής
C000916_el_000	συντονιστής μηχανημάτων συναρμολόγησης/συντονίστρια μηχανημάτων συναρμολόγησης
C000916_el_001	επόπτης συναρμολόγησης μηχανημάτων
C000916_el_002	επόπτρια συναρμολόγησης μηχανημάτων
C000916_el_003	συντονίστρια γραμμής παραγωγής
C000916_el_004	συντονίστρια γραμμής συναρμολόγησης
C000916_el_005	συντονίστρια μηχανημάτων συναρμολόγησης
C000916_el_006	συντονιστής γραμμής παραγωγής
C000916_el_007	συντονιστής γραμμής συναρμολόγησης
C000916_el_008	συντονιστής μηχανημάτων συναρμολόγησης
C000917_el_000	χορογράφος
C000917_el_001	βοηθός χορογραφίας
C000917_el_002	υπεύθυνη χορογραφίας
C000917_el_003	υπεύθυνος χορογραφίας
C000918_el_000	χειριστής ηλεκτροδιαβρωτικών μηχανών/χειρίστρια ηλεκτροδιαβρωτικών μηχανών
C000918_el_001	χειρίστρια ηλεκτροδιαβρωτικών μηχανών
C000918_el_002	χειριστής ηλεκτροδιαβρωτικών μηχανών
C000919_el_000	ρυθμιστής πλεκτικών μηχανών/ρυθμίστρια πλεκτικών μηχανών
C000919_el_001	ρυθμίστρια πλεκτικών μηχανών
C000919_el_002	ρυθμιστής πλεκτικών μηχανών
C000919_el_003	τεχνικός μηχανημάτων παραγωγής πλεκτών κλωστοϋφαντουργικών προϊόντων
C000919_el_004	τεχνικός πλέξης
C000919_el_005	τεχνικός πλεκτικών μηχανών
C000920_el_000	υπεύθυνος εργασιών τοποθέτησης πλακιδίων/υπεύθυνη εργασιών τοποθέτησης πλακιδίων
C000920_el_001	πλακάς
C000920_el_002	πλακού
C000920_el_003	υπεύθυνη εργασιών τοποθέτησης πλακιδίων
C000920_el_004	υπεύθυνος εργασιών τοποθέτησης πλακιδίων
C000921_el_000	αναλυτής συγχωνεύσεων και εξαγορών/αναλύτρια συγχωνεύσεων και εξαγορών
C000921_el_001	αναλυτής εξαγορών
C000921_el_002	αναλυτής συγχωνεύσεων και εξαγορών
C000921_el_003	αναλύτρια εξαγορών
C000921_el_004	αναλύτρια συγχωνεύσεων και εξαγορών
C000921_el_005	διευθυντής εξαγορών
C000921_el_006	διευθυντής συγχωνεύσεων και εξαγορών
C000921_el_007	διευθύντρια εξαγορών
C000921_el_008	διευθύντρια συγχωνεύσεων και εξαγορών
C000921_el_009	ειδικός συγχωνεύσεων και εξαγορών
C000921_el_010	σύμβουλος εξαγορών
C000921_el_011	σύμβουλος συγχωνεύσεων
C000921_el_012	σύμβουλος συγχωνεύσεων και εξαγορών
C000921_el_013	υπεύθυνη συγχωνεύσεων και εξαγορών
C000921_el_014	υπεύθυνος συγχωνεύσεων και εξαγορών
C000922_el_000	ναυτικός καταστρώματος αλιευτικών σκαφών
C000923_el_000	ειδικευμένη νοσηλεύτρια/ειδικευμένος νοσηλευτής
C000923_el_001	ειδική νοσοκόμα
C000923_el_002	ειδικευμένη νοσηλεύτρια
C000923_el_003	ειδικευμένη νοσοκόμα
C000923_el_004	ειδικευμένος νοσηλευτής
C000923_el_005	ειδικευμένος νοσοκόμος
C000923_el_006	ειδικός νοσοκόμος
C000924_el_000	συναρμολογητής ικριωμάτων κατασκευών/συναρμολογήτρια ικριωμάτων κατασκευών
C000924_el_001	συναρμολογήτρια ικριωμάτων κατασκευών
C000924_el_002	συναρμολογητής ικριωμάτων κατασκευών
C000925_el_000	υπεύθυνος εργασιών τοποθέτησης ταπετσαρίας/υπεύθυνη εργασιών τοποθέτησης ταπετσαρίας
C000925_el_001	υπεύθυνη εργασιών τοποθέτησης ταπετσαρίας
C000925_el_002	υπεύθυνος εργασιών τοποθέτησης ταπετσαρίας
C000926_el_000	πρέσβης
C000927_el_000	σχεδιαστής ψηφιακών πρωτοτύπων μοντέλων/σχεδιάστρια ψηφιακών πρωτοτύπων μοντέλων
C000927_el_001	digital prototyper
C000927_el_002	σχεδιάστρια ψηφιακών πρωτοτύπων μοντέλων
C000927_el_003	σχεδιαστής ψηφιακών πρωτοτύπων μοντέλων
C000928_el_000	μασέρ/μασέζ
C000928_el_001	ειδική μαλάξεων
C000928_el_002	ειδικός μαλάξεων
C000928_el_003	μασέζ
C000928_el_004	μασέρ
C000929_el_000	επιτηρητής θαλάμου ξήρανσης/επιτηρήτρια θαλάμου ξήρανσης
C000929_el_001	επιτηρήτρια θαλάμου ξήρανσης
C000929_el_002	επιτηρήτρια χώρου ξήρανσης
C000929_el_003	επιτηρητής θαλάμου ξήρανσης
C000929_el_004	επιτηρητής χώρου ξήρανσης
C000930_el_000	διευθυντής καταστήματος οικιακών συσκευών/διευθύντρια καταστήματος οικιακών συσκευών
C000930_el_001	διευθυντής καταστήματος οικιακών συσκευών
C000930_el_002	διευθύντρια καταστήματος οικιακών συσκευών
C000931_el_000	κατασκευαστής τσεμπάλων/κατασκευάστρια τσεμπάλων
C000931_el_001	κατασκευάστρια τσεμπάλων
C000931_el_002	κατασκευαστής τσεμπάλων
C000932_el_000	συναρμολογητής άνω σκηνικών/συναρμολογήτρια άνω σκηνικών
C000932_el_001	συναρμολογήτρια άνω σκηνικών
C000932_el_002	συναρμολογητής άνω σκηνικών
C000933_el_000	κοινωνιολόγος των ΜΜΕ
C000933_el_001	ειδικός ΜΜΕ
C000933_el_002	ειδικός μέσων ενημέρωσης
C000933_el_003	ειδικός μέσων μαζικής ενημέρωσης
C000933_el_004	ειδικός μέσων μαζικής επικοινωνίας
C000933_el_005	επιστήμονας με ειδίκευση στα ΜΜΕ
C000933_el_006	κοινωνιολόγος ΜΜΕ
C000934_el_000	σχολικός κοινωνικός λειτουργός/σχολική κοινωνική λειτουργός
C000934_el_001	κοινωνική λειτουργός σε εκπαιδευτικά ιδρύματα
C000934_el_002	κοινωνική λειτουργός σε σχολεία
C000934_el_003	κοινωνική λειτουργός στον χώρο της εκπαίδευσης
C000934_el_004	κοινωνικός λειτουργός σε εκπαιδευτικά ιδρύματα
C000934_el_005	κοινωνικός λειτουργός σε σχολεία
C000934_el_006	κοινωνικός λειτουργός στον χώρο της εκπαίδευσης
C000934_el_007	σχολική κοινωνική λειτουργός
C000934_el_008	σχολικός κοινωνικός λειτουργός
C000935_el_000	μεταφραστής/μεταφράστρια
C000935_el_001	αναθεωρήτρια
C000935_el_002	αναθεωρητής
C000935_el_003	γλωσσική επιμελήτρια
C000935_el_004	γλωσσική συντονίστρια
C000935_el_005	γλωσσικός επιμελητής
C000935_el_006	γλωσσικός συντονιστής
C000935_el_007	διορθωτής
C000935_el_008	διορθώτρια
C000935_el_009	λογοτεχνική μεταφράστρια
C000935_el_010	λογοτεχνικός μεταφραστής
C000935_el_011	μεταφράστρια
C000935_el_012	μεταφράστρια βιβλίων
C000935_el_013	μεταφράστρια ιατρικών κειμένων
C000935_el_014	μεταφράστρια νομικών κειμένων
C000935_el_015	μεταφράστρια τεχνικών κειμένων
C000935_el_016	μεταφραστής
C000935_el_017	μεταφραστής βιβλίων
C000935_el_018	μεταφραστής ιατρικών κειμένων
C000935_el_019	μεταφραστής νομικών κειμένων
C000935_el_020	μεταφραστής τεχνικών κειμένων
C000935_el_021	νομική μεταφράστρια
C000935_el_022	νομικός μεταφραστής
C000935_el_023	ορκωτή μεταφράστρια
C000935_el_024	ορκωτός μεταφραστής
C000935_el_025	τεχνική μεταφράστρια
C000935_el_026	τεχνικός μεταφραστής
C000936_el_000	συναρμολογητής εξοπλισμού εμπορευματοκιβωτίων/συναρμολογήτρια εξοπλισμού εμπορευματοκιβωτίων
C000936_el_001	συναρμολογήτρια εξοπλισμού εμπορευματοκιβωτίων
C000936_el_002	συναρμολογητής εξοπλισμού εμπορευματοκιβωτίων
C000937_el_000	σύμβουλος κοινωνικών υπηρεσιών
C000937_el_001	ειδικός σε θέματα κοινωνικής πρόνοιας
C000937_el_002	ειδικός σε θέματα κοινωνικών υπηρεσιών
C000937_el_003	ειδικός σε θέματα πρόνοιας
C000937_el_004	λειτουργός ευημερίας
C000937_el_005	σύμβουλος για θέματα κοινωνικής πρόνοιας
C000937_el_006	σύμβουλος για θέματα κοινωνικών υπηρεσιών
C000937_el_007	σύμβουλος για θέματα πρόνοιας
C000937_el_008	σύμβουλος κοινωνικής πρόνοιας
C000937_el_009	σύμβουλος πρόνοιας
C000938_el_000	συναρμολογητής μηχατρονικής/συναρμολογήτρια μηχατρονικής
C000938_el_001	συναρμολογήτρια μηχατρονικής
C000938_el_002	συναρμολογήτρια μηχατρονικών διατάξεων
C000938_el_003	συναρμολογήτρια μηχατρονικών προϊόντων
C000938_el_004	συναρμολογήτρια μηχατρονικών συσκευών
C000938_el_005	συναρμολογητής μηχατρονικής
C000938_el_006	συναρμολογητής μηχατρονικών διατάξεων
C000938_el_007	συναρμολογητής μηχατρονικών προϊόντων
C000938_el_008	συναρμολογητής μηχατρονικών συσκευών
C000939_el_000	σκηνοθέτης κινηματογράφου και τηλεόρασης/σκηνοθέτιδα κινηματογράφου και τηλεόρασης
C000939_el_001	κινηματογραφίστρια
C000939_el_002	κινηματογραφική σκηνοθέτης
C000939_el_003	κινηματογραφική σκηνοθέτιδα
C000939_el_004	κινηματογραφική σκηνοθέτις
C000939_el_005	κινηματογραφική σκηνοθέτρια
C000939_el_006	κινηματογραφικός σκηνοθέτης
C000939_el_007	κινηματογραφιστής
C000939_el_008	σκηνοθέτης
C000939_el_009	σκηνοθέτης κινηματογράφου
C000939_el_010	σκηνοθέτης κινηματογράφου και τηλεόρασης
C000939_el_011	σκηνοθέτης τηλεόρασης
C000939_el_012	σκηνοθέτιδα
C000939_el_013	σκηνοθέτιδα κινηματογράφου
C000939_el_014	σκηνοθέτιδα κινηματογράφου και τηλεόρασης
C000939_el_015	σκηνοθέτιδα τηλεόρασης
C000939_el_016	σκηνοθέτις
C000939_el_017	σκηνοθέτις κινηματογράφου
C000939_el_018	σκηνοθέτις κινηματογράφου και τηλεόρασης
C000939_el_019	σκηνοθέτις τηλεόρασης
C000939_el_020	σκηνοθέτρια
C000939_el_021	σκηνοθέτρια κινηματογράφου
C000939_el_022	σκηνοθέτρια κινηματογράφου και τηλεόρασης
C000939_el_023	σκηνοθέτρια τηλεόρασης
C000939_el_024	τηλεοπτική σκηνοθέτης
C000939_el_025	τηλεοπτική σκηνοθέτιδα
C000939_el_026	τηλεοπτική σκηνοθέτις
C000939_el_027	τηλεοπτική σκηνοθέτρια
C000939_el_028	τηλεοπτικός σκηνοθέτης
C000939_el_029	τηλεσκηνοθέτης
C000939_el_030	τηλεσκηνοθέτιδα
C000939_el_031	τηλεσκηνοθέτις
C000939_el_032	τηλεσκηνοθέτρια
C000940_el_000	σύμβουλος πιστωτικών υπηρεσιών
C000941_el_000	φροντιστής χώρων υγιεινής/φροντίστρια χώρων υγιεινής
C000941_el_001	καθαρίστρια
C000941_el_002	καθαρίστρια αποχωρητηρίων
C000941_el_003	καθαρίστρια τουαλετών
C000941_el_004	καθαρίστρια χώρων υγιεινής
C000941_el_005	καθαριστής
C000941_el_006	καθαριστής αποχωρητηρίων
C000941_el_007	καθαριστής τουαλετών
C000941_el_008	καθαριστής χώρων υγιεινής
C000941_el_009	φροντίστρια χώρων υγιεινής
C000941_el_010	φροντιστής χώρων υγιεινής
C000942_el_000	επιδιορθωτής ωρολογίων/επιδιορθώτρια ωρολογίων
C000942_el_001	επιδιορθωτής ωρολογίων
C000942_el_002	επιδιορθώτρια ωρολογίων
C000943_el_000	εργάτης οπωροκηπευτικής εκμετάλλευσης/εργάτρια οπωροκηπευτικής εκμετάλλευσης
C000943_el_001	εργάτης οπωροκηπευτικής εκμετάλλευσης
C000943_el_002	εργάτης σε δενδροκηπευτική εκμετάλλευση
C000943_el_003	εργάτης σε οπωροκηπευτική εκμετάλλευση
C000943_el_004	εργάτρια οπωροκηπευτικής εκμετάλλευσης
C000943_el_005	εργάτρια σε δενδροκηπευτική εκμετάλλευση
C000943_el_006	εργάτρια σε οπωροκηπευτική εκμετάλλευση
C000943_el_007	καλλιεργητής
C000944_el_000	διευθυντής σκηνής/διευθύντρια σκηνής
C000944_el_001	διευθυντής σκηνής
C000944_el_002	διευθύντρια σκηνής
C000944_el_003	καλλιτεχνική διευθύντρια
C000944_el_004	καλλιτεχνικός διευθυντής
C000944_el_005	σκηνική διευθύντρια
C000944_el_006	σκηνικός διευθυντής
C000945_el_000	αρτοποιός
C000945_el_001	αρτοποιοί
C000945_el_002	αρτοπώλης
C000945_el_003	αρτοτεχνίτης
C000945_el_004	αρτοτεχνίτρια
C000945_el_005	εργαζόμενη σε αρτοποιείο
C000945_el_006	εργαζόμενος σε αρτοποιείο
C000945_el_007	φουρνάρισσα
C000945_el_008	φούρναρης
C000946_el_000	χειριστής συστημάτων επεξεργασίας νερού/χειρίστρια συστημάτων επεξεργασίας νερού
C000946_el_001	χειρίστρια επεξεργασίας νερού
C000946_el_002	χειρίστρια συστημάτων επεξεργασίας νερού
C000946_el_003	χειρίστρια συστημάτων νερού
C000946_el_004	χειριστής επεξεργασίας νερού
C000946_el_005	χειριστής συστημάτων επεξεργασίας νερού
C000946_el_006	χειριστής συστημάτων νερού
C000947_el_000	καθηγητής φυσικών επιστημών δευτεροβάθμιας εκπαίδευσης/καθηγήτρια φυσικών επιστημών δευτεροβάθμιας εκπαίδευσης
C000947_el_001	καθηγήτρια φυσικών επιστημών δευτεροβάθμιας εκπαίδευσης
C000947_el_002	καθηγητής φυσικών επιστημών δευτεροβάθμιας εκπαίδευσης
C000948_el_000	οικονομικός ελεγκτής/οικονομική ελέγκτρια
C000948_el_001	financial auditor
C000948_el_002	οικονομική ελέγκτρια
C000948_el_003	οικονομικός ελεγκτής
C000949_el_000	υπάλληλος υποδοχής-θυρωρείου ξενοδοχείου
C000949_el_001	concierge
C000949_el_002	θυρωρείο ξενοδοχείου
C000949_el_003	θυρωρός
C000949_el_004	πορτιέρης ξενοδοχείου
C000949_el_005	προσωπικό παροχής διευκολύνσεων τουριστικής μονάδας
C000949_el_006	υπάλληλοι θυρωρείου ξενοδοχειακής μονάδας
C000950_el_000	ειδικός χημικών εφαρμογών/ειδική χημικών εφαρμογών
C000950_el_001	ειδική χημικών εφαρμογών
C000950_el_002	ειδικός χημικών εφαρμογών
C000951_el_000	υπεύθυνος εκδήλωσης/υπεύθυνη εκδήλωσης
C000951_el_001	διοργανωτής
C000951_el_002	διοργανώτρια
C000951_el_003	υπεύθυνη διοργάνωσης
C000951_el_004	υπεύθυνη εκδήλωσης
C000951_el_005	υπεύθυνος διοργάνωσης
C000951_el_006	υπεύθυνος εκδήλωσης
C000952_el_000	διευθυντής καταστήματος ιατρικών ειδών/διευθύντρια καταστήματος ιατρικών ειδών
C000952_el_001	διευθυντής καταστήματος ιατρικών ειδών
C000952_el_002	διευθύντρια καταστήματος ιατρικών ειδών
C000953_el_000	επιθεωρητής υγείας και ασφάλειας στις μεταφορές/επιθεωρήτρια υγείας και ασφάλειας στις μεταφορές
C000953_el_001	αρμόδια υγείας και ασφάλειας στις μεταφορές
C000953_el_002	αρμόδιος υγείας και ασφάλειας στις μεταφορές
C000953_el_003	επιθεωρήτρια υγείας και ασφάλειας στις μεταφορές
C000953_el_004	επιθεωρητής υγείας και ασφάλειας στις μεταφορές
C000953_el_005	υπεύθυνη ποιότητας
C000953_el_006	υπεύθυνος ποιότητας
C000954_el_000	χειριστής μονάδας επεξεργασίας υγρών αποβλήτων/χειρίστρια μονάδας επεξεργασίας υγρών αποβλήτων
C000954_el_001	τεχνικός μονάδας επεξεργασίας υγρών αποβλήτων
C000954_el_002	χειρίστρια μονάδας επεξεργασίας υγρών αποβλήτων
C000954_el_003	χειριστής μονάδας επεξεργασίας υγρών αποβλήτων
C000955_el_000	χειριστής μηχανών παραγωγής ειδών υπόδησης/χειρίστρια μηχανών παραγωγής ειδών υπόδησης
C000955_el_001	χειρίστρια μηχανών κατασκευής παπουτσιών
C000955_el_002	χειρίστρια μηχανών παραγωγής ειδών υπόδησης
C000955_el_003	χειρίστρια μηχανών παραγωγής υποδημάτων
C000955_el_004	χειριστής μηχανών κατασκευής παπουτσιών
C000955_el_005	χειριστής μηχανών παραγωγής ειδών υπόδησης
C000955_el_006	χειριστής μηχανών παραγωγής υποδημάτων
C000956_el_000	υπεύθυνος φυτικής παραγωγής/υπεύθυνη φυτικής παραγωγής
C000956_el_001	διαχειρίστρια γεωργικής εκμετάλλευσης
C000956_el_002	διαχειριστής γεωργικής εκμετάλλευσης
C000956_el_003	διευθυντές παραγωγικών και λειτουργικών μονάδων στη γεωργία
C000956_el_004	υπεύθυνη φυτικής παραγωγής
C000956_el_005	υπεύθυνος φυτικής παραγωγής
C000957_el_000	τεχνικός φινιρίσματος υφασμάτων
C000957_el_001	τεχνίτης φινιρίσματος υφαντουργικών προϊόντων
C000957_el_002	τεχνίτης φινιρίσματος υφασμάτων
C000957_el_003	τεχνίτρια φινιρίσματος υφαντουργικών προϊόντων
C000957_el_004	τεχνίτρια φινιρίσματος υφασμάτων
C000957_el_005	τεχνικός τελειοποίησης υφαντουργικών προϊόντων
C000957_el_006	τεχνικός τελειοποίησης υφασμάτων
C000957_el_007	τεχνικός φινιρίσματος υφαντουργικών προϊόντων
C000958_el_000	χειριστής γεωργικών μηχανημάτων/χειρίστρια γεωργικών μηχανημάτων
C000958_el_001	οδηγοί γεωργικών μηχανημάτων
C000958_el_002	χειρίστρια γεωργικών μηχανημάτων
C000958_el_003	χειριστής γεωργικών μηχανημάτων
C000958_el_004	χειριστής εξοπλισμού κηποτεχνικών εργασιών
C000959_el_000	εικονογράφος-σκιτσογράφος
C000959_el_001	εικονογράφος
C000959_el_002	σκιτσογράφος
C000960_el_000	μηχανικός αιολικής ενέργειας
C000961_el_000	χειριστής πυροσβεστικού οχήματος/χειρίστρια πυροσβεστικού οχήματος
C000961_el_001	οδηγός πυροσβεστικού οχήματος
C000961_el_002	χειρίστρια πυροσβεστικού οχήματος
C000961_el_003	χειριστής πυροσβεστικού οχήματος
C000962_el_000	αντικαταστάστης στα δοκιμαστικά γυρίσματα/αντικαταστάτρια στα δοκιμαστικά γυρίσματα
C000962_el_001	stand-in
C000962_el_002	αντικαταστάστης στα δοκιμαστικά γυρίσματα
C000962_el_003	αντικαταστάτης ηθοποιού
C000962_el_004	αντικαταστάτρια ηθοποιού
C000962_el_005	αντικαταστάτρια στα δοκιμαστικά γυρίσματα
C000962_el_006	ηθοποιός
C000962_el_007	ντουμπλέρ
C000963_el_000	πανεπιστημιακός καθηγητής νοσηλευτικής/πανεπιστημιακή καθηγήτρια νοσηλευτικής
C000963_el_001	αναπληρωτής καθηγητής νοσηλευτικής
C000963_el_002	αναπληρώτρια καθηγήτρια νοσηλευτικής
C000963_el_003	επίκουρη καθηγήτρια νοσηλευτικής
C000963_el_004	επίκουρος καθηγητής νοσηλευτικής
C000963_el_005	καθηγήτρια νοσηλευτικής
C000963_el_006	καθηγητής νοσηλευτικής
C000963_el_007	λέκτορας νοσηλευτικής
C000963_el_008	λεκτόρισσα νοσηλευτικής
C000963_el_009	πανεπιστημιακή καθηγήτρια νοσηλευτικής
C000963_el_010	πανεπιστημιακός καθηγητής νοσηλευτικής
C000964_el_000	εργαζόμενος εκχιονιστικών εργασιών/εργαζόμενη εκχιονιστικών εργασιών
C000964_el_001	εκχιονίστρια
C000964_el_002	εκχιονιστής
C000964_el_003	εργαζόμενη εκχιονιστικών εργασιών
C000964_el_004	εργαζόμενος εκχιονιστικών εργασιών
C000965_el_000	γεωλόγος μηχανικός
C000965_el_001	γεωτεχνική μηχανικός
C000965_el_002	γεωτεχνικός μηχανικός
C000966_el_000	γεωργός μεικτής παραγωγής
C000966_el_001	αγρότης μεικτής παραγωγής
C000966_el_002	αγρότισσα μεικτής παραγωγής
C000966_el_003	γεωργός μικρής παραγωγής
C000966_el_004	γεωργός μικτής παραγωγής
C000966_el_005	μικροκαλλιεργήτρια
C000966_el_006	μικροκαλλιεργητής
C000967_el_000	επιθεωρητής ηλεκτρικού εξοπλισμού/επιθεωρήτρια ηλεκτρικού εξοπλισμού
C000967_el_001	επιθεωρήτρια ηλεκτρικού εξοπλισμού
C000967_el_002	επιθεωρητής ηλεκτρικού εξοπλισμού
C000968_el_000	μηχανικός τεχνολογικών εξοπλισμών
C000969_el_000	χειριστής περιστροφικού μύλου άλεσης/χειρίστρια περιστροφικού μύλου άλεσης
C000969_el_001	χειρίστρια περιστροφικού μύλου άλεσης
C000969_el_002	χειρίστρια στίλβωσης σε τύμπανο
C000969_el_003	χειρίστρια ταλαντευόμενης μηχανής περιέλιξης
C000969_el_004	χειριστής περιστροφικού μύλου άλεσης
C000969_el_005	χειριστής στίλβωσης σε τύμπανο
C000969_el_006	χειριστής ταλαντευόμενης μηχανής περιέλιξης
C000970_el_000	μετεωρολόγος
C000971_el_000	έφορος ζωολογικού κήπου
C000971_el_001	έφορος ενυδρείου
C000971_el_002	έφορος ερπετολογικού τμήματος
C000971_el_003	έφορος σπονδυλωτών
C000971_el_004	διευθυντής ενυδρείου
C000971_el_005	διευθυντής ζωολογικού κήπου
C000971_el_006	διευθύντρια ενυδρείου
C000971_el_007	διευθύντρια ζωολογικού κήπου
