C000001_pl_000	Siły zbrojne
C001101_pl_008	inspektor ds. bezpieczeństwa technologii informacyjno-telekomunikacyjnych
C001102_pl_000	technik elektronik
C001102_pl_001	diagnosta kolejowy
C001102_pl_002	instalator systemów alarmowych
C001102_pl_003	instalator systemów telewizji przemysłowej
C001102_pl_004	projektant systemów alarmowych
C001102_pl_005	technik automatyk sterowania ruchem kolejowym
C001102_pl_006	technik mechatronik
C001103_pl_000	specjalista ds. logistyki kolejowej
C001103_pl_001	Koordynator Spedycji i Transportu Kolejowego
C001103_pl_002	specjalista ds. transportu kolejowego
C001104_pl_000	inspektor frachtu morskiego
C001105_pl_000	nauczyciel historii w szkole ponadpodstawowej/nauczycielka historii w szkole ponadpodstawowej
C001105_pl_001	nauczyciel historii w szkole ponadpodstawowej
C001105_pl_002	nauczycielka historii w szkole ponadpodstawowej
C001106_pl_000	specjalista ds. metalurgii chemicznej
C001106_pl_001	inżynier metalurgii chemicznej
C001107_pl_000	operator krajarki do papieru
C001107_pl_001	krajacz
C001107_pl_002	operator gilotyny
C001107_pl_003	operator gilotyny do papieru
C001107_pl_004	operator maszyn do cięcia papieru
C001108_pl_000	aktor lalkarz
C001108_pl_001	brzuchomówca
C001108_pl_002	marionetkarz
C001109_pl_000	specjalista ds. polityki rozwoju regionalnego
C001109_pl_001	referent ds. polityki rozwoju regionalnego
C001110_pl_000	specjalista ds. jakości wody
C001110_pl_001	analityk jakości wody
C001110_pl_002	technolog jakości wody
C001111_pl_000	zoofizjoterapeuta terapii alternatywnych/zoofizjoterapeutka terapii alternatywnych
C001111_pl_001	zoofizjoterapeuta terapii alternatywnych
C001111_pl_002	zoofizjoterapeutka terapii alternatywnych
C001112_pl_000	wytwórca wyrobów tekstylnych
C001112_pl_001	wytwórca abażurów
C001112_pl_002	żaglownik
C001113_pl_000	operator wirówki
C001113_pl_001	operator procesu wirowania
C001113_pl_002	pracownik obsługi wirówki
C001113_pl_003	specjalista ds. obsługi wirówki
C001114_pl_000	technik ds. procesu oplatania
C001114_pl_001	ustawiacz oplatarek
C001115_pl_000	konsultant podróży
C001115_pl_001	doradca podróży biznesowych
C001115_pl_002	doradca podróży służbowych
C001115_pl_003	doradca podróży urlopowych
C001115_pl_004	konsultant podróży biznesowych
C001115_pl_005	konsultant podróży służbowych
C001115_pl_006	konsultant podróży urlopowych
C001116_pl_000	kierowca doświadczalny
C001117_pl_000	meteorolog lotniczy
C001118_pl_000	konstruktor wyrobów skórzanych - operator CAD
C001118_pl_001	konstruktorka wyrobów skórzanych - operatorka CAD
C001119_pl_000	operator urządzeń do produkcji wiórków mydlanych
C001120_pl_000	kierownik ds. dystrybucji zwierząt żywych
C001120_pl_001	kierownik ds. łańcucha dostaw zwierząt żywych
C001121_pl_000	trener łyżwiarstwa
C001121_pl_001	instruktor łyżwiarstwa
C001122_pl_000	zaopatrzeniowiec
C001123_pl_000	asystent zarządu
C001123_pl_001	asystent dyrektora
C001123_pl_002	asystentka zarządu
C001123_pl_003	sekretarka zarządu
C001123_pl_004	sekretarz zarządu
C001124_pl_000	pasterz
C001124_pl_001	opiekun stada
C001124_pl_002	pasterka
C001124_pl_003	pasterze
C001124_pl_004	pracownik pilnujący stado
C001125_pl_000	mistrz produkcji w budownictwie kolejowym
C001126_pl_000	cieśla
C001126_pl_001	stolarz budowlany
C001127_pl_000	operator urządzeń do produkcji dań gotowych
C001128_pl_000	garderobiany/garderobiana
C001128_pl_001	asystent kostiumografa
C001128_pl_002	asystentka kostiumografa
C001128_pl_003	garderobiana
C001128_pl_004	garderobiany
C001129_pl_000	operator pompy do rurociągu
C001130_pl_000	modelarz odlewniczy
C001130_pl_001	odlewnik modelarz
C001131_pl_000	inżynier budownictwa - budownictwo ogólne
C001131_pl_001	rzeczoznawca budowlany
C001132_pl_000	technik maszyn włókienniczych
C001133_pl_000	strzałowy
C001133_pl_001	górnik strzałowy
C001134_pl_000	kreślarz w stoczni
C001134_pl_001	traser
C001135_pl_000	kierownik ds. dystrybucji ryb, skorupiaków i mięczaków
C001135_pl_001	kierownik ds. łańcucha dostaw ryb, skorupiaków i mięczaków
C001136_pl_000	mechanik konserwator sprzętu optycznego
C001137_pl_000	komendant policji
C001137_pl_001	kierownik posterunku policji
C001137_pl_002	kierownik rewiru
C001137_pl_003	policjant
C001137_pl_004	policjant służby kryminalnej
C001137_pl_005	policjant służby prewencji
C001137_pl_006	policjant służby wspomagającej
C001137_pl_007	policjantka
C001138_pl_000	pracownik socjalny ds. opieki nad dziećmi
C001139_pl_000	pośrednik handlowy
C001140_pl_000	kierownik piekarni
C001140_pl_001	kierownik ciastkarni
C001140_pl_002	kierownik cukierni
C001141_pl_000	operator maszyn włókienniczych
C001142_pl_000	hodowca psów
C001143_pl_000	brygadzista instalator sieci wodno-kanalizacyjnej
C001144_pl_000	inspektor pracy
C001144_pl_001	inspektor bezpieczeństwa i higieny pracy
C001145_pl_000	kontroler jakości obuwia
C001146_pl_000	nauczyciel języków klasycznych w szkole ponadpodstawowej/nauczycielka języków klasycznych w szkole ponadpodstawowej
C001146_pl_001	nauczyciel języków klasycznych w szkole ponadpodstawowej
C001146_pl_002	nauczycielka języków klasycznych w szkole ponadpodstawowej
C001147_pl_000	zastępca dyrektora szkoły
C001147_pl_001	wicedyrektor szkoły
C001148_pl_000	kasjer/kasjerka
C001148_pl_001	kasjer
C001148_pl_002	kasjer handlowy
C001148_pl_003	kasjer w zakładzie pracy
C001148_pl_004	kasjerka
C001149_pl_000	technik aparatury kontrolno-pomiarowej i automatyki
C001149_pl_001	technik AKPiA
C001150_pl_000	odczytywacz liczników
C001151_pl_000	operator zgrzewarki
C001151_pl_001	operator maszyny zgrzewającej
C001152_pl_000	pracownik obsługi wypożyczalni artykułów użytku osobistego i domowego
C001153_pl_000	projektant infrastruktury informacyjno-telekomunikacyjnej przedsiębiorstwa
C001153_pl_001	projektanci infrastruktury informacyjno-telekomunikacyjnej przedsiębiorstwa
C001153_pl_002	projektant infrastruktur informacyjno-telekomunikacyjnych przedsiębiorstwa
C001153_pl_003	projektant infrastruktur informacyjnych i telekomunikacyjnych przedsiębiorstwa
C001153_pl_004	projektant infrastruktury informacyjnej i telekomunikacyjnej przedsiębiorstwa
C001153_pl_005	projektant infrastruktury informacyjno-telekomunikacyjnej w przedsiębiorstwie
C001153_pl_006	specjalista ds. infrastruktury informacyjno-telekomunikacyjnej przedsiębiorstwa
C001154_pl_000	technolog odzieży
C001154_pl_001	technik przemysłu mody
C001155_pl_000	instruktor żeglarstwa
C001155_pl_001	instruktorka żeglarstwa
C001156_pl_000	dyrektor szkoły pomaturalnej
C001156_pl_001	dyrektor szkoły policealnej
C001157_pl_000	technik botanik
C001157_pl_001	laborant w hodowli roślin
C001158_pl_000	inspektor ubezpieczeń społecznych
C001158_pl_001	inspektor ds. ubezpieczeń społecznych
C001159_pl_000	dyrektor komercyjnej galerii sztuki
C001159_pl_001	kurator sztuki
C001159_pl_002	specjalista do spraw wystawienniczych
C001160_pl_000	prowadzący pojazdy ciągnięte przez zwierzęta
C001160_pl_001	powożący pojazdem zaprzęgowym
C001161_pl_000	operator maszyn do pomiaru powierzchni skór
C001161_pl_001	operator maszyn do mierzenia powierzchni skór
C001162_pl_000	maszynista kotła
C001162_pl_001	operator kotła
C001162_pl_002	pracownik kotłowni
C001163_pl_000	technik realizacji dźwięku
C001163_pl_001	asystent techniczny realizatora dźwięku
C001163_pl_002	technik akustyk
C001163_pl_003	technik dźwiękowy
C001163_pl_004	technik dźwięku
C001164_pl_000	kierownik sklepu z zabawkami
C001164_pl_001	kierownik sklepu modelarskiego
C001164_pl_002	kierownik sklepu z grami planszowymi
C001164_pl_003	kierownik sklepu z układankami
C001165_pl_000	brygadzista operatorów maszyn
C001166_pl_000	windykator składek
C001167_pl_000	dyrektor handlowy
C001167_pl_001	dyrektor ds. handlu elektronicznego
C001167_pl_002	dyrektor ds. handlu międzynarodowego
C001167_pl_003	dyrektor ds. strategii handlowej
C001168_pl_000	pracownik spa/pracownica spa
C001168_pl_001	pracownica salonu piękności
C001168_pl_002	pracownica spa
C001168_pl_003	pracownik salonu piękności
C001168_pl_004	pracownik spa
C001168_pl_005	zabiegowy balneologiczny
C001169_pl_000	przedstawiciel techniczno-handlowy ds. sprzedaży maszyn rolniczych
C001169_pl_001	przedstawiciel handlowy ds. sprzedaży maszyn rolniczych
C001169_pl_002	przedstawiciel techniczno-handlowy ds. maszyn rolniczych
C001169_pl_003	specjalista ds. sprzedaży maszyn rolniczych
C001170_pl_000	specjalista obróbki metali nieżelaznych
C001171_pl_000	sommelier win/sommeliére win
C001171_pl_001	kiper win
C001171_pl_002	sommelier win
C001171_pl_003	sommeliére win
C001171_pl_004	specjalista w zakresie win
C001171_pl_005	znawca win
C001172_pl_000	ramiarz
C001173_pl_000	akupunkturzysta/akupunkturzystka
C001173_pl_001	akupunkturzysta
C001173_pl_002	akupunkturzystka
C001174_pl_000	hurtownik sprzętu elektronicznego i telekomunikacyjnego oraz części do niego
C001175_pl_000	specjalista do spraw studenckich
C001176_pl_000	inspektor weterynaryjny ds. zdrowia zwierząt
C001176_pl_001	inspektor ds. zdrowia zwierząt
C001176_pl_002	inspektor weterynarii ds. zdrowia zwierząt
C001176_pl_003	inspektor weterynaryjny ds. dobrobytu zwierząt
C001176_pl_004	inspektorzy weterynaryjni ds. zdrowia zwierząt
C001177_pl_000	bosman
C001178_pl_000	pracownik akwakultury ds. cumowania sadzów
C001179_pl_000	brygadzista monter urządzeń dźwigowych
C001180_pl_000	technik analityki medycznej
C001181_pl_000	sprzedawca produktów cukierniczych i pieczywa
C001181_pl_001	sprzedawczyni produktów cukierniczych i pieczywa
C001182_pl_000	brygadzista monter rusztowań
C001183_pl_000	opiekun klienta
C001183_pl_001	doradca klienta
C001183_pl_002	handlowiec
C001183_pl_003	kierownik ds. sprzedaży
C001183_pl_004	przedstawiciel handlowy
C001183_pl_005	specjalista ds. klientów
C001184_pl_000	operator pieca tunelowego
C001185_pl_000	twórca aplikacji mobilnych
C001185_pl_001	programista aplikacji
C001185_pl_002	twórca aplikacji mobilnej
C001185_pl_003	twórca aplikacji na urządzenia przenośne
C001185_pl_004	twórca aplikacji przenośnych
C001185_pl_005	twórca mobilnych aplikacji
C001185_pl_006	twórcy aplikacji mobilnych
C001186_pl_000	prasowacz/prasowaczka
C001186_pl_001	osoba prasująca i stanująca odzież
C001186_pl_002	prasowacz
C001186_pl_003	prasowaczka
C001187_pl_000	hurtownik ryb, skorupiaków i mięczaków
C001188_pl_000	konserwator infrastruktury telekomunikacyjnej
C001188_pl_001	konserwator infrastruktur telekomunikacyjnych
C001188_pl_002	konserwator infrastruktury komunikacyjnej
C001188_pl_003	konserwator telekomunikacyjnej infrastruktury
C001188_pl_004	konserwatorzy infrastruktury telekomunikacyjnej
C001188_pl_005	serwisant infrastruktury telekomunikacyjnej
C001189_pl_000	konserwator książek
C001189_pl_001	konserwatorka książek
C001190_pl_000	inżynier produkcji żywności
C001190_pl_001	inżynier ds. produkcji żywności
C001190_pl_002	inżynier procesu produkcji żywności
C001190_pl_003	inżynier procesów produkcji żywności
C001190_pl_004	inżynier procesów produkcyjnych
C001191_pl_000	reżyser oświetlenia
C001191_pl_001	operator światła
C001191_pl_002	projektant oświetlenia
C001191_pl_003	reżyser świateł
C001191_pl_004	reżyser światła
C001192_pl_000	kierownik magazynu
C001192_pl_001	specjalista ds. zapasów
C001193_pl_000	barman/barmanka
C001193_pl_001	barman
C001193_pl_002	barmanka
C001193_pl_003	bufetowa
C001193_pl_004	bufetowy
C001194_pl_000	prowadzący grę bingo
C001194_pl_001	wywoływacz w grze w bingo
C001195_pl_000	specjalista ds. łączności lotniczej i koordynacji częstotliwości
C001196_pl_000	operator urządzeń do produkcji mas asfaltowych
C001197_pl_000	operator gwinciarki
C001198_pl_000	monter rurociągów
C001198_pl_001	monter rurociągów okrętowych
C001198_pl_002	monter rurociągów przemysłowych
C001199_pl_000	kasjer bankowy
C001199_pl_001	kasjerka bankowa
C001199_pl_002	skarbnik bankowy
C001200_pl_000	wykładowca akademicki z dziedziny biznesu
C001200_pl_001	pracownik naukowo-dydaktyczny z dziedziny biznesu
C001201_pl_000	asystent zespołu porodowego/ asystentka zespołu porodowego
C001201_pl_001	asystent okołoporodowy
C001201_pl_002	asystentka okołoporodowa
C001201_pl_003	pracownik wsparcia okołoporodowego
C001202_pl_000	ratownik wodny
C001202_pl_001	ratownik morski
C001202_pl_002	ratownik pokładowy
C001203_pl_000	klasfyfikator wyrobów drewnopochodnych
C001204_pl_000	pracownik tłoczenia oleju
C001204_pl_001	pracownik linii tłoczenia olejów
C001204_pl_002	pracownik procesu tłoczenia oleju
C001204_pl_003	pracownik procesu tłoczenia olejów
C001205_pl_000	sprzątacz budynków/sprzątaczka budynków
C001205_pl_001	sprzątacz budynków
C001205_pl_002	sprzątaczka budynków
C001206_pl_000	technik projektant systemów i podzespołów pneumatycznych
C001206_pl_001	projektant systemów i podzespołów pneumatycznych
C001206_pl_002	projektantka systemów i podzespołów pneumatycznych
C001207_pl_000	technik aparatury medycznej
C001207_pl_001	serwisant urządzeń medycznych
C001207_pl_002	technik elektroniki i informatyki medycznej
C001207_pl_003	technik elektroniki medycznej
C001208_pl_000	wykładowca akademicki z dziedziny nauki o ziemi
C001208_pl_001	pracownik naukowo-dydaktyczny z dziedziny nauk o ziemi
C001209_pl_000	asystent kostiumografa
C001209_pl_001	asystentka kostiumografa
C001209_pl_002	garderobiana
C001209_pl_003	garderobiany
C001210_pl_000	magazynier surowców
C001210_pl_001	magazynier surowca
C001211_pl_000	kreślarz budowlany
C001212_pl_000	reżyser animacji
C001213_pl_000	inżynier ds. jakości
C001214_pl_000	analityk call centre
C001215_pl_000	operator aparatu nitracyjnego
C001215_pl_001	aparatowy nitrozowania
C001215_pl_002	operator nitratora
C001216_pl_000	dyrektor finansowy
C001216_pl_001	dyrektor ds. finansowych
C001217_pl_000	operator urządzeń destylacyjnych
C001218_pl_000	operator maszyny do lutowania na fali
C001219_pl_000	kierownik ds. produkcji w przemyśle skórzanym
C001219_pl_001	dyrektor ds. produkcji wyrobów skórzanych
C001220_pl_000	pracownik ochrony osób i mienia
C001220_pl_001	funkcjonariusz straży ochrony kolei
C001220_pl_002	portier
C001220_pl_003	pracownik obsługi monitoringu
C001220_pl_004	strażnik straży marszałkowskiej
C001220_pl_005	technik ochrony fizycznej osób i mienia
C001221_pl_000	doradca prawny
C001221_pl_001	asystent prawny
C001221_pl_002	komornik sądowy
C001222_pl_000	technik przenoszenia zarodków zwierzęcych
C001222_pl_001	pracownik zajmujący się przenoszeniem zarodków zwierzęcych
C001222_pl_002	technicy przenoszenia zarodków zwierzęcych
C001222_pl_003	technik przeniesienia zarodka zwierzęcego
C001222_pl_004	technik przenoszenia zarodka zwierzęcego
C001222_pl_005	technik przenoszenia zarodków zwierząt
C001222_pl_006	technik weterynaryjny
C001223_pl_000	technik biolog
C001224_pl_000	medium
C001225_pl_000	magazynier w fabryce wyrobów skórzanych
C001226_pl_000	specjalista ds. importu i eksportu drewna i materiałów budowlanych
C001227_pl_000	technik ds. chowu sadzowego
C001228_pl_000	specjalista ds. importu i eksportu surowców rolnych, nasion i paszy
C001229_pl_000	inżynier inżynierii środowiska - górnictwo
C001230_pl_000	operator rafinerii cukrowej
C001230_pl_001	operator ds. procesu rafinacji cukru
C001230_pl_002	operator ds. rafinacji cukru
C001230_pl_003	operator procesu rafinacji cukru
C001230_pl_004	operator rafinacji cukru
C001231_pl_000	menedżer jakości obiektów budowlanych
C001232_pl_000	specjalista ds. kontroli urządzeń użyteczności publicznej
C001233_pl_000	administrator systemu archiwizacji i dystrybucji obrazów medycznych
C001233_pl_001	administrator systemu PACS
C001234_pl_000	technik dentystyczny dla koni
C001234_pl_001	technicy dentystyczni dla koni
C001234_pl_002	technik dentystyczny
C001234_pl_003	technik dentystyczny dla zwierząt
C001234_pl_004	technik dentystyczny koni
C001234_pl_005	technik-dentysta dla koni
C001235_pl_000	kierownik ds. kredytów
C001235_pl_001	kierownik ds. kontroli kredytowej
C001236_pl_000	technik druku na tkaninach
C001237_pl_000	strażnik więzienny
C001238_pl_000	mechanik rowerowy
C001238_pl_001	serwisant rowerowy
C001239_pl_000	elektryk budowlany
C001240_pl_000	zakonnik/zakonnica
C001240_pl_001	zakonnica
C001240_pl_002	zakonnik
C001241_pl_000	specjalista ds. importu i eksportu mięsa i produktów mięsnych
C001242_pl_000	terapeuta zajęciowy
C001243_pl_000	kierownik gabinetu kosmetycznego
C001243_pl_001	kierownik salonu fryzjerskiego
C001243_pl_002	kierownik salonu piękności
C001244_pl_000	tester gier cyfrowych
C001244_pl_001	tester
C001244_pl_002	tester cyfrowych gier
C001244_pl_003	tester gier
C001244_pl_004	tester gier komputerowych
C001244_pl_005	tester gry cyfrowej
C001244_pl_006	testerzy gier cyfrowych
C001245_pl_000	analityk żywności
C001245_pl_001	analityk laboratoryjny
C001245_pl_002	kontroler jakości laboratoryjnej
C001245_pl_003	specjalista analiz żywności
C001245_pl_004	specjalista analizy żywności
C001245_pl_005	specjalista ds. analiz żywności
C001245_pl_006	specjalista ds. analizy żywności
C001246_pl_000	mechanik urządzeń chłodniczych w rybołówstwie
C001247_pl_000	opiekun dziecięcy/opiekunka dziecięca
C001247_pl_001	opiekun do dzieci
C001247_pl_002	opiekun do dziecka
C001247_pl_003	opiekun dziecięcy
C001247_pl_004	opiekunka do dzieci
C001247_pl_005	opiekunka do dziecka
C001247_pl_006	opiekunka dziecięca
C001247_pl_007	prowadzący rodzinny dom dziecka
C001247_pl_008	rodzic zastępczy
C001248_pl_000	operator maszyn do tuftowania
C001248_pl_001	operator maszyn do igłowania
C001249_pl_000	kreślarz - motoryzacja
C001250_pl_000	recepcjonista medyczny/recepcjonistka medyczna
C001250_pl_001	recepcjonista medyczny
C001250_pl_002	recepcjonistka medyczna
C001250_pl_003	rejestrator medyczny
C001250_pl_004	rejestratorka medyczna
C001251_pl_000	kierownik katedry uniwersyteckiej
C001251_pl_001	dyrektor instytutu
C001251_pl_002	kierownik instytutu
C001252_pl_000	operator prasy do kakao
C001252_pl_001	operator obróbki kakao
C001252_pl_002	operator procesu obróbki kakao
C001252_pl_003	pracownik obróbki kakao
C001252_pl_004	pracownik procesu obróbki kakao
C001253_pl_000	operator urządzeń do produkcji płatków mydlanych
C001254_pl_000	projektant biżuterii/ projektantka biżuterii
C001254_pl_001	jubiler
C001254_pl_002	projektant biżuterii
C001254_pl_003	projektantka biżuterii
C001255_pl_000	budowniczy dekoracji
C001255_pl_001	główny stolarz
C001256_pl_000	ubojowy
C001256_pl_001	pracownik do uboju zwierząt
C001256_pl_002	pracownik ubojni zwierząt
C001256_pl_003	pracownik uboju zwierząt
C001256_pl_004	ubojnik
C001257_pl_000	menedżer projektów ochrony środowiska związanych z budową rurociągu
C001258_pl_000	operator przędzarki do włókien sztucznych
C001258_pl_001	operator maszyn do formowania włókien sztucznych
C001259_pl_000	dystrybutor filmowy
C001260_pl_000	monter okien
C001261_pl_000	sędzia Sądu Najwyższego
C001262_pl_000	projektant inteligentnych systemów technologii informacyjno-telekomunikacyjnych
C001262_pl_001	projektanci systemów inteligentnych
C001262_pl_002	projektant systemu inteligentnego
C001262_pl_003	projektant systemów
C001262_pl_004	projektant systemów informatycznych
C001262_pl_005	projektantka systemów inteligentnych
C001263_pl_000	specjalista ds. marketingu internetowego
C001263_pl_001	specjalista ds. marketingu elektronicznego
C001264_pl_000	dziewiarz
C001264_pl_001	dziewiarka
C001265_pl_000	klasyfikator pulpy papierniczej
C001265_pl_001	kontroler jakości pulpy drzewnej
C001266_pl_000	technik technologii chemicznej
C001266_pl_001	technik papiernictwa
C001266_pl_002	technik przetwórstwa tworzyw sztucznych
C001266_pl_003	technik technologii środków farmaceutycznych
C001266_pl_004	technik technologii środków kosmetycznych
C001266_pl_005	technik zabezpieczeń przeciwkorozyjnych
C001267_pl_000	specjalista ds. programowych
C001267_pl_001	pracownik działu programowego
C001268_pl_000	inżynier technologii drewna
C001269_pl_000	inżynier optoelektronik
C001270_pl_000	hurtownik komputerów, urządzeń peryferyjnych i oprogramowania
C001271_pl_000	nauczyciel religii w szkole ponadpodstawowej/nauczycielka religii w szkole ponadpodstawowej
C001271_pl_001	nauczyciel religii w szkole ponadpodstawowej
C001271_pl_002	nauczycielka religii w szkole ponadpodstawowej
C001272_pl_000	specjalista przechwytywania transmisji komunikacyjnych
C001272_pl_001	specjalistka przechwytywania transmisji komunikacyjnych w ruchu lotniczym
C001273_pl_000	projektant ekspozycji towarów i usług
C001273_pl_001	visual merchandiser
C001274_pl_000	technik urządzeń radiowych
C001274_pl_001	konserwator urządzeń radiowych
C001274_pl_002	technicy urządzeń radiowych
C001274_pl_003	technik radiowych urządzeń
C001274_pl_004	technik urządzenia radiowego
C001275_pl_000	cukiernik – wytwórca czekolady
C001275_pl_001	chocolatier
C001276_pl_000	pracownik back office operacji rynków finansowych
C001276_pl_001	specjalista back office operacji rynków finansowych
C001277_pl_000	montażysta dźwięku
C001277_pl_001	reżyser dubbingu
C001278_pl_000	pielęgniarz zaawansowanej praktyki/pielęgniarka zaawansowanej praktyki
C001278_pl_001	pielęgniarka zaawansowanej praktyki
C001278_pl_002	pielęgniarz zaawansowanej praktyki
C001279_pl_000	kreślarz w pracowni architektonicznej
C001280_pl_000	animator poklatkowy
C001280_pl_001	twórca animacji w technice poklatkowej
C001281_pl_000	wiertacz
C001281_pl_001	pomocnik wiertacza
C001281_pl_002	wiertacz kierunkowy
C001282_pl_000	palacz kawy
C001282_pl_001	palacz ziaren kawy
C001282_pl_002	pracownik ds. palenia kawy
C001282_pl_003	pracownik ds. palenia ziaren kawy
C001282_pl_004	pracownik palenia kawy
C001283_pl_000	kontroler jakości wyrobów skórzanych
C001284_pl_000	operator pras do formowania wyrobów z masy papierniczej
C001285_pl_000	zbieracz owoców i warzyw
C001285_pl_001	robotnik pomagający przy zbieraniu owoców i warzyw
C001285_pl_002	robotnik pomagający przy żniwach
C001285_pl_003	zbieracz warzyw i owoców
C001285_pl_004	zbieracze owoców i warzyw
C001285_pl_005	żniwiarz
C001286_pl_000	osoba nadzorująca pracowników ochrony osób i mienia
C001287_pl_000	artysta malarz
C001287_pl_001	artystka malarka
C001287_pl_002	malarka
C001287_pl_003	malarz
C001288_pl_000	grawer biżuterii
C001289_pl_000	operator procesu konwersji skrobi
C001289_pl_001	operator ds. konwersji skrobi
C001289_pl_002	operator procesów konwersji skrobi
C001289_pl_003	operator sprzętu do konwersji skrobi
C001289_pl_004	operator urządzeń do konwersji skrobi
C001290_pl_000	menedżer informacji
C001290_pl_001	broker informacji
C001290_pl_002	dokumentalista
C001290_pl_003	infobroker
C001290_pl_004	researcher
C001290_pl_005	specjalista zarządzania dokumentacją
C001290_pl_006	specjalista zarządzania informacją
C001291_pl_000	kierownik ds. zakupów
C001291_pl_001	kierownik ds. zaopatrzenia
C001292_pl_000	specjalista ds. kontroli gier i zakładów
C001293_pl_000	pomocnik biblioteczny
C001294_pl_000	nauczyciel kształcenia zawodowego w zakresie gastronomii/nauczycielka kształcenia zawodowego w zakresie gastronomii
C001294_pl_001	nauczyciel kształcenia zawodowego w zakresie gastronomii
C001294_pl_002	nauczycielka kształcenia zawodowego w zakresie gastronomii
C001295_pl_000	rzeźnik
C001296_pl_000	mistrz montażu w przemyśle maszynowym
C001297_pl_000	kierownik ds. dystrybucji wyrobów porcelanowych i szklanych
C001297_pl_001	kierownik ds. łańcucha dostaw wyrobów szklanych i porcelanowych
C001298_pl_000	inspektor jakości konfekcji
C001298_pl_001	kontroler jakości odzieży
C001298_pl_002	kontroler jakości wyrobów tekstylnych
C001299_pl_000	kreślarz maszyn i urządzeń mechanicznych
C001299_pl_001	kreślarz maszyn i urządzeń
C001299_pl_002	kreślarz techniczny
C001300_pl_000	specjalista ds. polityki konkurencji
C001300_pl_001	referent ds. polityki konkurencji
C001301_pl_000	przedstawiciel leasingowy
C001302_pl_000	inspektor bezpieczeństwa żeglugi morskiej
C001302_pl_001	audytor statków morskich
C001302_pl_002	inspektor statków morskich
C001303_pl_000	detektyw w policji
C001303_pl_001	detektyw policyjny
C001303_pl_002	policjant detektyw
C001304_pl_000	pracownik do spraw kultury fizycznej i sportu
C001305_pl_000	technik sprzętu komputerowego
C001306_pl_000	doradca inwestycyjny
C001306_pl_001	doradca do spraw leasingu
C001306_pl_002	doradca emerytalny
C001306_pl_003	doradca finansowo-inwestycyjny
C001306_pl_004	doradca finansowy
C001306_pl_005	doradca podatkowy
C001306_pl_006	konsultant inwestycyjny
C001307_pl_000	sprzątacz wesołych miasteczek
C001307_pl_001	sprzątacz
C001307_pl_002	sprzątaczka
C001308_pl_000	pracownik obsługi wypożyczalni
C001309_pl_000	specjalista ds. polityki gospodarczej
C001309_pl_001	referent ds. polityki gospodarczej
C001309_pl_002	specjalista do spraw badań społeczno-ekonomicznych
C001309_pl_003	specjalista do spraw organizacji i rozwoju przemysłu
C001309_pl_004	specjalista do spraw organizacji i rozwoju transportu
C001309_pl_005	specjalista do spraw planowania strategicznego
C001310_pl_000	terapeuta sportowy
C001311_pl_000	spedytor
C001311_pl_001	doradca do spraw bezpieczeństwa przewozu koleją towarów niebezpiecznych
C001311_pl_002	technik eksploatacji portów i terminali
C001311_pl_003	technik logistyk
C001312_pl_000	sprzedawca w sklepie zoologicznym
C001312_pl_001	sprzedawczyni w sklepie zoologicznym
C001313_pl_000	operator atrakcji turystycznej
C001314_pl_000	specjalista ds. importu i eksportu owoców i warzyw
C001315_pl_000	urzędnik do spraw licencji
C001315_pl_001	urzędnik do spraw udzielania pozwoleń na budowę
C001316_pl_000	instruktor szkolenia kierowców zawodowych
C001317_pl_000	mydlarz
C001318_pl_000	pracownik ds. rozwoju społeczności lokalnej
C001318_pl_001	ekspert ds. rozwoju społeczności lokalnej
C001318_pl_002	specjalista ds. rozwoju społeczności lokalnej
C001319_pl_000	kierowca trolejbusu
C001319_pl_001	kierowca autobusu torowego
C001320_pl_000	sprzedawca sprzętu audiologicznego
C001320_pl_001	sprzedawczyni sprzętu audiologicznego
C001321_pl_000	młodszy marynarz na statkach morskich
C001322_pl_000	regionalny dyrektor handlowy
C001322_pl_001	regionalny dyrektor ds. sprzedaży i marketingu
C001322_pl_002	regionalny kierownik ds. sprzedaży
C001323_pl_000	specjalista grawerowania w szkle
C001324_pl_000	edukator pracy socjalnej
C001324_pl_001	pedagog pracy socjalnej
C001325_pl_000	operator prasy do mydła
C001326_pl_000	operator automatycznej inspekcji optycznej
C001326_pl_001	operator AOI
C001327_pl_000	operator maszyn do cięcia metalu
C001327_pl_001	operator piły do cięcia metalu
C001327_pl_002	operator przecinarki do metalu
C001328_pl_000	kierownik sklepu z materiałami budowlanymi
C001328_pl_001	kierownik marketu budowlanego
C001329_pl_000	kurier rowerowy
C001330_pl_000	hurtownik
C001330_pl_001	kupiec
C001331_pl_000	negocjator kontraktów wycieczkowych
C001331_pl_001	kierownik ds. kontraktów wycieczkowych
C001331_pl_002	kierownik ds. umów
C001331_pl_003	kierownik ds. umów wycieczkowych
C001331_pl_004	menedżer kontraktów
C001331_pl_005	negocjator kontraktów
C001331_pl_006	negocjator kontraktów hotelarskich
C001331_pl_007	negocjator umów wycieczkowych
C001332_pl_000	specjalista ds. importu i eksportu wyrobów metalowych oraz sprzętu i dodatkowego wyposażenia hydraulicznego i grzejnego
C001333_pl_000	badacz pracy socjalnej
C001333_pl_001	specjalista ds. badań pomocy społecznej
C001334_pl_000	kierownik ds. organizacji produkcji odzieży
C001334_pl_001	dyrektor ds. organizacji produkcji odzieży
C001335_pl_000	inżynier rybactwa
